Country,Total #Alpha 202012/01 GRY (B.1.1.7+Q.*),#Alpha 202012/01 GRY (B.1.1.7+Q.*) in past 4 weeks,Percentage
United Kingdom,"270,228",436,0.6
USA,"218,754",82,0.2
Germany,"102,772",38,0.3
Sweden,"63,038",2,0.1
Denmark,"62,855",22,0.1
Japan,"42,851",16,6.7
Canada,"36,372",0,0
France,"33,941",16,1.4
Netherlands,"29,863",14,0.6
Italy,"25,459",5,0.2
Spain,"23,297",4,0.3
Switzerland,"21,812",8,0.2
Belgium,"20,784",7,0.2
Republic of Ireland,"15,999",4,0.6
Poland,"14,955",0,0
Lithuania,"9,346",0,0
Norway,"8,729",0,0
Slovenia,"8,450",2,0.2
Israel,"7,978",0,0
Finland,"6,106",0,0
Greece,"5,636",0,0
Portugal,"5,015",0,0
Luxembourg,"4,898",0,0
Slovakia,"4,580",0,0
Croatia,"4,459",2,1.9
Czech Republic,"4,359",0,0
Austria,"3,844",0,0
India,"3,440",1,0.9
Estonia,"3,195",0,0
Latvia,"3,135",0,0
Bulgaria,"3,063",0,0
Turkey,"1,915",419,1.3
Mexico,"1,757",0,0
Thailand,"1,378",2,11.1
Philippines,"1,000",0,0
Romania,825,0,0
South Korea,820,0,0
Lebanon,791,0,0
Brazil,616,3,0.3
Iceland,597,0,0
Cambodia,587,58,39.2
Kenya,562,0,0
Aruba,551,0,0
Australia,527,1,0
Sint Maarten,429,26,7.5
Pakistan,397,0,0
Sri Lanka,391,5,4.6
Russia,385,0,0
Ghana,345,0,0
Curacao,318,0,0
North Macedonia,273,0,0
Qatar,231,0,0
Martinique,229,5,27.8
South Africa,205,0,0
Singapore,190,0,0
Gibraltar,189,0,0
Bonaire,183,0,0
Chile,180,0,0
Ecuador,172,0,0
Kazakhstan,162,0,0
Jamaica,152,0,0
New Zealand,152,0,0
Malta,148,0,0
Costa Rica,145,1,2.3
Argentina,142,0,0
Nigeria,140,0,0
Angola,140,0,0
Colombia,127,0,0
Guadeloupe,121,0,0
Morocco,107,0,0
China,100,0,0
Guam,95,0,0
Bangladesh,93,0,0
Jordan,90,0,0
Georgia,85,0,0
Reunion,83,0,0
Djibouti,79,0,0
Gambia,72,0,0
Ukraine,70,0,0
Bosnia and Herzegovina,68,0,0
Indonesia,64,0,0
French Guiana,61,1,1.7
Bahrain,60,0,0
Montenegro,55,0,0
Iran,52,0,0
Taiwan,50,0,0
Iraq,48,0,0
Serbia,45,0,0
Barbados,45,0,0
Gabon,44,0,0
Moldova,37,0,0
Cayman Islands,35,0,0
Senegal,35,0,0
Saint Lucia,34,0,0
Malaysia,33,0,0
Cote d'Ivoire,33,0,0
Republic of the Congo,33,0,0
Guinea-Bissau,31,0,0
Togo,31,0,0
Oman,30,0,0
Hungary,29,0,0
Albania,28,0,0
Bahamas,26,0,0
Guinea,25,0,0
Vietnam,25,0,0
Kosovo,24,0,0
Peru,23,0,0
Palestine,22,0,0
Suriname,22,0,0
Belarus,21,0,0
Kuwait,21,0,0
Antigua and Barbuda,19,0,0
United Arab Emirates,19,0,0
Liechtenstein,19,0,0
Armenia,18,0,0
Guatemala,17,0,0
Uganda,17,0,0
Dominican Republic,16,0,0
Democratic Republic of the Congo,16,0,0
Benin,15,0,0
Maldives,14,0,0
Central African Republic,12,0,0
Nepal,11,0,0
Cameroon,11,0,0
Wallis and Futuna Islands,10,0,0
Cyprus,10,0,0
Trinidad and Tobago,9,0,0
Somalia,7,0,0
Egypt,7,0,0
Andorra,7,0,0
Tunisia,6,0,0
Rwanda,6,0,0
Venezuela,6,0,0
Malawi,5,0,0
Turks and Caicos Islands,5,0,0
Paraguay,4,0,0
Dominica,4,0,0
Algeria,4,0,0
Saudi Arabia,4,0,0
Cabo Verde,4,0,0
Ethiopia,3,0,0
Namibia,3,0,0
Azerbaijan,3,0,0
Northern Mariana Islands,3,0,0
Grenada,3,0,0
Burkina Faso,3,0,0
Monaco,3,0,0
El Salvador,3,0,0
Anguilla,2,0,0
Faroe Islands,2,0,0
Mayotte,2,0,0
Uzbekistan,2,0,0
Zambia,2,0,0
Montserrat,2,0,0
Bermuda,2,0,0
Myanmar,2,0,0
Mozambique,1,0,0
Equatorial Guinea,1,0,0
Mauritius,1,0,0
Belize,1,0,0
Niger,1,0,0
Haiti,1,0,0
Libya,1,0,0
Honduras,1,0,0
Chad,1,0,0
South Sudan,1,0,0
Burundi,1,0,0
British Virgin Islands,1,0,0
