Reporting week,<18 years,18-24 years,25-49 years,50-59 years,60+ years
2021-W49,11087.00,1615.00,5970.00,1897.00,3132.00
2021-W48,48345.00,6012.00,23740.00,7518.00,12028.00
2021-W47,81882.00,12434.00,49565.00,15931.00,22850.00
2021-W46,104357.00,25921.00,97226.00,29247.00,35105.00
2021-W45,125715.00,45279.00,159527.00,46112.00,46604.00
2021-W44,136753.00,55995.00,196466.00,55804.00,51650.00
2021-W43,143902.00,62642.00,220077.00,62011.00,55039.00
2021-W42,149609.00,67139.00,235153.00,66151.00,58352.00
2021-W41,155039.00,70741.00,246085.00,69132.00,61565.00
2021-W40,161157.00,75237.00,258599.00,72617.00,65505.00
2021-W39,168763.00,80218.00,273167.00,76746.00,69833.00
2021-W38,177721.00,85871.00,289754.00,81493.00,74886.00
2021-W37,186859.00,92337.00,309097.00,87040.00,80508.00
2021-W36,195696.00,97591.00,324804.00,91391.00,85076.00
2021-W35,204367.00,102265.00,338258.00,95356.00,89124.00
2021-W34,212518.00,106484.00,350693.00,99253.00,93323.00
2021-W33,219652.00,110483.00,362877.00,102968.00,97330.00
2021-W32,225601.00,114066.00,373355.00,106298.00,100903.00
2021-W31,234448.00,119746.00,388872.00,111109.00,105802.00
2021-W30,243491.00,126268.00,405816.00,116139.00,111483.00
2021-W29,255443.00,137817.00,437612.00,125328.00,120411.00
2021-W28,277822.00,151523.00,471621.00,135467.00,129739.00
2021-W27,293648.00,177987.00,529198.00,149121.00,141422.00
2021-W26,320636.00,203249.00,618245.00,166149.00,155564.00
2021-W25,343488.00,232503.00,732663.00,186158.00,170251.00
2021-W24,360666.00,263495.00,863587.00,223825.00,190872.00
2021-W23,370702.00,298318.00,1006410.00,286805.00,212441.00
2021-W22,376169.00,326245.00,1159589.00,354550.00,246217.00
2021-W21,378313.00,344688.00,1280012.00,414463.00,287876.00
2021-W20,380683.00,363270.00,1425110.00,511473.00,373370.00
2021-W19,381844.00,378691.00,1526949.00,620678.00,457709.00
2021-W18,382691.00,392003.00,1621064.00,718735.00,579375.00
2021-W17,383174.00,400453.00,1678397.00,785660.00,734415.00
2021-W16,383649.00,406601.00,1731011.00,838291.00,914439.00
2021-W15,383868.00,410052.00,1764400.00,868976.00,1123149.00
2021-W14,383990.00,412370.00,1781799.00,884645.00,1302872.00
2021-W13,384068.00,414900.00,1799102.00,898917.00,1411709.00
2021-W12,384194.00,419397.00,1835661.00,924515.00,1499951.00
2021-W11,384386.00,424302.00,1876198.00,952252.00,1617256.00
2021-W10,385086.00,434004.00,1937716.00,987270.00,1737855.00
2021-W09,385146.00,439463.00,1970114.00,1007786.00,1833540.00
2021-W08,385203.00,446080.00,2002904.00,1026020.00,1882313.00
2021-W07,385249.00,449450.00,2023019.00,1037757.00,1910411.00
2021-W06,385270.00,452026.00,2033943.00,1044090.00,1919181.00
2021-W05,385291.00,452848.00,2040352.00,1048462.00,1926072.00
2021-W04,385299.00,454008.00,2049495.00,1053979.00,1941699.00
2021-W03,385336.00,456967.00,2079111.00,1072692.00,1983569.00
2021-W02,385408.00,459200.00,2103154.00,1090508.00,2024313.00
2021-W01,385433.00,459986.00,2113536.00,1097038.00,2032752.00
2020-W53,385439.00,460073.00,2114827.00,1098053.00,2035581.00
2020-W52,385439.00,460073.00,2114827.00,1098053.00,2035581.00
2020-W51,385439.00,460073.00,2114827.00,1098053.00,2035581.00
2020-W50,385439.00,460073.00,2114827.00,1098053.00,2035581.00
