Reporting week,0-4 years,5-9 years,10-14 years,15-17 years,18-24 years,25-49 years,50-59 years,60+ years
2021-W49,49,"5,682","4,451",905,"1,615","5,970","1,897","3,132"
2021-W48,234,"24,721","19,952",3438,"6,012","23,740","7,518","12,028"
2021-W47,397,"39,426","34,741",7318,"12,434","49,565","15,931","22,850"
2021-W46,485,"42,957","45,518",15397,"25,921","97,226","29,247","35,105"
2021-W45,544,"44,051","54,379",26741,"45,279","159,527","46,112","46,604"
2021-W44,571,"44,573","59,391",32218,"55,995","196,466","55,804","51,650"
2021-W43,577,"44,773","62,783",35769,"62,642","220,077","62,011","55,039"
2021-W42,601,"45,091","65,611",38306,"67,139","235,153","66,151","58,352"
2021-W41,612,"45,315","68,385",40727,"70,741","246,085","69,132","61,565"
2021-W40,633,"45,567","71,409",43548,"75,237","258,599","72,617","65,505"
2021-W39,654,"45,798","75,286",47025,"80,218","273,167","76,746","69,833"
2021-W38,679,"45,927","79,451",51664,"85,871","289,754","81,493","74,886"
2021-W37,696,"46,004","83,723",56436,"92,337","309,097","87,040","80,508"
2021-W36,700,"46,062","87,972",60962,"97,591","324,804","91,391","85,076"
2021-W35,703,"46,087","92,233",65344,"102,265","338,258","95,356","89,124"
2021-W34,706,"46,105","96,244",69463,"106,484","350,693","99,253","93,323"
2021-W33,708,"46,110","99,783",73051,"110,483","362,877","102,968","97,330"
2021-W32,708,"46,114","102,553",76226,"114,066","373,355","106,298","100,903"
2021-W31,710,"46,119","106,551",81068,"119,746","388,872","111,109","105,802"
2021-W30,713,"46,128","110,217",86433,"126,268","405,816","116,139","111,483"
2021-W29,719,"46,137","114,956",93631,"137,817","437,612","125,328","120,411"
2021-W28,723,"46,138","123,922",107039,"151,523","471,621","135,467","129,739"
2021-W27,734,"46,142","129,205",117567,"177,987","529,198","149,121","141,422"
2021-W26,741,"46,148","138,665",135082,"203,249","618,245","166,149","155,564"
2021-W25,762,"46,154","146,563",150009,"232,503","732,663","186,158","170,251"
2021-W24,768,"46,165","151,560",162173,"263,495","863,587","223,825","190,872"
2021-W23,775,"46,178","153,440",170309,"298,318","1,006,410","286,805","212,441"
2021-W22,783,"46,186","154,273",174927,"326,245","1,159,589","354,550","246,217"
2021-W21,793,"46,189","154,316",177015,"344,688","1,280,012","414,463","287,876"
2021-W20,801,"46,194","154,351",179337,"363,270","1,425,110","511,473","373,370"
2021-W19,807,"46,200","154,367",180470,"378,691","1,526,949","620,678","457,709"
2021-W18,809,"46,203","154,375",181304,"392,003","1,621,064","718,735","579,375"
2021-W17,814,"46,211","154,378",181771,"400,453","1,678,397","785,660","734,415"
2021-W16,816,"46,215","154,388",182230,"406,601","1,731,011","838,291","914,439"
2021-W15,818,"46,219","154,397",182434,"410,052","1,764,400","868,976","1,123,149"
2021-W14,820,"46,221","154,398",182551,"412,370","1,781,799","884,645","1,302,872"
2021-W13,822,"46,222","154,402",182622,"414,900","1,799,102","898,917","1,411,709"
2021-W12,822,"46,224","154,404",182744,"419,397","1,835,661","924,515","1,499,951"
2021-W11,826,"46,224","154,407",182929,"424,302","1,876,198","952,252","1,617,256"
2021-W10,829,"46,226","154,408",183623,"434,004","1,937,716","987,270","1,737,855"
2021-W09,829,"46,228","154,413",183676,"439,463","1,970,114","1,007,786","1,833,540"
2021-W08,833,"46,229","154,415",183726,"446,080","2,002,904","1,026,020","1,882,313"
2021-W07,834,"46,229","154,418",183768,"449,450","2,023,019","1,037,757","1,910,411"
2021-W06,834,"46,230","154,418",183788,"452,026","2,033,943","1,044,090","1,919,181"
2021-W05,834,"46,230","154,420",183807,"452,848","2,040,352","1,048,462","1,926,072"
2021-W04,835,"46,230","154,421",183813,"454,008","2,049,495","1,053,979","1,941,699"
2021-W03,835,"46,231","154,422",183848,"456,967","2,079,111","1,072,692","1,983,569"
2021-W02,835,"46,232","154,428",183913,"459,200","2,103,154","1,090,508","2,024,313"
2021-W01,835,"46,234","154,428",183936,"459,986","2,113,536","1,097,038","2,032,752"
2020-W53,836,"46,234","154,428",183941,"460,073","2,114,827","1,098,053","2,035,581"
2020-W52,836,"46,234","154,428",183941,"460,073","2,114,827","1,098,053","2,035,581"
2020-W51,836,"46,234","154,428",183941,"460,073","2,114,827","1,098,053","2,035,581"
2020-W50,836,"46,234","154,428",183941,"460,073","2,114,827","1,098,053","2,035,581"
