Reporting week,<18 years,18-24 years,25-49 years,50-59 years,60+ years
2021-W49,1321.00,724.00,1884.00,385.00,427.00
2021-W48,6192.00,3002.00,8475.00,1579.00,1995.00
2021-W47,13255.00,6485.00,18125.00,3165.00,3846.00
2021-W46,21660.00,10714.00,28808.00,4824.00,5759.00
2021-W45,28321.00,14010.00,36902.00,5972.00,7139.00
2021-W44,35224.00,17659.00,45472.00,7225.00,8514.00
2021-W43,43455.00,21380.00,54508.00,8605.00,10268.00
2021-W42,49487.00,24888.00,62416.00,9744.00,11685.00
2021-W41,55915.00,28799.00,70176.00,10835.00,13017.00
2021-W40,62690.00,32816.00,78228.00,11969.00,14259.00
2021-W39,71704.00,37926.00,89155.00,13566.00,15677.00
2021-W38,81803.00,43381.00,99696.00,15134.00,16966.00
2021-W37,91322.00,48017.00,108727.00,16316.00,17894.00
2021-W36,105929.00,53311.00,120210.00,17790.00,18968.00
2021-W35,126936.00,59932.00,134419.00,19386.00,20114.00
2021-W34,148914.00,66235.00,149195.00,21052.00,21372.00
2021-W33,174796.00,72543.00,165042.00,22998.00,22879.00
2021-W32,226160.00,80395.00,182950.00,25954.00,25148.00
2021-W31,330279.00,90271.00,202962.00,29349.00,28248.00
2021-W30,426679.00,100990.00,221589.00,32698.00,31358.00
2021-W29,501948.00,118526.00,241718.00,36372.00,35064.00
2021-W28,562378.00,170509.00,274314.00,40741.00,39881.00
2021-W27,590384.00,256724.00,318958.00,44964.00,44226.00
2021-W26,633391.00,373850.00,549001.00,51162.00,48526.00
2021-W25,666797.00,481879.00,970249.00,61929.00,54335.00
2021-W24,672659.00,543353.00,1491491.00,93038.00,63085.00
2021-W23,674489.00,571289.00,1774650.00,256767.00,82658.00
2021-W22,675629.00,590661.00,1992612.00,426910.00,152230.00
2021-W21,676070.00,598784.00,2130341.00,482126.00,177726.00
2021-W20,676444.00,603963.00,2278795.00,723738.00,220603.00
2021-W19,676895.00,610100.00,2390364.00,855456.00,284921.00
2021-W18,677308.00,615657.00,2473790.00,991392.00,536323.00
2021-W17,677705.00,621313.00,2505710.00,1069109.00,784846.00
2021-W16,677877.00,626524.00,2528929.00,1127845.00,1096178.00
2021-W15,677984.00,631019.00,2544626.00,1152985.00,1451962.00
2021-W14,678098.00,634165.00,2561486.00,1166292.00,1805755.00
2021-W13,678257.00,637712.00,2580987.00,1177654.00,2051004.00
2021-W12,678379.00,642835.00,2605451.00,1192007.00,2258804.00
2021-W11,678607.00,651949.00,2643228.00,1215419.00,2425886.00
2021-W10,678903.00,662220.00,2702008.00,1242508.00,2477691.00
2021-W09,679171.00,673529.00,2773524.00,1274094.00,2504120.00
2021-W08,679285.00,680213.00,2824810.00,1296524.00,2512889.00
2021-W07,679348.00,684385.00,2850894.00,1308153.00,2519789.00
2021-W06,679416.00,686233.00,2866001.00,1316352.00,2527277.00
2021-W05,679587.00,688956.00,2886245.00,1325966.00,2538697.00
2021-W04,680206.00,693985.00,2914290.00,1339448.00,2558286.00
2021-W03,681014.00,700995.00,2955830.00,1360056.00,2610740.00
2021-W02,681101.00,702850.00,2971283.00,1369380.00,2683194.00
2021-W01,681112.00,703195.00,2975500.00,1371906.00,2703342.00
2020-W53,681112.00,703215.00,2975636.00,1372006.00,2704022.00
2020-W52,681112.00,703215.00,2975636.00,1372006.00,2704022.00
2020-W51,681112.00,703215.00,2975636.00,1372006.00,2704022.00
2020-W50,681112.00,703215.00,2975636.00,1372006.00,2704022.00
