Reporting week,<18 years,18-24 years,25-49 years,50-59 years,60+ years
2021-W48,1238.00,1361.00,7094.00,2944.00,6366.00
2021-W47,2158.00,2947.00,15479.00,6402.00,13625.00
2021-W46,3033.00,4802.00,25698.00,10657.00,21792.00
2021-W45,4053.00,7019.00,38523.00,16266.00,32087.00
2021-W44,5331.00,10319.00,56687.00,24124.00,44234.00
2021-W43,6643.00,15514.00,81575.00,34347.00,57873.00
2021-W42,7656.00,19510.00,100455.00,41358.00,66984.00
2021-W41,8029.00,20190.00,105571.00,43596.00,71686.00
2021-W40,8360.00,20750.00,109612.00,45538.00,75872.00
2021-W39,8841.00,21360.00,114002.00,47588.00,80376.00
2021-W38,9304.00,22046.00,118048.00,49698.00,84983.00
2021-W37,9881.00,23204.00,123655.00,52325.00,90986.00
2021-W36,10539.00,24300.00,129780.00,55074.00,96980.00
2021-W35,11415.00,25700.00,138314.00,59084.00,105144.00
2021-W34,12348.00,27251.00,148003.00,63708.00,114614.00
2021-W33,13125.00,28513.00,156468.00,67971.00,123978.00
2021-W32,13941.00,29726.00,165128.00,72583.00,133847.00
2021-W31,14709.00,31091.00,174386.00,77647.00,144735.00
2021-W30,15397.00,32448.00,183711.00,82504.00,155153.00
2021-W29,15965.00,33664.00,191367.00,86866.00,164450.00
2021-W28,16593.00,34869.00,199303.00,91226.00,174437.00
2021-W27,17188.00,36138.00,206974.00,95716.00,185734.00
2021-W26,17672.00,37199.00,213660.00,99461.00,195735.00
2021-W25,18058.00,38153.00,220083.00,103342.00,206882.00
2021-W24,18191.00,39314.00,227527.00,107564.00,219086.00
2021-W23,18335.00,40701.00,236491.00,112495.00,235017.00
2021-W22,18335.00,42087.00,246366.00,117870.00,252495.00
2021-W21,18335.00,43335.00,256587.00,123653.00,272977.00
2021-W20,18335.00,45106.00,271919.00,132204.00,302662.00
2021-W19,18335.00,47064.00,288827.00,141315.00,330156.00
2021-W18,18335.00,48929.00,301935.00,147740.00,346327.00
2021-W17,18335.00,50551.00,317764.00,156209.00,369522.00
2021-W16,18335.00,51765.00,332578.00,164521.00,394546.00
2021-W15,18335.00,52837.00,345943.00,172718.00,422373.00
2021-W14,18335.00,54083.00,360489.00,181667.00,454310.00
2021-W13,18335.00,55590.00,378329.00,191808.00,479113.00
2021-W12,18335.00,56977.00,394899.00,201477.00,502062.00
2021-W11,18335.00,57432.00,401677.00,205437.00,508062.00
2021-W10,18335.00,58273.00,411794.00,212853.00,531552.00
2021-W09,18335.00,59309.00,425794.00,223887.00,568913.00
2021-W08,18335.00,61009.00,447708.00,239949.00,611636.00
2021-W07,18335.00,61790.00,462517.00,250289.00,623241.00
2021-W06,18335.00,61936.00,468165.00,255162.00,627607.00
2021-W05,18335.00,62039.00,471641.00,258738.00,632055.00
2021-W04,18335.00,62092.00,473620.00,260591.00,634668.00
2021-W03,18335.00,62144.00,474712.00,261499.00,635799.00
2021-W02,18335.00,62197.00,476213.00,263077.00,637544.00
2021-W01,18335.00,62317.00,479023.00,265777.00,640647.00
2020-W53,18335.00,62359.00,480532.00,267445.00,642167.00
2020-W52,18335.00,62359.00,480532.00,267445.00,642167.00
2020-W51,18335.00,62359.00,480532.00,267445.00,642167.00
2020-W50,18335.00,62359.00,480532.00,267445.00,642167.00
