Reporting week,<18 years,18-24 years,25-49 years,50-59 years,60+ years
2021-W49,83.00,217.00,548.00,161.00,437.00
2021-W48,1346.00,2671.00,8316.00,2899.00,6379.00
2021-W47,2878.00,6188.00,21550.00,8032.00,15620.00
2021-W46,5360.00,12885.00,47075.00,16961.00,27940.00
2021-W45,8852.00,21300.00,84794.00,30448.00,44468.00
2021-W44,11262.00,24557.00,99718.00,35453.00,51372.00
2021-W43,12308.00,26492.00,107805.00,38313.00,55022.00
2021-W42,13068.00,27837.00,112905.00,40178.00,57523.00
2021-W41,13724.00,29293.00,117971.00,41899.00,60064.00
2021-W40,14438.00,31502.00,124592.00,44453.00,63537.00
2021-W39,15153.00,33843.00,131570.00,47040.00,67179.00
2021-W38,15803.00,35960.00,138121.00,49500.00,70803.00
2021-W37,16463.00,37639.00,144939.00,52178.00,74479.00
2021-W36,16924.00,39149.00,150531.00,54417.00,77657.00
2021-W35,17627.00,40811.00,156909.00,56926.00,81043.00
2021-W34,18181.00,42627.00,164119.00,59717.00,84609.00
2021-W33,18615.00,44139.00,169809.00,62038.00,87431.00
2021-W32,18946.00,45465.00,174722.00,63860.00,89868.00
2021-W31,19306.00,46918.00,179788.00,65851.00,92483.00
2021-W30,19797.00,49197.00,187687.00,68917.00,96361.00
2021-W29,20393.00,52019.00,197338.00,73036.00,101441.00
2021-W28,21086.00,55389.00,208937.00,78107.00,107618.00
2021-W27,21926.00,59811.00,225281.00,85243.00,116396.00
2021-W26,22662.00,62979.00,237444.00,90988.00,124282.00
2021-W25,23292.00,65242.00,245873.00,94895.00,129229.00
2021-W24,23932.00,68461.00,259071.00,100892.00,137029.00
2021-W23,24870.00,76473.00,283718.00,111397.00,149729.00
2021-W22,25280.00,82018.00,310476.00,122146.00,163009.00
2021-W21,25676.00,90013.00,354898.00,142142.00,186303.00
2021-W20,25923.00,98999.00,420084.00,176349.00,222395.00
2021-W19,26118.00,106617.00,494126.00,218880.00,274098.00
2021-W18,26233.00,110723.00,551399.00,262776.00,342610.00
2021-W17,26259.00,112143.00,572999.00,281531.00,384760.00
2021-W16,26296.00,113988.00,585564.00,294099.00,429758.00
2021-W15,26319.00,114985.00,598119.00,307745.00,480582.00
2021-W14,26328.00,115403.00,604712.00,316166.00,520052.00
2021-W13,26342.00,115983.00,609780.00,322241.00,563437.00
2021-W12,26355.00,116415.00,614874.00,327980.00,605997.00
2021-W11,26374.00,116757.00,619307.00,332961.00,649009.00
2021-W10,26385.00,117440.00,623288.00,337106.00,693135.00
2021-W09,26408.00,117695.00,626757.00,340711.00,739245.00
2021-W08,26422.00,118025.00,631219.00,344793.00,791164.00
2021-W07,26429.00,118449.00,636421.00,349060.00,817514.00
2021-W06,26435.00,118629.00,639052.00,351204.00,826456.00
2021-W05,26439.00,118684.00,639710.00,351709.00,827777.00
2021-W04,26440.00,118723.00,640209.00,352038.00,828668.00
2021-W03,26446.00,118967.00,644346.00,354859.00,834436.00
2021-W02,26456.00,119332.00,650529.00,359202.00,841853.00
2021-W01,26463.00,119725.00,657292.00,363374.00,849505.00
2020-W53,26463.00,119867.00,659993.00,365051.00,855681.00
2020-W52,26463.00,119879.00,660358.00,365309.00,857144.00
2020-W51,26463.00,119879.00,660358.00,365309.00,857144.00
2020-W50,26463.00,119879.00,660358.00,365309.00,857144.00
