Reporting week,0-4 years,5-9 years,10-14 years,15-17 years,18-24 years,25-49 years,50-59 years,60+ years
2021-W49,0,0,24,59,217,548,161,437
2021-W48,3,1,376,966,"2,671","8,316","2,899","6,379"
2021-W47,4,1,794,2079,"6,188","21,550","8,032","15,620"
2021-W46,6,2,"1,406",3946,"12,885","47,075","16,961","27,940"
2021-W45,10,4,"2,303",6535,"21,300","84,794","30,448","44,468"
2021-W44,14,8,"3,028",8212,"24,557","99,718","35,453","51,372"
2021-W43,15,10,"3,324",8959,"26,492","107,805","38,313","55,022"
2021-W42,16,12,"3,520",9520,"27,837","112,905","40,178","57,523"
2021-W41,17,12,"3,679",10016,"29,293","117,971","41,899","60,064"
2021-W40,21,12,"3,845",10560,"31,502","124,592","44,453","63,537"
2021-W39,21,12,"4,020",11100,"33,843","131,570","47,040","67,179"
2021-W38,24,12,"4,167",11600,"35,960","138,121","49,500","70,803"
2021-W37,26,12,"4,293",12132,"37,639","144,939","52,178","74,479"
2021-W36,29,12,"4,409",12474,"39,149","150,531","54,417","77,657"
2021-W35,30,12,"4,587",12998,"40,811","156,909","56,926","81,043"
2021-W34,37,12,"4,710",13422,"42,627","164,119","59,717","84,609"
2021-W33,38,12,"4,816",13749,"44,139","169,809","62,038","87,431"
2021-W32,39,13,"4,873",14021,"45,465","174,722","63,860","89,868"
2021-W31,39,13,"4,927",14327,"46,918","179,788","65,851","92,483"
2021-W30,39,13,"5,006",14739,"49,197","187,687","68,917","96,361"
2021-W29,42,15,"5,095",15241,"52,019","197,338","73,036","101,441"
2021-W28,46,17,"5,226",15797,"55,389","208,937","78,107","107,618"
2021-W27,52,17,"5,374",16483,"59,811","225,281","85,243","116,396"
2021-W26,52,17,"5,517",17076,"62,979","237,444","90,988","124,282"
2021-W25,53,18,"5,644",17577,"65,242","245,873","94,895","129,229"
2021-W24,57,18,"5,783",18074,"68,461","259,071","100,892","137,029"
2021-W23,61,19,"5,914",18876,"76,473","283,718","111,397","149,729"
2021-W22,65,20,"5,934",19261,"82,018","310,476","122,146","163,009"
2021-W21,71,21,"5,944",19640,"90,013","354,898","142,142","186,303"
2021-W20,72,24,"5,954",19873,"98,999","420,084","176,349","222,395"
2021-W19,75,26,"5,963",20054,"106,617","494,126","218,880","274,098"
2021-W18,78,28,"5,966",20161,"110,723","551,399","262,776","342,610"
2021-W17,81,28,"5,970",20180,"112,143","572,999","281,531","384,760"
2021-W16,82,28,"5,972",20214,"113,988","585,564","294,099","429,758"
2021-W15,83,28,"5,973",20235,"114,985","598,119","307,745","480,582"
2021-W14,83,28,"5,973",20244,"115,403","604,712","316,166","520,052"
2021-W13,83,28,"5,974",20257,"115,983","609,780","322,241","563,437"
2021-W12,84,28,"5,975",20268,"116,415","614,874","327,980","605,997"
2021-W11,84,28,"5,975",20287,"116,757","619,307","332,961","649,009"
2021-W10,85,28,"5,975",20297,"117,440","623,288","337,106","693,135"
2021-W09,85,28,"5,978",20317,"117,695","626,757","340,711","739,245"
2021-W08,85,28,"5,978",20331,"118,025","631,219","344,793","791,164"
2021-W07,86,28,"5,979",20336,"118,449","636,421","349,060","817,514"
2021-W06,86,28,"5,979",20342,"118,629","639,052","351,204","826,456"
2021-W05,86,28,"5,979",20346,"118,684","639,710","351,709","827,777"
2021-W04,86,28,"5,979",20347,"118,723","640,209","352,038","828,668"
2021-W03,86,28,"5,981",20351,"118,967","644,346","354,859","834,436"
2021-W02,86,29,"5,981",20360,"119,332","650,529","359,202","841,853"
2021-W01,86,29,"5,981",20367,"119,725","657,292","363,374","849,505"
2020-W53,86,29,"5,981",20367,"119,867","659,993","365,051","855,681"
2020-W52,86,29,"5,981",20367,"119,879","660,358","365,309","857,144"
2020-W51,86,29,"5,981",20367,"119,879","660,358","365,309","857,144"
2020-W50,86,29,"5,981",20367,"119,879","660,358","365,309","857,144"
