Reporting week,<18 years,18-24 years,25-49 years,50-59 years,60+ years
2021-W48,1686.00,1150.00,2800.00,452.00,378.00
2021-W47,2759.00,2316.00,5708.00,891.00,716.00
2021-W46,3296.00,3092.00,7558.00,1136.00,932.00
2021-W45,3770.00,3525.00,8831.00,1354.00,1152.00
2021-W44,4173.00,3822.00,9922.00,1525.00,1334.00
2021-W43,4580.00,4131.00,10859.00,1690.00,1505.00
2021-W42,4995.00,4511.00,12076.00,1917.00,1733.00
2021-W41,5208.00,4843.00,13089.00,2087.00,1919.00
2021-W40,5538.00,5264.00,14366.00,2337.00,2144.00
2021-W39,5877.00,5479.00,15006.00,2489.00,2294.00
2021-W38,6421.00,5928.00,16450.00,2793.00,2626.00
2021-W37,7353.00,6753.00,18477.00,3226.00,3129.00
2021-W36,9215.00,7755.00,21769.00,3939.00,3814.00
2021-W35,10612.00,8674.00,24626.00,4493.00,4415.00
2021-W34,12384.00,9789.00,27389.00,5043.00,4928.00
2021-W33,14352.00,11027.00,30643.00,5662.00,5570.00
2021-W32,16472.00,12599.00,34274.00,6365.00,6231.00
2021-W31,18378.00,15369.00,41197.00,7392.00,7293.00
2021-W30,18976.00,18594.00,48901.00,8514.00,8493.00
2021-W29,19764.00,21947.00,58140.00,10238.00,10086.00
2021-W28,21166.00,25726.00,69000.00,12588.00,11984.00
2021-W27,22525.00,27705.00,74887.00,13742.00,12884.00
2021-W26,23544.00,29351.00,80268.00,14896.00,14161.00
2021-W25,23566.00,30569.00,84821.00,15906.00,15241.00
2021-W24,23630.00,34522.00,94256.00,19464.00,19406.00
2021-W23,23632.00,35671.00,112712.00,20098.00,22141.00
2021-W22,23633.00,38208.00,122866.00,20882.00,24914.00
2021-W21,23635.00,45326.00,129133.00,26465.00,28471.00
2021-W20,23635.00,51356.00,143473.00,32158.00,32559.00
2021-W19,23638.00,51780.00,183592.00,36806.00,37850.00
2021-W18,23640.00,51875.00,213062.00,45889.00,46818.00
2021-W17,23644.00,51960.00,242551.00,55395.00,49796.00
2021-W16,23645.00,52021.00,246409.00,72504.00,57509.00
2021-W15,23647.00,52066.00,247013.00,82916.00,65990.00
2021-W14,23659.00,52188.00,248579.00,84461.00,81124.00
2021-W13,23668.00,52306.00,250171.00,85970.00,85964.00
2021-W12,23671.00,52323.00,250510.00,86132.00,97670.00
2021-W11,23671.00,52336.00,250620.00,86204.00,100986.00
2021-W10,23671.00,52433.00,251140.00,86449.00,120656.00
2021-W09,23671.00,52480.00,251783.00,86700.00,134536.00
2021-W08,23671.00,52561.00,252204.00,86878.00,150141.00
2021-W07,23671.00,52710.00,252989.00,87215.00,158601.00
2021-W06,23671.00,52730.00,253517.00,87515.00,164397.00
2021-W05,23671.00,52746.00,253749.00,87638.00,167464.00
2021-W04,23671.00,52759.00,253901.00,87720.00,171650.00
2021-W03,23671.00,52792.00,254225.00,87906.00,175994.00
2021-W02,23671.00,52807.00,254901.00,88243.00,179389.00
2021-W01,23671.00,52840.00,255992.00,88743.00,180840.00
2020-W53,23671.00,52865.00,256787.00,89142.00,182262.00
2020-W52,23671.00,52870.00,256853.00,89159.00,182543.00
2020-W51,23671.00,52870.00,256853.00,89159.00,182543.00
2020-W50,23671.00,52870.00,256853.00,89159.00,182543.00
