Reporting week,<18 years,18-24 years,25-49 years,50-59 years,60+ years
2021-W49,3684.00,2100.00,9004.00,2120.00,3782.00
2021-W48,13233.00,8250.00,34058.00,7880.00,12457.00
2021-W47,27329.00,19793.00,74999.00,16416.00,23047.00
2021-W46,39849.00,29851.00,107860.00,23153.00,31082.00
2021-W45,51028.00,38404.00,137689.00,29661.00,39241.00
2021-W44,61359.00,47858.00,171665.00,37538.00,47570.00
2021-W43,68514.00,53513.00,192263.00,42285.00,51948.00
2021-W42,73498.00,56538.00,204225.00,45039.00,55072.00
2021-W41,76815.00,58322.00,210830.00,46544.00,56963.00
2021-W40,79690.00,60009.00,217184.00,47973.00,58976.00
2021-W39,82604.00,61675.00,222941.00,49257.00,60714.00
2021-W38,86338.00,64093.00,230509.00,51043.00,63419.00
2021-W37,91257.00,67130.00,239428.00,53147.00,66462.00
2021-W36,97407.00,70634.00,249462.00,55553.00,69577.00
2021-W35,107516.00,75143.00,261767.00,58223.00,72730.00
2021-W34,120031.00,80965.00,276970.00,61639.00,76474.00
2021-W33,131883.00,87094.00,293410.00,65405.00,80304.00
2021-W32,148413.00,94180.00,312094.00,69423.00,84788.00
2021-W31,172254.00,105502.00,341801.00,75600.00,91473.00
2021-W30,204601.00,121759.00,383405.00,84405.00,100863.00
2021-W29,234293.00,138721.00,428887.00,94582.00,111383.00
2021-W28,263516.00,162227.00,492324.00,107391.00,125077.00
2021-W27,281010.00,183225.00,541941.00,116583.00,134825.00
2021-W26,296780.00,219515.00,609732.00,127413.00,146953.00
2021-W25,309052.00,267358.00,704038.00,139461.00,159746.00
2021-W24,318310.00,319138.00,849786.00,155475.00,176772.00
2021-W23,325579.00,355679.00,1083731.00,182723.00,204250.00
2021-W22,327058.00,365043.00,1347015.00,219839.00,240052.00
2021-W21,327421.00,369153.00,1576449.00,272531.00,285374.00
2021-W20,327794.00,373068.00,1811538.00,375598.00,357270.00
2021-W19,328094.00,377195.00,1921678.00,579853.00,480365.00
2021-W18,328393.00,380881.00,1969997.00,734111.00,683234.00
2021-W17,328606.00,383812.00,2003576.00,770215.00,927584.00
2021-W16,328847.00,387249.00,2046910.00,796898.00,1124817.00
2021-W15,328959.00,389879.00,2084587.00,820263.00,1296433.00
2021-W14,329008.00,391552.00,2106594.00,833607.00,1404739.00
2021-W13,329036.00,392915.00,2123172.00,843690.00,1482234.00
2021-W12,329100.00,394806.00,2144827.00,856275.00,1589157.00
2021-W11,329156.00,397310.00,2172245.00,875173.00,1739994.00
2021-W10,329219.00,399842.00,2203523.00,896717.00,1904728.00
2021-W09,329234.00,401496.00,2232165.00,918535.00,2016041.00
2021-W08,329297.00,402633.00,2245878.00,925585.00,2070494.00
2021-W07,329318.00,403326.00,2253991.00,929825.00,2109533.00
2021-W06,329328.00,403775.00,2259242.00,932708.00,2131381.00
2021-W05,329332.00,404080.00,2262830.00,934633.00,2150154.00
2021-W04,329351.00,404727.00,2269572.00,938518.00,2182817.00
2021-W03,329367.00,405689.00,2284617.00,947476.00,2232691.00
2021-W02,329393.00,407597.00,2313124.00,961592.00,2260220.00
2021-W01,329400.00,408511.00,2331183.00,969779.00,2268844.00
2020-W53,329402.00,408892.00,2338138.00,972456.00,2271859.00
2020-W52,329402.00,408943.00,2338818.00,972713.00,2272139.00
2020-W51,329402.00,408943.00,2338818.00,972713.00,2272139.00
2020-W50,329402.00,408943.00,2338818.00,972713.00,2272139.00
