Reporting week,10-14 years,15-17 years,18-24 years,25-49 years,50-59 years,60+ years
2021-W49,"2,252",1432,"2,100","9,004","2,120","3,782"
2021-W48,"7,860",5373,"8,250","34,058","7,880","12,457"
2021-W47,"15,404",11925,"19,793","74,999","16,416","23,047"
2021-W46,"21,801",18048,"29,851","107,860","23,153","31,082"
2021-W45,"27,734",23294,"38,404","137,689","29,661","39,241"
2021-W44,"33,096",28263,"47,858","171,665","37,538","47,570"
2021-W43,"36,976",31538,"53,513","192,263","42,285","51,948"
2021-W42,"39,876",33622,"56,538","204,225","45,039","55,072"
2021-W41,"41,852",34963,"58,322","210,830","46,544","56,963"
2021-W40,"43,503",36187,"60,009","217,184","47,973","58,976"
2021-W39,"45,177",37427,"61,675","222,941","49,257","60,714"
2021-W38,"47,229",39109,"64,093","230,509","51,043","63,419"
2021-W37,"50,057",41200,"67,130","239,428","53,147","66,462"
2021-W36,"53,644",43763,"70,634","249,462","55,553","69,577"
2021-W35,"59,678",47838,"75,143","261,767","58,223","72,730"
2021-W34,"66,547",53484,"80,965","276,970","61,639","76,474"
2021-W33,"72,916",58967,"87,094","293,410","65,405","80,304"
2021-W32,"82,152",66261,"94,180","312,094","69,423","84,788"
2021-W31,"94,873",77381,"105,502","341,801","75,600","91,473"
2021-W30,"112,118",92483,"121,759","383,405","84,405","100,863"
2021-W29,"127,228",107065,"138,721","428,887","94,582","111,383"
2021-W28,"139,890",123626,"162,227","492,324","107,391","125,077"
2021-W27,"145,325",135685,"183,225","541,941","116,583","134,825"
2021-W26,"146,798",149982,"219,515","609,732","127,413","146,953"
2021-W25,"146,856",162196,"267,358","704,038","139,461","159,746"
2021-W24,"146,881",171429,"319,138","849,786","155,475","176,772"
2021-W23,"146,897",178682,"355,679","1,083,731","182,723","204,250"
2021-W22,"146,936",180122,"365,043","1,347,015","219,839","240,052"
2021-W21,"146,947",180474,"369,153","1,576,449","272,531","285,374"
2021-W20,"146,980",180814,"373,068","1,811,538","375,598","357,270"
2021-W19,"147,000",181094,"377,195","1,921,678","579,853","480,365"
2021-W18,"147,002",181391,"380,881","1,969,997","734,111","683,234"
2021-W17,"147,004",181602,"383,812","2,003,576","770,215","927,584"
2021-W16,"147,005",181842,"387,249","2,046,910","796,898","1,124,817"
2021-W15,"147,005",181954,"389,879","2,084,587","820,263","1,296,433"
2021-W14,"147,005",182003,"391,552","2,106,594","833,607","1,404,739"
2021-W13,"147,005",182031,"392,915","2,123,172","843,690","1,482,234"
2021-W12,"147,005",182095,"394,806","2,144,827","856,275","1,589,157"
2021-W11,"147,005",182151,"397,310","2,172,245","875,173","1,739,994"
2021-W10,"147,008",182211,"399,842","2,203,523","896,717","1,904,728"
2021-W09,"147,008",182226,"401,496","2,232,165","918,535","2,016,041"
2021-W08,"147,008",182289,"402,633","2,245,878","925,585","2,070,494"
2021-W07,"147,008",182310,"403,326","2,253,991","929,825","2,109,533"
2021-W06,"147,008",182320,"403,775","2,259,242","932,708","2,131,381"
2021-W05,"147,008",182324,"404,080","2,262,830","934,633","2,150,154"
2021-W04,"147,008",182343,"404,727","2,269,572","938,518","2,182,817"
2021-W03,"147,010",182357,"405,689","2,284,617","947,476","2,232,691"
2021-W02,"147,010",182383,"407,597","2,313,124","961,592","2,260,220"
2021-W01,"147,010",182390,"408,511","2,331,183","969,779","2,268,844"
2020-W53,"147,010",182392,"408,892","2,338,138","972,456","2,271,859"
2020-W52,"147,010",182392,"408,943","2,338,818","972,713","2,272,139"
2020-W51,"147,010",182392,"408,943","2,338,818","972,713","2,272,139"
2020-W50,"147,010",182392,"408,943","2,338,818","972,713","2,272,139"
