Reporting week,<18 years,18-24 years,25-49 years,50-59 years,60+ years
2021-W49,19768.00,3108.00,8972.00,987.00,657.00
2021-W48,24557.00,5757.00,17896.00,1963.00,1357.00
2021-W47,31227.00,9307.00,30500.00,3408.00,2185.00
2021-W46,38002.00,12419.00,43564.00,4830.00,3093.00
2021-W45,42091.00,13669.00,49231.00,5391.00,3521.00
2021-W44,44973.00,14661.00,53766.00,5892.00,3859.00
2021-W43,47190.00,15314.00,56860.00,6216.00,4088.00
2021-W42,48901.00,16031.00,59886.00,6573.00,4296.00
2021-W41,51062.00,16801.00,62876.00,6898.00,4539.00
2021-W40,53347.00,17601.00,66304.00,7270.00,4885.00
2021-W39,56140.00,18558.00,70584.00,7761.00,5306.00
2021-W38,59739.00,19821.00,75822.00,8337.00,5819.00
2021-W37,64776.00,21484.00,82608.00,9044.00,6366.00
2021-W36,71754.00,23863.00,92325.00,9873.00,7006.00
2021-W35,82962.00,27069.00,106996.00,11157.00,7943.00
2021-W34,96883.00,31262.00,126776.00,12596.00,8795.00
2021-W33,115855.00,35291.00,148679.00,13959.00,9589.00
2021-W32,151538.00,40362.00,184748.00,15589.00,10491.00
2021-W31,189692.00,47744.00,256039.00,17695.00,11714.00
2021-W30,233000.00,60749.00,378004.00,20612.00,13260.00
2021-W29,248053.00,80271.00,579941.00,23691.00,14942.00
2021-W28,260916.00,119337.00,774718.00,28801.00,17438.00
2021-W27,276122.00,163464.00,878608.00,34403.00,19492.00
2021-W26,286655.00,237717.00,1008733.00,47269.00,22702.00
2021-W25,308911.00,324455.00,1157535.00,80143.00,27637.00
2021-W24,329866.00,384610.00,1274310.00,185483.00,36983.00
2021-W23,340066.00,398463.00,1323932.00,335557.00,62284.00
2021-W22,342253.00,400599.00,1334372.00,513578.00,125668.00
2021-W21,342369.00,401415.00,1338472.00,618792.00,221267.00
2021-W20,342440.00,401982.00,1341897.00,635107.00,354772.00
2021-W19,342494.00,402609.00,1345874.00,638665.00,485430.00
2021-W18,342531.00,403079.00,1349039.00,641088.00,623077.00
2021-W17,342580.00,403624.00,1352334.00,643465.00,765715.00
2021-W16,342623.00,404206.00,1355690.00,645963.00,949013.00
2021-W15,342665.00,404840.00,1359644.00,648872.00,1044521.00
2021-W14,342701.00,405571.00,1364620.00,653402.00,1118251.00
2021-W13,342738.00,406371.00,1369351.00,656850.00,1157650.00
2021-W12,342780.00,407372.00,1375273.00,661107.00,1192798.00
2021-W11,342832.00,410180.00,1391340.00,670363.00,1220633.00
2021-W10,342931.00,414873.00,1423334.00,689396.00,1272229.00
2021-W09,342984.00,418854.00,1452204.00,707650.00,1328694.00
2021-W08,342991.00,421091.00,1466444.00,716268.00,1380997.00
2021-W07,343018.00,422299.00,1475475.00,720906.00,1400758.00
2021-W06,343026.00,422544.00,1477169.00,721863.00,1406871.00
2021-W05,343028.00,422706.00,1478310.00,722618.00,1408477.00
2021-W04,343040.00,423058.00,1481098.00,724208.00,1416259.00
2021-W03,343048.00,424022.00,1495218.00,731683.00,1443458.00
2021-W02,343052.00,425492.00,1514056.00,743993.00,1474837.00
2021-W01,343052.00,425744.00,1516901.00,746050.00,1479864.00
2020-W53,343057.00,426440.00,1529262.00,752599.00,1492833.00
2020-W52,343057.00,426441.00,1529273.00,752601.00,1492838.00
2020-W51,343057.00,426441.00,1529276.00,752601.00,1492839.00
2020-W50,343057.00,426441.00,1529277.00,752601.00,1492839.00
