Reporting week,0-4 years,5-9 years,10-14 years,15-17 years,18-24 years,25-49 years,50-59 years,60+ years
2021-W49,0,"1,661","16,421",1686,"3,108","8,972",987,657
2021-W48,0,"1,663","19,802",3092,"5,757","17,896","1,963","1,357"
2021-W47,1,"1,663","24,632",4931,"9,307","30,500","3,408","2,185"
2021-W46,1,"1,663","29,775",6563,"12,419","43,564","4,830","3,093"
2021-W45,1,"1,663","33,021",7406,"13,669","49,231","5,391","3,521"
2021-W44,1,"1,663","35,306",8003,"14,661","53,766","5,892","3,859"
2021-W43,1,"1,663","37,005",8521,"15,314","56,860","6,216","4,088"
2021-W42,1,"1,663","38,356",8881,"16,031","59,886","6,573","4,296"
2021-W41,1,"1,663","40,069",9329,"16,801","62,876","6,898","4,539"
2021-W40,1,"1,663","41,820",9863,"17,601","66,304","7,270","4,885"
2021-W39,1,"1,664","43,884",10591,"18,558","70,584","7,761","5,306"
2021-W38,1,"1,665","46,511",11562,"19,821","75,822","8,337","5,819"
2021-W37,1,"1,665","50,159",12951,"21,484","82,608","9,044","6,366"
2021-W36,1,"1,665","54,993",15095,"23,863","92,325","9,873","7,006"
2021-W35,2,"1,665","62,847",18448,"27,069","106,996","11,157","7,943"
2021-W34,3,"1,666","72,097",23117,"31,262","126,776","12,596","8,795"
2021-W33,3,"1,666","85,094",29092,"35,291","148,679","13,959","9,589"
2021-W32,3,"1,666","109,082",40787,"40,362","184,748","15,589","10,491"
2021-W31,7,"1,668","133,230",54787,"47,744","256,039","17,695","11,714"
2021-W30,8,"1,668","158,020",73304,"60,749","378,004","20,612","13,260"
2021-W29,11,"1,668","162,592",83782,"80,271","579,941","23,691","14,942"
2021-W28,12,"1,670","162,613",96621,"119,337","774,718","28,801","17,438"
2021-W27,12,"1,670","162,647",111793,"163,464","878,608","34,403","19,492"
2021-W26,12,"1,670","162,653",122320,"237,717","1,008,733","47,269","22,702"
2021-W25,12,"1,670","162,660",144569,"324,455","1,157,535","80,143","27,637"
2021-W24,12,"1,672","162,666",165516,"384,610","1,274,310","185,483","36,983"
2021-W23,13,"1,672","162,679",175702,"398,463","1,323,932","335,557","62,284"
2021-W22,13,"1,673","162,683",177884,"400,599","1,334,372","513,578","125,668"
2021-W21,13,"1,674","162,698",177984,"401,415","1,338,472","618,792","221,267"
2021-W20,13,"1,674","162,713",178040,"401,982","1,341,897","635,107","354,772"
2021-W19,13,"1,674","162,714",178093,"402,609","1,345,874","638,665","485,430"
2021-W18,13,"1,675","162,715",178128,"403,079","1,349,039","641,088","623,077"
2021-W17,13,"1,675","162,716",178176,"403,624","1,352,334","643,465","765,715"
2021-W16,13,"1,675","162,716",178219,"404,206","1,355,690","645,963","949,013"
2021-W15,13,"1,675","162,716",178261,"404,840","1,359,644","648,872","1,044,521"
2021-W14,13,"1,675","162,718",178295,"405,571","1,364,620","653,402","1,118,251"
2021-W13,13,"1,675","162,719",178331,"406,371","1,369,351","656,850","1,157,650"
2021-W12,13,"1,675","162,719",178373,"407,372","1,375,273","661,107","1,192,798"
2021-W11,14,"1,675","162,721",178422,"410,180","1,391,340","670,363","1,220,633"
2021-W10,14,"1,676","162,725",178516,"414,873","1,423,334","689,396","1,272,229"
2021-W09,14,"1,676","162,726",178568,"418,854","1,452,204","707,650","1,328,694"
2021-W08,14,"1,676","162,726",178575,"421,091","1,466,444","716,268","1,380,997"
2021-W07,14,"1,676","162,726",178602,"422,299","1,475,475","720,906","1,400,758"
2021-W06,14,"1,676","162,726",178610,"422,544","1,477,169","721,863","1,406,871"
2021-W05,14,"1,676","162,726",178612,"422,706","1,478,310","722,618","1,408,477"
2021-W04,14,"1,676","162,726",178624,"423,058","1,481,098","724,208","1,416,259"
2021-W03,14,"1,676","162,727",178631,"424,022","1,495,218","731,683","1,443,458"
2021-W02,14,"1,676","162,727",178635,"425,492","1,514,056","743,993","1,474,837"
2021-W01,14,"1,676","162,727",178635,"425,744","1,516,901","746,050","1,479,864"
2020-W53,14,"1,676","162,727",178640,"426,440","1,529,262","752,599","1,492,833"
2020-W52,14,"1,676","162,727",178640,"426,441","1,529,273","752,601","1,492,838"
2020-W51,14,"1,676","162,727",178640,"426,441","1,529,276","752,601","1,492,839"
2020-W50,14,"1,676","162,727",178640,"426,441","1,529,277","752,601","1,492,839"
