Reporting week,<18 years,18-24 years,25-49 years,50-59 years,60+ years
2021-W49,196.00,128.00,373.00,85.00,256.00
2021-W48,744.00,403.00,1415.00,372.00,956.00
2021-W47,1344.00,726.00,2668.00,756.00,1862.00
2021-W46,2130.00,1105.00,4371.00,1261.00,3053.00
2021-W45,3124.00,1586.00,6410.00,1933.00,4746.00
2021-W44,4616.00,2272.00,9756.00,3146.00,7226.00
2021-W43,5971.00,3091.00,13658.00,4410.00,9715.00
2021-W42,6597.00,3680.00,16579.00,5238.00,11284.00
2021-W41,7039.00,4016.00,18130.00,5776.00,12274.00
2021-W40,7497.00,4364.00,19428.00,6158.00,13089.00
2021-W39,8026.00,4753.00,20839.00,6553.00,13899.00
2021-W38,8697.00,5290.00,22727.00,7164.00,14917.00
2021-W37,9328.00,6099.00,25331.00,7940.00,16148.00
2021-W36,9865.00,7140.00,28479.00,8853.00,17549.00
2021-W35,10802.00,8451.00,32598.00,9996.00,18798.00
2021-W34,13221.00,10705.00,39555.00,11776.00,20929.00
2021-W33,15488.00,12696.00,46506.00,13778.00,23115.00
2021-W32,19184.00,15251.00,55641.00,16274.00,26139.00
2021-W31,24167.00,17887.00,65268.00,18813.00,28706.00
2021-W30,27987.00,19732.00,72217.00,20759.00,30778.00
2021-W29,31980.00,22268.00,79342.00,22708.00,32896.00
2021-W28,34700.00,23569.00,84380.00,24155.00,34261.00
2021-W27,37626.00,25020.00,90625.00,25832.00,35982.00
2021-W26,40183.00,26194.00,95166.00,26999.00,37226.00
2021-W25,41816.00,27162.00,98894.00,27701.00,37807.00
2021-W24,43291.00,29808.00,108617.00,29692.00,39657.00
2021-W23,44357.00,33325.00,121858.00,31811.00,41569.00
2021-W22,44357.00,37512.00,138058.00,33948.00,43576.00
2021-W21,44357.00,42421.00,155198.00,36058.00,45554.00
2021-W20,44357.00,43552.00,179277.00,39771.00,47964.00
2021-W19,44357.00,44562.00,191470.00,48501.00,53018.00
2021-W18,44357.00,45574.00,201619.00,61905.00,61691.00
2021-W17,44357.00,46393.00,209478.00,69686.00,73055.00
2021-W16,44357.00,46850.00,214502.00,74669.00,85962.00
2021-W15,44357.00,47172.00,218731.00,79098.00,105867.00
2021-W14,44357.00,47488.00,222627.00,83093.00,130217.00
2021-W13,44357.00,47920.00,227451.00,88233.00,152109.00
2021-W12,44357.00,48301.00,231318.00,91196.00,171721.00
2021-W11,44357.00,49204.00,237829.00,95516.00,188833.00
2021-W10,44357.00,49880.00,244755.00,100768.00,211997.00
2021-W09,44357.00,50799.00,251672.00,105785.00,222718.00
2021-W08,44357.00,51371.00,257564.00,109141.00,229216.00
2021-W07,44357.00,51658.00,261445.00,111966.00,238476.00
2021-W06,44357.00,51990.00,262640.00,112746.00,246443.00
2021-W05,44357.00,52213.00,264525.00,113915.00,250791.00
2021-W04,44357.00,52373.00,265876.00,114822.00,252969.00
2021-W03,44357.00,52502.00,267094.00,115746.00,256130.00
2021-W02,44357.00,52797.00,269366.00,117169.00,259272.00
2021-W01,44357.00,53210.00,273102.00,119166.00,261518.00
2020-W53,44357.00,53312.00,274238.00,119701.00,262076.00
2020-W52,44357.00,53320.00,274342.00,119751.00,262105.00
2020-W51,44357.00,53320.00,274342.00,119751.00,262105.00
2020-W50,44357.00,53320.00,274342.00,119751.00,262105.00
