Reporting week,<18 years,18-24 years,25-49 years,50-59 years,60+ years
2021-W49,705.00,679.00,1835.00,272.00,300.00
2021-W48,3924.00,3330.00,9720.00,1661.00,2009.00
2021-W47,6779.00,5461.00,15883.00,2709.00,3625.00
2021-W46,9541.00,7752.00,22317.00,3834.00,4972.00
2021-W45,12284.00,9892.00,28268.00,4834.00,6287.00
2021-W44,15485.00,12299.00,35163.00,6047.00,7834.00
2021-W43,19628.00,15981.00,45053.00,7751.00,9806.00
2021-W42,23647.00,20114.00,56170.00,9676.00,11866.00
2021-W41,28794.00,23890.00,66531.00,11521.00,14097.00
2021-W40,33376.00,26757.00,74351.00,12929.00,15741.00
2021-W39,37664.00,29744.00,82213.00,14253.00,17292.00
2021-W38,42175.00,33110.00,91549.00,15890.00,19138.00
2021-W37,48521.00,37003.00,100839.00,17458.00,21001.00
2021-W36,57330.00,41155.00,110751.00,19079.00,22812.00
2021-W35,75423.00,45719.00,121513.00,20865.00,24618.00
2021-W34,115585.00,51497.00,135500.00,23233.00,26852.00
2021-W33,177281.00,60043.00,155522.00,26388.00,29843.00
2021-W32,222229.00,71796.00,181393.00,30423.00,33550.00
2021-W31,230661.00,87462.00,212099.00,35881.00,38426.00
2021-W30,238623.00,105171.00,241583.00,41313.00,43065.00
2021-W29,246926.00,125886.00,269632.00,46352.00,47476.00
2021-W28,258492.00,153021.00,304912.00,50932.00,53014.00
2021-W27,274262.00,190397.00,349021.00,55875.00,59310.00
2021-W26,287790.00,243515.00,422433.00,61209.00,65660.00
2021-W25,294478.00,275185.00,510682.00,65876.00,69825.00
2021-W24,299803.00,299782.00,689178.00,76212.00,77099.00
2021-W23,302307.00,309526.00,866497.00,95771.00,88058.00
2021-W22,303459.00,313500.00,997082.00,124612.00,101519.00
2021-W21,303920.00,315934.00,1095919.00,169483.00,118797.00
2021-W20,304498.00,318508.00,1176360.00,237530.00,148256.00
2021-W19,305316.00,321127.00,1223265.00,315393.00,185006.00
2021-W18,306241.00,324790.00,1255052.00,415703.00,254196.00
2021-W17,306887.00,329653.00,1286303.00,485001.00,345040.00
2021-W16,307299.00,333977.00,1320394.00,526177.00,456540.00
2021-W15,307643.00,337899.00,1353150.00,553554.00,596528.00
2021-W14,307780.00,339560.00,1368037.00,566382.00,734273.00
2021-W13,307868.00,340099.00,1372442.00,570012.00,857969.00
2021-W12,307905.00,340290.00,1374112.00,571927.00,963653.00
2021-W11,307967.00,341104.00,1382461.00,583392.00,1069325.00
2021-W10,308021.00,341909.00,1391357.00,597930.00,1168349.00
2021-W09,308052.00,342575.00,1397008.00,609014.00,1261575.00
2021-W08,308074.00,343147.00,1402161.00,616424.00,1342844.00
2021-W07,308091.00,343916.00,1407946.00,621094.00,1409745.00
2021-W06,308113.00,344396.00,1411516.00,623331.00,1442818.00
2021-W05,308142.00,344987.00,1415262.00,625484.00,1458568.00
2021-W04,308204.00,346318.00,1423853.00,630688.00,1485120.00
2021-W03,308289.00,348181.00,1438547.00,639342.00,1513017.00
2021-W02,308320.00,349535.00,1455084.00,647590.00,1527526.00
2021-W01,308326.00,350088.00,1463743.00,650973.00,1530494.00
2020-W53,308327.00,350278.00,1467441.00,652291.00,1531086.00
2020-W52,308327.00,350282.00,1467462.00,652306.00,1531113.00
2020-W51,308327.00,350282.00,1467462.00,652306.00,1531113.00
2020-W50,308327.00,350282.00,1467462.00,652306.00,1531113.00
