Reporting week,10-14 years,15-17 years,18-24 years,25-49 years,50-59 years,60+ years
2021-W49,404,301,679,"1,835",272,300
2021-W48,"2,395",1529,"3,330","9,720","1,661","2,009"
2021-W47,"4,226",2553,"5,461","15,883","2,709","3,625"
2021-W46,"6,031",3510,"7,752","22,317","3,834","4,972"
2021-W45,"7,755",4529,"9,892","28,268","4,834","6,287"
2021-W44,"9,795",5690,"12,299","35,163","6,047","7,834"
2021-W43,"12,244",7384,"15,981","45,053","7,751","9,806"
2021-W42,"14,489",9158,"20,114","56,170","9,676","11,866"
2021-W41,"17,709",11085,"23,890","66,531","11,521","14,097"
2021-W40,"20,482",12894,"26,757","74,351","12,929","15,741"
2021-W39,"23,089",14575,"29,744","82,213","14,253","17,292"
2021-W38,"25,851",16324,"33,110","91,549","15,890","19,138"
2021-W37,"29,883",18638,"37,003","100,839","17,458","21,001"
2021-W36,"35,360",21970,"41,155","110,751","19,079","22,812"
2021-W35,"47,757",27666,"45,719","121,513","20,865","24,618"
2021-W34,"76,862",38723,"51,497","135,500","23,233","26,852"
2021-W33,"119,488",57793,"60,043","155,522","26,388","29,843"
2021-W32,"147,339",74890,"71,796","181,393","30,423","33,550"
2021-W31,"148,179",82482,"87,462","212,099","35,881","38,426"
2021-W30,"148,937",89686,"105,171","241,583","41,313","43,065"
2021-W29,"149,652",97274,"125,886","269,632","46,352","47,476"
2021-W28,"150,490",108002,"153,021","304,912","50,932","53,014"
2021-W27,"151,719",122543,"190,397","349,021","55,875","59,310"
2021-W26,"152,473",135317,"243,515","422,433","61,209","65,660"
2021-W25,"152,638",141840,"275,185","510,682","65,876","69,825"
2021-W24,"152,638",147165,"299,782","689,178","76,212","77,099"
2021-W23,"152,638",149669,"309,526","866,497","95,771","88,058"
2021-W22,"152,638",150821,"313,500","997,082","124,612","101,519"
2021-W21,"152,638",151282,"315,934","1,095,919","169,483","118,797"
2021-W20,"152,638",151860,"318,508","1,176,360","237,530","148,256"
2021-W19,"152,638",152678,"321,127","1,223,265","315,393","185,006"
2021-W18,"152,638",153603,"324,790","1,255,052","415,703","254,196"
2021-W17,"152,638",154249,"329,653","1,286,303","485,001","345,040"
2021-W16,"152,638",154661,"333,977","1,320,394","526,177","456,540"
2021-W15,"152,638",155005,"337,899","1,353,150","553,554","596,528"
2021-W14,"152,638",155142,"339,560","1,368,037","566,382","734,273"
2021-W13,"152,638",155230,"340,099","1,372,442","570,012","857,969"
2021-W12,"152,638",155267,"340,290","1,374,112","571,927","963,653"
2021-W11,"152,638",155329,"341,104","1,382,461","583,392","1,069,325"
2021-W10,"152,638",155383,"341,909","1,391,357","597,930","1,168,349"
2021-W09,"152,638",155414,"342,575","1,397,008","609,014","1,261,575"
2021-W08,"152,638",155436,"343,147","1,402,161","616,424","1,342,844"
2021-W07,"152,638",155453,"343,916","1,407,946","621,094","1,409,745"
2021-W06,"152,638",155475,"344,396","1,411,516","623,331","1,442,818"
2021-W05,"152,638",155504,"344,987","1,415,262","625,484","1,458,568"
2021-W04,"152,638",155566,"346,318","1,423,853","630,688","1,485,120"
2021-W03,"152,638",155651,"348,181","1,438,547","639,342","1,513,017"
2021-W02,"152,638",155682,"349,535","1,455,084","647,590","1,527,526"
2021-W01,"152,638",155688,"350,088","1,463,743","650,973","1,530,494"
2020-W53,"152,638",155689,"350,278","1,467,441","652,291","1,531,086"
2020-W52,"152,638",155689,"350,282","1,467,462","652,306","1,531,113"
2020-W51,"152,638",155689,"350,282","1,467,462","652,306","1,531,113"
2020-W50,"152,638",155689,"350,282","1,467,462","652,306","1,531,113"
