Reporting week,<18 years,18-24 years,25-49 years,50-59 years,60+ years
2021-W49,4709.00,4822.00,18394.00,4769.00,7094.00
2021-W48,26719.00,19788.00,75558.00,19832.00,28836.00
2021-W47,55998.00,39806.00,146439.00,37263.00,52221.00
2021-W46,82677.00,59502.00,215350.00,53228.00,74209.00
2021-W45,105254.00,76024.00,270945.00,65806.00,90513.00
2021-W44,133966.00,94974.00,328543.00,78822.00,105595.00
2021-W43,166992.00,117952.00,395437.00,93762.00,123599.00
2021-W42,200054.00,145534.00,477007.00,112201.00,145433.00
2021-W41,241418.00,177038.00,569555.00,133010.00,170916.00
2021-W40,293439.00,208330.00,666916.00,154800.00,197393.00
2021-W39,364480.00,241138.00,768619.00,177707.00,226159.00
2021-W38,449197.00,274154.00,865938.00,201035.00,258512.00
2021-W37,558822.00,325523.00,1026195.00,239708.00,303033.00
2021-W36,669978.00,391123.00,1227802.00,288835.00,358754.00
2021-W35,855930.00,484289.00,1512340.00,360815.00,433831.00
2021-W34,1069094.00,594430.00,1859495.00,452512.00,527447.00
2021-W33,1293926.00,743962.00,2338678.00,581029.00,651242.00
2021-W32,1568313.00,964795.00,3028261.00,766215.00,820423.00
2021-W31,1958570.00,1283996.00,3971757.00,1018191.00,1035609.00
2021-W30,2360621.00,1714416.00,5191995.00,1326604.00,1280571.00
2021-W29,2690942.00,2109640.00,6301021.00,1603390.00,1500203.00
2021-W28,2955649.00,2392131.00,7103009.00,1806501.00,1667521.00
2021-W27,3169896.00,2572024.00,7638287.00,1960875.00,1812635.00
2021-W26,3400945.00,2752975.00,8136687.00,2099207.00,1945008.00
2021-W25,3642585.00,2960069.00,8713293.00,2249876.00,2085337.00
2021-W24,3915512.00,3227280.00,9562936.00,2458665.00,2269998.00
2021-W23,3944123.00,3615704.00,10852505.00,2771491.00,2523526.00
2021-W22,3958856.00,4011079.00,12279877.00,3168389.00,2828003.00
2021-W21,3968403.00,4305888.00,13511493.00,3651842.00,3156316.00
2021-W20,3975564.00,4582086.00,14834020.00,4357962.00,3636715.00
2021-W19,3980680.00,4752266.00,15855973.00,5100438.00,4199645.00
2021-W18,3982390.00,4817826.00,16493254.00,5604114.00,5013509.00
2021-W17,3983205.00,4849092.00,16780429.00,6007610.00,6075107.00
2021-W16,3983923.00,4871991.00,16969554.00,6322135.00,7098427.00
2021-W15,3984602.00,4899389.00,17177246.00,6637057.00,8297656.00
2021-W14,3985303.00,4926250.00,17374939.00,6859691.00,9398785.00
2021-W13,3985845.00,4950202.00,17560828.00,7051390.00,10526142.00
2021-W12,3986313.00,4965137.00,17692001.00,7238332.00,11820304.00
2021-W11,3986659.00,4974134.00,17775246.00,7332760.00,12694191.00
2021-W10,3987116.00,4990783.00,17907812.00,7516542.00,13646963.00
2021-W09,3987483.00,5004358.00,18010166.00,7689088.00,14331396.00
2021-W08,3987693.00,5014218.00,18079343.00,7772875.00,14589650.00
2021-W07,3987835.00,5022815.00,18147428.00,7801699.00,14777512.00
2021-W06,3987981.00,5028881.00,18209023.00,7832122.00,15054868.00
2021-W05,3988116.00,5030747.00,18234306.00,7857748.00,15376018.00
2021-W04,3988292.00,5033235.00,18273184.00,7902777.00,15824676.00
2021-W03,3988415.00,5036735.00,18336535.00,7989074.00,16351136.00
2021-W02,3988497.00,5039491.00,18397938.00,8103747.00,16520705.00
2021-W01,3988526.00,5040147.00,18412459.00,8142715.00,16568859.00
2020-W53,3988546.00,5040220.00,18413240.00,8143232.00,16570505.00
2020-W52,3988546.00,5040220.00,18413240.00,8143232.00,16570505.00
2020-W51,3988546.00,5040220.00,18413240.00,8143232.00,16570505.00
2020-W50,3988546.00,5040220.00,18413240.00,8143232.00,16570505.00
