Reporting week,<18 years,18-24 years,25-49 years,50-59 years,60+ years
2021-W49,3260.00,2244.00,8939.00,3359.00,10246.00
2021-W48,16616.00,11553.00,45939.00,16369.00,51742.00
2021-W47,31212.00,22276.00,87511.00,29435.00,69668.00
2021-W46,45288.00,32909.00,129027.00,41848.00,84467.00
2021-W45,56201.00,41209.00,165093.00,52135.00,95206.00
2021-W44,66003.00,48272.00,193885.00,60221.00,102927.00
2021-W43,72888.00,54159.00,210664.00,65359.00,108014.00
2021-W42,80487.00,61048.00,228669.00,70750.00,113953.00
2021-W41,86803.00,68010.00,244628.00,75431.00,119293.00
2021-W40,92160.00,74077.00,257387.00,79249.00,123760.00
2021-W39,98068.00,80831.00,270798.00,83138.00,128563.00
2021-W38,106523.00,89904.00,288717.00,88112.00,133708.00
2021-W37,123342.00,106815.00,325543.00,97310.00,141938.00
2021-W36,152002.00,125062.00,365020.00,107061.00,150393.00
2021-W35,178512.00,145822.00,412895.00,118895.00,159386.00
2021-W34,197030.00,161223.00,452964.00,128617.00,166398.00
2021-W33,210653.00,170124.00,475248.00,134549.00,171416.00
2021-W32,218574.00,176726.00,490128.00,138467.00,174809.00
2021-W31,232678.00,191518.00,521330.00,145986.00,181570.00
2021-W30,243537.00,211007.00,562668.00,155454.00,190775.00
2021-W29,259389.00,241920.00,631725.00,171184.00,206239.00
2021-W28,259605.00,277346.00,715145.00,190217.00,224853.00
2021-W27,259650.00,341024.00,836704.00,213037.00,247519.00
2021-W26,259685.00,375466.00,978286.00,243269.00,275566.00
2021-W25,259704.00,389620.00,1088600.00,270389.00,297460.00
2021-W24,259717.00,402572.00,1262780.00,303468.00,323446.00
2021-W23,259744.00,403937.00,1419899.00,349419.00,359145.00
2021-W22,259786.00,406222.00,1586984.00,453232.00,445238.00
2021-W21,259897.00,408387.00,1698397.00,572861.00,577139.00
2021-W20,259977.00,410761.00,1817595.00,712475.00,712681.00
2021-W19,260009.00,412335.00,1911890.00,868827.00,756307.00
2021-W18,260027.00,413280.00,2021201.00,984072.00,793974.00
2021-W17,260043.00,414064.00,2093048.00,1016360.00,855545.00
2021-W16,260085.00,415611.00,2116821.00,1055202.00,1075211.00
2021-W15,260140.00,416848.00,2135621.00,1074655.00,1322217.00
2021-W14,260214.00,418287.00,2154656.00,1094968.00,1545365.00
2021-W13,260254.00,418838.00,2164648.00,1101968.00,1643487.00
2021-W12,260272.00,419208.00,2170567.00,1104535.00,1715330.00
2021-W11,260273.00,419574.00,2175130.00,1106469.00,1808287.00
2021-W10,260273.00,420169.00,2182799.00,1109190.00,1949068.00
2021-W09,260273.00,420718.00,2190980.00,1112333.00,2088715.00
2021-W08,260276.00,421046.00,2197824.00,1114757.00,2183860.00
2021-W07,260278.00,421861.00,2206531.00,1118192.00,2269445.00
2021-W06,260278.00,422095.00,2214052.00,1121452.00,2311597.00
2021-W05,260278.00,422515.00,2223585.00,1125842.00,2382014.00
2021-W04,260278.00,422973.00,2234330.00,1131250.00,2441147.00
2021-W03,260279.00,423254.00,2244981.00,1137298.00,2501862.00
2021-W02,260280.00,423667.00,2260912.00,1146848.00,2512728.00
2021-W01,260281.00,423812.00,2281246.00,1161333.00,2518693.00
2020-W53,260281.00,423817.00,2283232.00,1162571.00,2519103.00
2020-W52,260281.00,423818.00,2283299.00,1162647.00,2519207.00
2020-W51,260281.00,423818.00,2283299.00,1162647.00,2519207.00
2020-W50,260281.00,423818.00,2283299.00,1162647.00,2519207.00
