Reporting week,0-4 years,5-9 years,10-14 years,15-17 years,18-24 years,25-49 years,50-59 years,60+ years
2021-W49,0,0,"1,517",1743,"2,244","8,939","3,359","10,246"
2021-W48,0,0,"7,957",8659,"11,553","45,939","16,369","51,742"
2021-W47,2,0,"14,763",16447,"22,276","87,511","29,435","69,668"
2021-W46,2,0,"21,053",24233,"32,909","129,027","41,848","84,467"
2021-W45,3,0,"25,763",30435,"41,209","165,093","52,135","95,206"
2021-W44,3,0,"29,994",36006,"48,272","193,885","60,221","102,927"
2021-W43,3,0,"32,816",40069,"54,159","210,664","65,359","108,014"
2021-W42,3,0,"35,944",44540,"61,048","228,669","70,750","113,953"
2021-W41,3,0,"38,521",48279,"68,010","244,628","75,431","119,293"
2021-W40,3,0,"41,002",51155,"74,077","257,387","79,249","123,760"
2021-W39,3,0,"43,645",54420,"80,831","270,798","83,138","128,563"
2021-W38,3,0,"47,421",59099,"89,904","288,717","88,112","133,708"
2021-W37,3,0,"54,639",68700,"106,815","325,543","97,310","141,938"
2021-W36,3,0,"67,864",84135,"125,062","365,020","107,061","150,393"
2021-W35,3,0,"79,443",99066,"145,822","412,895","118,895","159,386"
2021-W34,3,0,"87,051",109976,"161,223","452,964","128,617","166,398"
2021-W33,3,0,"92,783",117867,"170,124","475,248","134,549","171,416"
2021-W32,3,0,"96,166",122405,"176,726","490,128","138,467","174,809"
2021-W31,4,0,"101,939",130735,"191,518","521,330","145,986","181,570"
2021-W30,4,0,"103,315",140218,"211,007","562,668","155,454","190,775"
2021-W29,4,0,"103,319",156066,"241,920","631,725","171,184","206,239"
2021-W28,4,0,"103,324",156277,"277,346","715,145","190,217","224,853"
2021-W27,4,0,"103,329",156317,"341,024","836,704","213,037","247,519"
2021-W26,4,0,"103,330",156351,"375,466","978,286","243,269","275,566"
2021-W25,4,0,"103,330",156370,"389,620","1,088,600","270,389","297,460"
2021-W24,4,0,"103,330",156383,"402,572","1,262,780","303,468","323,446"
2021-W23,4,0,"103,330",156410,"403,937","1,419,899","349,419","359,145"
2021-W22,5,0,"103,332",156449,"406,222","1,586,984","453,232","445,238"
2021-W21,5,0,"103,334",156558,"408,387","1,698,397","572,861","577,139"
2021-W20,6,1,"103,344",156626,"410,761","1,817,595","712,475","712,681"
2021-W19,8,1,"103,344",156656,"412,335","1,911,890","868,827","756,307"
2021-W18,8,1,"103,344",156674,"413,280","2,021,201","984,072","793,974"
2021-W17,8,1,"103,344",156690,"414,064","2,093,048","1,016,360","855,545"
2021-W16,8,2,"103,344",156731,"415,611","2,116,821","1,055,202","1,075,211"
2021-W15,8,2,"103,344",156786,"416,848","2,135,621","1,074,655","1,322,217"
2021-W14,8,2,"103,344",156860,"418,287","2,154,656","1,094,968","1,545,365"
2021-W13,8,2,"103,344",156900,"418,838","2,164,648","1,101,968","1,643,487"
2021-W12,8,2,"103,345",156917,"419,208","2,170,567","1,104,535","1,715,330"
2021-W11,8,2,"103,345",156918,"419,574","2,175,130","1,106,469","1,808,287"
2021-W10,8,2,"103,345",156918,"420,169","2,182,799","1,109,190","1,949,068"
2021-W09,8,2,"103,345",156918,"420,718","2,190,980","1,112,333","2,088,715"
2021-W08,8,2,"103,345",156921,"421,046","2,197,824","1,114,757","2,183,860"
2021-W07,8,2,"103,345",156923,"421,861","2,206,531","1,118,192","2,269,445"
2021-W06,8,2,"103,345",156923,"422,095","2,214,052","1,121,452","2,311,597"
2021-W05,8,2,"103,345",156923,"422,515","2,223,585","1,125,842","2,382,014"
2021-W04,8,2,"103,345",156923,"422,973","2,234,330","1,131,250","2,441,147"
2021-W03,8,2,"103,345",156924,"423,254","2,244,981","1,137,298","2,501,862"
2021-W02,8,3,"103,345",156924,"423,667","2,260,912","1,146,848","2,512,728"
2021-W01,8,3,"103,345",156925,"423,812","2,281,246","1,161,333","2,518,693"
2020-W53,8,3,"103,345",156925,"423,817","2,283,232","1,162,571","2,519,103"
2020-W52,8,3,"103,345",156925,"423,818","2,283,299","1,162,647","2,519,207"
2020-W51,8,3,"103,345",156925,"423,818","2,283,299","1,162,647","2,519,207"
2020-W50,8,3,"103,345",156925,"423,818","2,283,299","1,162,647","2,519,207"
