Reporting week,<18 years,18-24 years,25-49 years,50-59 years,60+ years
2021-W49,1674.00,1384.00,5988.00,1948.00,2032.00
2021-W48,6217.00,4842.00,20687.00,6364.00,6252.00
2021-W47,16418.00,13122.00,56459.00,18746.00,16877.00
2021-W46,19573.00,15247.00,66241.00,21474.00,18866.00
2021-W45,22115.00,17609.00,76075.00,24094.00,21063.00
2021-W44,24076.00,19437.00,83502.00,26178.00,22837.00
2021-W43,26062.00,20985.00,89327.00,27836.00,24608.00
2021-W42,27663.00,22286.00,94335.00,29380.00,26640.00
2021-W41,29123.00,23597.00,99218.00,31032.00,28859.00
2021-W40,30383.00,24938.00,104228.00,32628.00,31193.00
2021-W39,31652.00,26320.00,109740.00,34377.00,33900.00
2021-W38,35592.00,27980.00,115384.00,36259.00,36766.00
2021-W37,36980.00,29586.00,121706.00,38546.00,40460.00
2021-W36,39116.00,31535.00,129240.00,41045.00,44617.00
2021-W35,86344.00,35123.00,138459.00,44327.00,49246.00
2021-W34,92306.00,37318.00,148059.00,47694.00,53577.00
2021-W33,96509.00,38789.00,154979.00,50141.00,56954.00
2021-W32,102255.00,40807.00,163955.00,53362.00,60721.00
2021-W31,108220.00,42684.00,171203.00,55834.00,63209.00
2021-W30,115392.00,44308.00,178819.00,58280.00,65601.00
2021-W29,122783.00,45738.00,185914.00,60665.00,68150.00
2021-W28,132301.00,47493.00,193898.00,63207.00,71006.00
2021-W27,143928.00,49573.00,202604.00,65735.00,73699.00
2021-W26,159220.00,52653.00,213596.00,68550.00,76841.00
2021-W25,179647.00,57470.00,229412.00,72567.00,81023.00
2021-W24,199598.00,63903.00,251278.00,78423.00,86696.00
2021-W23,203967.00,73424.00,286229.00,88170.00,97024.00
2021-W22,210212.00,87281.00,337350.00,101868.00,111227.00
2021-W21,215698.00,102134.00,393481.00,116541.00,125936.00
2021-W20,243241.00,152987.00,582909.00,158318.00,166297.00
2021-W19,321789.00,184891.00,721242.00,190537.00,196749.00
2021-W18,321789.00,214909.00,856134.00,219999.00,219558.00
2021-W17,321789.00,284561.00,1146127.00,276517.00,265204.00
2021-W16,321789.00,302590.00,1317594.00,340511.00,345411.00
2021-W15,321789.00,323093.00,1511312.00,406007.00,427455.00
2021-W14,321789.00,345468.00,1791625.00,549115.00,520883.00
2021-W13,321789.00,353488.00,1927297.00,662967.00,709118.00
2021-W12,321789.00,356931.00,1965671.00,691162.00,969402.00
2021-W11,321789.00,360752.00,1996530.00,707977.00,1167759.00
2021-W10,321789.00,364964.00,2051980.00,758681.00,1398928.00
2021-W09,321789.00,365924.00,2063923.00,778250.00,1689175.00
2021-W08,321789.00,366804.00,2084186.00,808804.00,1897283.00
2021-W07,321789.00,368887.00,2096873.00,829920.00,1957609.00
2021-W06,321789.00,369304.00,2103123.00,846151.00,1993202.00
2021-W05,321789.00,370532.00,2108302.00,848539.00,2030332.00
2021-W04,321789.00,374106.00,2135389.00,865672.00,2071805.00
2021-W03,321789.00,376518.00,2145662.00,870354.00,2076335.00
2021-W02,321789.00,379912.00,2167611.00,882584.00,2089811.00
2021-W01,321789.00,382087.00,2193459.00,898232.00,2106082.00
2020-W53,321789.00,382354.00,2199235.00,900974.00,2108075.00
2020-W52,321789.00,382373.00,2199882.00,901252.00,2108226.00
2020-W51,321789.00,382373.00,2199882.00,901252.00,2108226.00
2020-W50,321789.00,382373.00,2199882.00,901252.00,2108226.00
