Reporting week,<18 years,18-24 years,25-49 years,50-59 years,60+ years
2021-W49,27959.00,10440.00,36025.00,12159.00,12455.00
2021-W48,87386.00,32609.00,118889.00,40833.00,41706.00
2021-W47,125907.00,48768.00,185406.00,63484.00,66578.00
2021-W46,151261.00,60926.00,237697.00,80320.00,87546.00
2021-W45,175553.00,74034.00,290512.00,97438.00,107257.00
2021-W44,195361.00,86145.00,337566.00,111797.00,122193.00
2021-W43,216644.00,102738.00,403898.00,132615.00,141535.00
2021-W42,242587.00,131777.00,522277.00,169194.00,169335.00
2021-W41,273619.00,182370.00,758387.00,243944.00,213273.00
2021-W40,304019.00,224741.00,960731.00,307807.00,253137.00
2021-W39,343642.00,280458.00,1223626.00,392722.00,303605.00
2021-W38,393030.00,345266.00,1532860.00,495141.00,366263.00
2021-W37,462025.00,400137.00,1767072.00,565707.00,423021.00
2021-W36,608809.00,470239.00,1999727.00,636238.00,482898.00
2021-W35,817936.00,573652.00,2331640.00,736099.00,556354.00
2021-W34,1018820.00,680636.00,2660510.00,833177.00,624750.00
2021-W33,1199865.00,789180.00,2981177.00,923034.00,683901.00
2021-W32,1401039.00,952733.00,3406812.00,1031347.00,751933.00
2021-W31,1604959.00,1156781.00,3912431.00,1136529.00,822079.00
2021-W30,1768977.00,1360515.00,4433251.00,1233354.00,893511.00
2021-W29,1867346.00,1529615.00,4869574.00,1315593.00,962602.00
2021-W28,1931140.00,1650264.00,5187250.00,1376138.00,1015336.00
2021-W27,2001465.00,1856668.00,5621317.00,1450872.00,1074601.00
2021-W26,2147348.00,2172803.00,6401414.00,1583263.00,1159738.00
2021-W25,2266015.00,2447696.00,7576092.00,1784740.00,1266213.00
2021-W24,2367220.00,2665360.00,8882914.00,2111345.00,1404336.00
2021-W23,2482633.00,2929484.00,10444679.00,2910082.00,1670109.00
2021-W22,2504956.00,3147514.00,11448496.00,3869404.00,2012808.00
2021-W21,2508868.00,3205471.00,11963914.00,4613889.00,2552176.00
2021-W20,2512198.00,3255789.00,12383589.00,5304094.00,3287639.00
2021-W19,2515909.00,3305820.00,12682230.00,5924982.00,4487954.00
2021-W18,2518817.00,3342036.00,12905690.00,6299836.00,5989537.00
2021-W17,2521009.00,3371967.00,13080976.00,6508468.00,7517922.00
2021-W16,2522490.00,3388748.00,13202946.00,6623844.00,8996407.00
2021-W15,2523721.00,3404372.00,13318028.00,6732172.00,10421909.00
2021-W14,2524650.00,3422052.00,13451220.00,6841978.00,11652128.00
2021-W13,2525250.00,3439238.00,13598238.00,6948104.00,12599044.00
2021-W12,2525681.00,3457866.00,13800922.00,7083707.00,13353263.00
2021-W11,2525952.00,3466787.00,13899027.00,7148385.00,13813486.00
2021-W10,2526133.00,3480515.00,14121967.00,7305080.00,14360346.00
2021-W09,2526246.00,3492506.00,14323514.00,7462109.00,14896785.00
2021-W08,2526318.00,3503636.00,14489949.00,7568687.00,15353016.00
2021-W07,2526375.00,3517843.00,14639090.00,7639265.00,15602230.00
2021-W06,2526426.00,3531856.00,14749613.00,7691855.00,15718549.00
2021-W05,2526448.00,3535435.00,14779213.00,7707431.00,15744708.00
2021-W04,2526483.00,3536435.00,14789908.00,7713986.00,15758379.00
2021-W03,2526513.00,3540765.00,14836727.00,7741700.00,15814333.00
2021-W02,2526602.00,3563077.00,15049721.00,7873875.00,15985984.00
2021-W01,2526632.00,3576050.00,15289350.00,8024516.00,16126700.00
2020-W53,2526643.00,3577645.00,15345618.00,8057772.00,16152877.00
2020-W52,2526643.00,3577729.00,15348789.00,8059948.00,16154667.00
2020-W51,2526643.00,3577729.00,15348789.00,8059948.00,16154667.00
2020-W50,2526643.00,3577729.00,15348789.00,8059948.00,16154667.00
