Reporting week,<18 years,18-24 years,25-49 years,50-59 years,60+ years
2021-W48,1489.00,539.00,2079.00,851.00,2319.00
2021-W47,3542.00,1353.00,5160.00,2061.00,5920.00
2021-W46,5449.00,2254.00,8919.00,3449.00,9853.00
2021-W45,7745.00,3457.00,15134.00,6144.00,17663.00
2021-W44,10033.00,4881.00,22865.00,9611.00,27662.00
2021-W43,12975.00,6796.00,34238.00,15009.00,40420.00
2021-W42,16714.00,9583.00,51559.00,22787.00,52726.00
2021-W41,19576.00,12132.00,67486.00,29081.00,60778.00
2021-W40,21448.00,13453.00,75190.00,32158.00,64877.00
2021-W39,23046.00,14507.00,80526.00,34118.00,68022.00
2021-W38,24418.00,15669.00,86311.00,36384.00,71771.00
2021-W37,25556.00,16841.00,91627.00,38588.00,75483.00
2021-W36,26982.00,18550.00,97501.00,40863.00,79027.00
2021-W35,28734.00,20643.00,103284.00,43088.00,81985.00
2021-W34,31506.00,22788.00,109532.00,45656.00,85214.00
2021-W33,34854.00,24759.00,115684.00,48278.00,88671.00
2021-W32,37616.00,26426.00,122276.00,51168.00,92529.00
2021-W31,39415.00,27852.00,127673.00,53713.00,95899.00
2021-W30,41500.00,29549.00,133851.00,56421.00,99594.00
2021-W29,43532.00,31070.00,139499.00,58987.00,103041.00
2021-W28,45684.00,32539.00,144388.00,61083.00,105902.00
2021-W27,48083.00,34080.00,149733.00,63334.00,109485.00
2021-W26,50761.00,35824.00,155384.00,65817.00,113456.00
2021-W25,51612.00,36433.00,157272.00,66484.00,114570.00
2021-W24,54855.00,38644.00,164389.00,69292.00,118674.00
2021-W23,59272.00,42039.00,174502.00,72988.00,123686.00
2021-W22,61450.00,45536.00,185204.00,76818.00,129056.00
2021-W21,63185.00,50040.00,202710.00,82885.00,136034.00
2021-W20,64853.00,54245.00,225301.00,90566.00,144516.00
2021-W19,65030.00,60612.00,263204.00,103478.00,157113.00
2021-W18,65121.00,65795.00,293984.00,112995.00,167961.00
2021-W17,65151.00,67528.00,312428.00,122186.00,183885.00
2021-W16,65162.00,68529.00,325835.00,130173.00,200382.00
2021-W15,65173.00,70324.00,337794.00,136442.00,213258.00
2021-W14,65182.00,70959.00,343020.00,140740.00,232877.00
2021-W13,65185.00,71250.00,346159.00,143900.00,245849.00
2021-W12,65185.00,71399.00,347909.00,145852.00,263415.00
2021-W11,65185.00,71438.00,348173.00,146036.00,267680.00
2021-W10,65186.00,71568.00,349003.00,146706.00,281124.00
2021-W09,65188.00,71730.00,350104.00,147600.00,297764.00
2021-W08,65189.00,72128.00,351825.00,148718.00,311139.00
2021-W07,65189.00,72345.00,353944.00,150271.00,315475.00
2021-W06,65191.00,72596.00,355231.00,150998.00,316573.00
2021-W05,65191.00,72613.00,355490.00,151225.00,316794.00
2021-W04,65195.00,72628.00,355605.00,151273.00,316848.00
2021-W03,65195.00,72689.00,356087.00,151511.00,317038.00
2021-W02,65195.00,73152.00,360029.00,153857.00,319303.00
2021-W01,65195.00,73390.00,362214.00,155105.00,320362.00
2020-W53,65195.00,73521.00,363497.00,155616.00,320715.00
2020-W52,65195.00,73521.00,363497.00,155616.00,320715.00
2020-W51,65195.00,73521.00,363497.00,155616.00,320715.00
2020-W50,65195.00,73521.00,363497.00,155616.00,320715.00
