Reporting week,<18 years,18-24 years,25-49 years,50-59 years,60+ years
2021-W49,513.00,340.00,1272.00,466.00,723.00
2021-W48,1934.00,980.00,3901.00,1466.00,2208.00
2021-W47,3368.00,1517.00,6518.00,2459.00,3916.00
2021-W46,4707.00,2081.00,9464.00,3598.00,5907.00
2021-W45,5994.00,2695.00,12543.00,4761.00,8825.00
2021-W44,6868.00,3177.00,15186.00,5648.00,10854.00
2021-W43,7725.00,3897.00,18896.00,6893.00,13355.00
2021-W42,8564.00,4525.00,22256.00,8052.00,15407.00
2021-W41,9450.00,5084.00,25071.00,8963.00,17070.00
2021-W40,10378.00,5807.00,27906.00,9879.00,18609.00
2021-W39,11696.00,6587.00,31145.00,10958.00,20171.00
2021-W38,12912.00,7854.00,36550.00,12880.00,22493.00
2021-W37,14420.00,9993.00,44742.00,15672.00,25601.00
2021-W36,16050.00,12501.00,53054.00,18892.00,28829.00
2021-W35,18858.00,15609.00,61938.00,22057.00,32159.00
2021-W34,23123.00,19282.00,72470.00,26102.00,36669.00
2021-W33,27666.00,23391.00,86370.00,31441.00,42758.00
2021-W32,32964.00,27370.00,100778.00,37179.00,49900.00
2021-W31,38820.00,32239.00,119729.00,45291.00,57644.00
2021-W30,42872.00,38161.00,146194.00,57339.00,66668.00
2021-W29,45865.00,41943.00,164823.00,65480.00,73034.00
2021-W28,48079.00,43755.00,172700.00,68784.00,75886.00
2021-W27,50101.00,45623.00,179032.00,71322.00,78766.00
2021-W26,52731.00,48219.00,186416.00,74270.00,82017.00
2021-W25,55802.00,50388.00,193774.00,76674.00,84207.00
2021-W24,61841.00,53828.00,205645.00,81212.00,88567.00
2021-W23,64450.00,62006.00,228615.00,87138.00,93721.00
2021-W22,69956.00,82183.00,281017.00,95959.00,100570.00
2021-W21,70471.00,86495.00,319455.00,109603.00,110263.00
2021-W20,70632.00,90395.00,350292.00,126965.00,121787.00
2021-W19,70752.00,95545.00,389199.00,148928.00,139991.00
2021-W18,70857.00,100501.00,430536.00,170935.00,158403.00
2021-W17,70996.00,104077.00,451748.00,187929.00,177940.00
2021-W16,71177.00,109554.00,472730.00,201808.00,203462.00
2021-W15,71314.00,113713.00,494307.00,216910.00,242925.00
2021-W14,71469.00,121679.00,518590.00,233313.00,290123.00
2021-W13,71508.00,125687.00,531581.00,241846.00,329529.00
2021-W12,71521.00,126486.00,537104.00,246460.00,367916.00
2021-W11,71523.00,126601.00,537893.00,247382.00,387638.00
2021-W10,71524.00,126798.00,539036.00,248353.00,429112.00
2021-W09,71531.00,126983.00,540423.00,249597.00,472346.00
2021-W08,71534.00,127152.00,542162.00,251412.00,512069.00
2021-W07,71539.00,127453.00,546359.00,255541.00,526695.00
2021-W06,71550.00,128050.00,554173.00,262012.00,532192.00
2021-W05,71553.00,128291.00,556737.00,263863.00,534347.00
2021-W04,71576.00,129038.00,562717.00,266944.00,537541.00
2021-W03,71584.00,129250.00,565135.00,268751.00,541212.00
2021-W02,71713.00,130022.00,574251.00,276290.00,551400.00
2021-W01,71714.00,130433.00,579473.00,280675.00,555198.00
2020-W53,71714.00,130673.00,582726.00,283042.00,556666.00
2020-W52,71714.00,130757.00,583980.00,283744.00,557048.00
2020-W51,71714.00,130757.00,583980.00,283744.00,557048.00
2020-W50,71714.00,130757.00,583980.00,283744.00,557048.00
