Reporting week,<18 years,18-24 years,25-49 years,50-59 years,60+ years
2021-W49,243.00,304.00,1167.00,252.00,148.00
2021-W48,679.00,780.00,2849.00,594.00,352.00
2021-W47,1053.00,1106.00,3853.00,801.00,535.00
2021-W46,1645.00,1489.00,5139.00,1038.00,788.00
2021-W45,2284.00,1993.00,6616.00,1348.00,1004.00
2021-W44,2940.00,2555.00,8287.00,1674.00,1270.00
2021-W43,4254.00,3261.00,10025.00,2047.00,1568.00
2021-W42,5670.00,3881.00,11651.00,2377.00,1872.00
2021-W41,6167.00,4239.00,12763.00,2628.00,2101.00
2021-W40,6526.00,4450.00,13477.00,2782.00,2251.00
2021-W39,6938.00,4663.00,14167.00,2910.00,2426.00
2021-W38,7467.00,4892.00,14950.00,3098.00,2593.00
2021-W37,8235.00,5260.00,15803.00,3292.00,2798.00
2021-W36,9310.00,5631.00,16682.00,3513.00,3017.00
2021-W35,10366.00,5985.00,17537.00,3689.00,3222.00
2021-W34,11170.00,6307.00,18440.00,3902.00,3446.00
2021-W33,11832.00,6599.00,19427.00,4127.00,3724.00
2021-W32,12282.00,6877.00,20442.00,4341.00,3957.00
2021-W31,12778.00,7282.00,21813.00,4645.00,4230.00
2021-W30,13728.00,7688.00,22955.00,4870.00,4462.00
2021-W29,15103.00,8268.00,24401.00,5180.00,4781.00
2021-W28,22203.00,9631.00,26335.00,5572.00,5132.00
2021-W27,30349.00,17390.00,29976.00,5889.00,5385.00
2021-W26,31095.00,25678.00,40374.00,6256.00,5680.00
2021-W25,31102.00,27654.00,63755.00,6850.00,6170.00
2021-W24,31111.00,27742.00,86383.00,7546.00,6651.00
2021-W23,31113.00,27797.00,98297.00,8082.00,7039.00
2021-W22,31119.00,27861.00,118450.00,8638.00,7341.00
2021-W21,31126.00,27912.00,123274.00,9685.00,7839.00
2021-W20,31130.00,27989.00,133409.00,16886.00,8490.00
2021-W19,31137.00,28088.00,138779.00,32520.00,9728.00
2021-W18,31147.00,28179.00,149129.00,44161.00,10579.00
2021-W17,31153.00,28287.00,150727.00,58133.00,12529.00
2021-W16,31158.00,28348.00,151736.00,61359.00,20383.00
2021-W15,31161.00,28444.00,152339.00,62222.00,38573.00
2021-W14,31164.00,28598.00,153091.00,62820.00,51974.00
2021-W13,31164.00,28704.00,153832.00,63255.00,65641.00
2021-W12,31164.00,28792.00,154395.00,63481.00,73933.00
2021-W11,31164.00,28867.00,154771.00,63797.00,85894.00
2021-W10,31165.00,28976.00,155049.00,64046.00,96050.00
2021-W09,31166.00,29058.00,155426.00,64235.00,100635.00
2021-W08,31173.00,29163.00,156211.00,64602.00,102409.00
2021-W07,31177.00,29422.00,157910.00,65327.00,104424.00
2021-W06,31179.00,29544.00,159044.00,65786.00,104989.00
2021-W05,31180.00,29625.00,159859.00,66156.00,106157.00
2021-W04,31181.00,29718.00,161062.00,66721.00,107206.00
2021-W03,31181.00,29818.00,162066.00,67201.00,107381.00
2021-W02,31181.00,29835.00,162588.00,67445.00,108091.00
2021-W01,31181.00,29835.00,162590.00,67448.00,108528.00
2020-W53,31181.00,29848.00,163057.00,67698.00,108641.00
2020-W52,31181.00,29848.00,163057.00,67698.00,108641.00
2020-W51,31181.00,29848.00,163057.00,67698.00,108641.00
2020-W50,31181.00,29848.00,163057.00,67698.00,108641.00
