Reporting week,<18 years,18-24 years,25-49 years,50-59 years,60+ years
2021-W48,187.00,42.00,250.00,30.00,27.00
2021-W47,289.00,102.00,554.00,58.00,42.00
2021-W46,460.00,187.00,960.00,88.00,63.00
2021-W45,595.00,265.00,1371.00,123.00,80.00
2021-W44,799.00,361.00,1763.00,157.00,98.00
2021-W43,917.00,457.00,2174.00,193.00,119.00
2021-W42,988.00,536.00,2490.00,227.00,134.00
2021-W41,1047.00,651.00,2848.00,253.00,147.00
2021-W40,1114.00,805.00,3463.00,301.00,187.00
2021-W39,1223.00,946.00,3990.00,352.00,215.00
2021-W38,1456.00,1174.00,4722.00,424.00,248.00
2021-W37,1666.00,1365.00,5328.00,490.00,280.00
2021-W36,1764.00,1442.00,5612.00,512.00,295.00
2021-W35,2031.00,1622.00,6230.00,563.00,311.00
2021-W34,2277.00,1792.00,6913.00,630.00,350.00
2021-W33,2590.00,2089.00,8021.00,701.00,394.00
2021-W32,2965.00,2153.00,8372.00,723.00,433.00
2021-W31,3344.00,2179.00,8687.00,741.00,464.00
2021-W30,3881.00,2584.00,9991.00,904.00,553.00
2021-W29,6005.00,3212.00,12027.00,1099.00,684.00
2021-W28,10317.00,4364.00,15146.00,1439.00,813.00
2021-W27,14656.00,4997.00,16765.00,1668.00,916.00
2021-W26,17265.00,5425.00,17638.00,1760.00,976.00
2021-W25,17412.00,5525.00,17916.00,1804.00,1013.00
2021-W24,17705.00,6891.00,21104.00,1867.00,1146.00
2021-W23,18199.00,9018.00,27430.00,2342.00,1315.00
2021-W22,19226.00,11492.00,32046.00,2725.00,1477.00
2021-W21,19465.00,14589.00,38102.00,3124.00,1640.00
2021-W20,20843.00,18784.00,44677.00,3685.00,1876.00
2021-W19,20967.00,19838.00,65141.00,5076.00,2330.00
2021-W18,21028.00,20752.00,88928.00,7626.00,2983.00
2021-W17,21051.00,21375.00,104122.00,11044.00,7295.00
2021-W16,21074.00,21815.00,109514.00,19648.00,14328.00
2021-W15,21083.00,22164.00,111527.00,28682.00,20600.00
2021-W14,21112.00,22525.00,114097.00,33383.00,30655.00
2021-W13,21120.00,22723.00,115570.00,33974.00,50045.00
2021-W12,21160.00,23283.00,118407.00,34993.00,68198.00
2021-W11,21224.00,24180.00,122926.00,36223.00,81645.00
2021-W10,21243.00,25242.00,130454.00,38527.00,93261.00
2021-W09,21257.00,26029.00,139878.00,42643.00,99405.00
2021-W08,21298.00,27467.00,149675.00,45157.00,104222.00
2021-W07,21304.00,28030.00,154967.00,46528.00,108339.00
2021-W06,21305.00,28278.00,156587.00,47057.00,112306.00
2021-W05,21306.00,28428.00,158275.00,47767.00,116251.00
2021-W04,21307.00,28554.00,160076.00,48561.00,118161.00
2021-W03,21308.00,28746.00,161898.00,49437.00,121638.00
2021-W02,21310.00,28916.00,163648.00,50153.00,125428.00
2021-W01,21310.00,29023.00,165074.00,50816.00,126228.00
2020-W53,21310.00,29081.00,165912.00,51130.00,126499.00
2020-W52,21310.00,29084.00,165946.00,51146.00,126503.00
2020-W51,21310.00,29084.00,165946.00,51146.00,126503.00
2020-W50,21310.00,29084.00,165946.00,51146.00,126503.00
