Reporting week,<18 years,18-24 years,25-49 years,50-59 years,60-69 years,70-79 years,80+ years
2020-W52,0,0,0,0,0,0,5
2020-W53,0,0,0,0,0,0,"2,173"
2021-W01,0,0,0,0,0,0,"22,958"
2021-W02,0,0,0,0,0,0,"50,815"
2021-W03,0,477,"8,037","2,781","1,812","1,544","62,986"
2021-W04,0,816,"12,196","4,658","3,108","2,810","81,399"
2021-W05,0,"1,484","19,251","8,014","5,253","9,080","128,179"
2021-W06,0,"2,060","24,504","10,501","6,946","20,812","162,757"
2021-W07,0,"3,392","27,566","24,093","12,820","30,653","184,964"
2021-W08,0,"6,602","45,258","32,619","16,494","31,899","187,125"
2021-W09,0,"11,366","69,105","43,838","22,560","37,216","194,124"
2021-W10,0,"14,699","83,181","52,595","30,416","44,340","204,565"
2021-W11,0,"14,933","84,815","53,565","32,640","77,918","222,438"
2021-W12,0,"16,570","98,244","59,730","40,118","149,589","230,150"
2021-W13,0,"17,821","107,789","66,311","51,679","205,040","232,384"
2021-W14,0,"20,217","124,394","82,358","83,774","299,350","234,255"
2021-W15,0,"22,646","139,079","100,820","163,181","373,776","235,690"
2021-W16,0,"24,902","154,131","119,739","254,027","398,713","236,527"
2021-W17,0,"28,125","180,757","160,598","329,962","407,838","237,313"
2021-W18,0,"31,700","211,762","188,466","366,018","412,062","238,008"
2021-W19,0,"35,374","238,751","213,030","395,203","414,746","238,507"
2021-W20,0,"36,590","247,241","222,608","401,944","416,337","238,743"
2021-W21,0,"38,012","256,944","231,411","409,513","417,786","238,985"
2021-W22,0,"45,926","306,783","289,497","459,300","419,629","239,395"
2021-W23,0,"57,927","355,513","351,065","484,838","420,564","239,673"
2021-W24,"1,904","89,135","413,036","447,053","512,587","421,459","239,956"
2021-W25,"3,882","130,974","537,114","543,193","529,158","422,207","240,203"
2021-W26,"10,055","194,907","752,953","602,000","536,701","422,837","240,389"
2021-W27,"13,940","242,227","927,012","620,281","539,704","423,338","240,575"
2021-W28,"15,925","271,993","1,029,459","627,631","541,316","423,737","240,723"
2021-W29,"18,952","317,220","1,153,940","636,636","542,984","424,130","240,852"
2021-W30,"21,467","351,041","1,295,648","642,457","544,517","424,541","241,006"
2021-W31,"23,055","368,344","1,382,763","646,593","545,919","424,955","241,193"
2021-W32,"23,900","376,822","1,424,447","649,670","546,950","425,319","241,358"
2021-W33,"25,095","381,865","1,447,396","652,020","547,865","425,655","241,482"
2021-W34,"39,328","386,990","1,468,432","654,268","548,737","425,979","241,629"
2021-W35,"39,328","386,990","1,468,432","654,268","548,737","425,979","241,629"
