Reporting week,<18 years,18-24 years,25-49 years,50-59 years,60+ years
2021-W48,3154.00,826.00,3275.00,465.00,602.00
2021-W47,5604.00,1862.00,7045.00,968.00,1242.00
2021-W46,7667.00,2793.00,10662.00,1465.00,1811.00
2021-W45,10024.00,3569.00,13853.00,1824.00,2304.00
2021-W44,12120.00,4350.00,16950.00,2217.00,2752.00
2021-W43,13923.00,4932.00,19404.00,2542.00,3039.00
2021-W42,16916.00,5526.00,21785.00,2828.00,3301.00
2021-W41,20314.00,6110.00,23948.00,3059.00,3591.00
2021-W40,27438.00,7034.00,27557.00,3445.00,3983.00
2021-W39,51220.00,8678.00,33317.00,4174.00,4557.00
2021-W38,109676.00,10516.00,39793.00,4964.00,5155.00
2021-W37,189533.00,13113.00,48475.00,6042.00,5924.00
2021-W36,234401.00,16541.00,59879.00,7387.00,6906.00
2021-W35,269970.00,21408.00,77216.00,9371.00,8302.00
2021-W34,284564.00,26613.00,98324.00,11612.00,9663.00
2021-W33,285807.00,31705.00,121330.00,13934.00,11046.00
2021-W32,286709.00,40270.00,163366.00,16997.00,12627.00
2021-W31,288376.00,57745.00,251306.00,21159.00,14651.00
2021-W30,291002.00,91844.00,394148.00,27070.00,16772.00
2021-W29,294115.00,137453.00,519920.00,36233.00,18979.00
2021-W28,296205.00,167742.00,623392.00,43643.00,21163.00
2021-W27,300230.00,215508.00,798679.00,62075.00,24907.00
2021-W26,306509.00,279697.00,1015876.00,121130.00,33315.00
2021-W25,308561.00,321789.00,1140532.00,217591.00,50979.00
2021-W24,310514.00,353179.00,1198464.00,313861.00,80042.00
2021-W23,310909.00,365452.00,1248079.00,375794.00,106810.00
2021-W22,311131.00,373559.00,1298798.00,434233.00,158809.00
2021-W21,311226.00,375119.00,1309660.00,443331.00,167568.00
2021-W20,311366.00,376552.00,1319173.00,453195.00,175846.00
2021-W19,311639.00,380462.00,1347370.00,478357.00,208677.00
2021-W18,311772.00,384197.00,1379515.00,506901.00,250215.00
2021-W17,311929.00,387681.00,1407853.00,549546.00,339828.00
2021-W16,312072.00,390244.00,1424107.00,569109.00,458820.00
2021-W15,312208.00,393119.00,1440497.00,588400.00,617097.00
2021-W14,312342.00,395825.00,1458318.00,605145.00,747560.00
2021-W13,312413.00,397292.00,1468754.00,612310.00,818644.00
2021-W12,312451.00,399130.00,1483592.00,619232.00,908068.00
2021-W11,312474.00,399610.00,1485779.00,620590.00,963153.00
2021-W10,312508.00,403261.00,1500956.00,629989.00,989152.00
2021-W09,312537.00,408780.00,1527796.00,642556.00,1008398.00
2021-W08,312566.00,412483.00,1547765.00,652171.00,1015801.00
2021-W07,312579.00,414074.00,1562788.00,658628.00,1052375.00
2021-W06,312589.00,414794.00,1568840.00,661471.00,1102274.00
2021-W05,312593.00,415695.00,1576932.00,665310.00,1159788.00
2021-W04,312599.00,416321.00,1582092.00,667520.00,1181783.00
2021-W03,312604.00,416932.00,1590733.00,670513.00,1198180.00
2021-W02,312631.00,417561.00,1599150.00,673745.00,1214992.00
2021-W01,312632.00,417656.00,1600113.00,674344.00,1234470.00
2020-W53,312632.00,417670.00,1600241.00,674439.00,1236536.00
2020-W52,312632.00,417673.00,1600272.00,674444.00,1236560.00
2020-W51,312632.00,417673.00,1600272.00,674444.00,1236560.00
2020-W50,312632.00,417673.00,1600272.00,674444.00,1236560.00
