Reporting week,<18 years,18-24 years,25-49 years,50-59 years,60+ years
2021-W49,12090.00,7265.00,31591.00,7352.00,12044.00
2021-W48,35305.00,19780.00,88050.00,19939.00,30202.00
2021-W47,57621.00,31041.00,144405.00,32388.00,47873.00
2021-W46,76714.00,40560.00,190645.00,42252.00,62019.00
2021-W45,91909.00,48012.00,224879.00,49789.00,72426.00
2021-W44,104283.00,54158.00,254226.00,56291.00,82303.00
2021-W43,115934.00,60532.00,282790.00,62606.00,91540.00
2021-W42,125694.00,65418.00,304774.00,67674.00,100007.00
2021-W41,136246.00,70002.00,324591.00,72350.00,108315.00
2021-W40,148264.00,75138.00,346862.00,77595.00,117482.00
2021-W39,163302.00,80745.00,369940.00,82964.00,127290.00
2021-W38,184801.00,87129.00,395571.00,89261.00,137260.00
2021-W37,207187.00,94069.00,422736.00,95732.00,147239.00
2021-W36,220699.00,101260.00,454048.00,103583.00,159400.00
2021-W35,238352.00,109507.00,490440.00,112511.00,172108.00
2021-W34,263264.00,118763.00,532447.00,123449.00,187933.00
2021-W33,286394.00,128977.00,577712.00,135309.00,205348.00
2021-W32,312582.00,141396.00,631849.00,150634.00,227871.00
2021-W31,344334.00,156869.00,700235.00,169654.00,253904.00
2021-W30,377567.00,174818.00,777843.00,191319.00,284791.00
2021-W29,411284.00,193156.00,858747.00,214478.00,318383.00
2021-W28,450457.00,214899.00,951634.00,241513.00,356392.00
2021-W27,491380.00,237799.00,1047001.00,268803.00,393377.00
2021-W26,553014.00,273842.00,1192941.00,311601.00,451968.00
2021-W25,620272.00,320339.00,1378618.00,361665.00,516891.00
2021-W24,718688.00,387230.00,1640999.00,430232.00,601666.00
2021-W23,888591.00,488292.00,2036954.00,529023.00,714822.00
2021-W22,940940.00,615041.00,2491807.00,638354.00,837813.00
2021-W21,963946.00,691772.00,2847021.00,748004.00,952348.00
2021-W20,996271.00,818418.00,3411724.00,907165.00,1109564.00
2021-W19,996886.00,956589.00,4133284.00,1071090.00,1277922.00
2021-W18,997202.00,999515.00,4876927.00,1292726.00,1514378.00
2021-W17,997501.00,1014770.00,5355786.00,1589482.00,1943162.00
2021-W16,997681.00,1026572.00,5525860.00,1960272.00,2480867.00
2021-W15,997776.00,1035848.00,5639620.00,2156385.00,3150129.00
2021-W14,997857.00,1045598.00,5752043.00,2276693.00,3907800.00
2021-W13,997963.00,1051992.00,5834112.00,2318782.00,4485544.00
2021-W12,998045.00,1056765.00,5883107.00,2344414.00,5068188.00
2021-W11,998105.00,1065287.00,5918304.00,2359952.00,5325083.00
2021-W10,998140.00,1077041.00,5987896.00,2389221.00,5583472.00
2021-W09,998159.00,1080394.00,6101718.00,2448807.00,5800694.00
2021-W08,998172.00,1083273.00,6200613.00,2506113.00,6004769.00
2021-W07,998187.00,1086754.00,6275068.00,2548808.00,6192487.00
2021-W06,998212.00,1090010.00,6303559.00,2562621.00,6423496.00
2021-W05,998235.00,1093723.00,6319999.00,2569726.00,6638332.00
2021-W04,998280.00,1103089.00,6371912.00,2593761.00,6871211.00
2021-W03,998407.00,1113114.00,6437623.00,2628697.00,6956320.00
2021-W02,998522.00,1135536.00,6565055.00,2699726.00,7007894.00
2021-W01,998634.00,1143246.00,6639102.00,2746773.00,7040216.00
2020-W53,998675.00,1144354.00,6662226.00,2762135.00,7050729.00
2020-W52,998676.00,1144397.00,6663344.00,2762797.00,7051121.00
2020-W51,998676.00,1144397.00,6663344.00,2762797.00,7051121.00
2020-W50,998676.00,1144397.00,6663344.00,2762797.00,7051121.00
