Reporting week,0-4 years,5-9 years,10-14 years,15-17 years,18-24 years,25-49 years,50-59 years,60+ years
2021-W49,0,1,"6,827",5262,"7,265","31,591","7,352","12,044"
2021-W48,0,4,"19,959",15342,"19,780","88,050","19,939","30,202"
2021-W47,1,6,"32,436",25178,"31,041","144,405","32,388","47,873"
2021-W46,1,6,"43,168",33539,"40,560","190,645","42,252","62,019"
2021-W45,2,7,"51,648",40252,"48,012","224,879","49,789","72,426"
2021-W44,2,8,"58,614",45659,"54,158","254,226","56,291","82,303"
2021-W43,2,8,"65,113",50811,"60,532","282,790","62,606","91,540"
2021-W42,2,8,"70,838",54846,"65,418","304,774","67,674","100,007"
2021-W41,2,9,"77,084",59151,"70,002","324,591","72,350","108,315"
2021-W40,3,10,"84,074",64177,"75,138","346,862","77,595","117,482"
2021-W39,5,12,"93,271",70014,"80,745","369,940","82,964","127,290"
2021-W38,5,12,"106,835",77949,"87,129","395,571","89,261","137,260"
2021-W37,5,15,"121,008",86159,"94,069","422,736","95,732","147,239"
2021-W36,5,15,"128,876",91803,"101,260","454,048","103,583","159,400"
2021-W35,5,15,"139,603",98729,"109,507","490,440","112,511","172,108"
2021-W34,6,15,"154,129",109114,"118,763","532,447","123,449","187,933"
2021-W33,6,15,"167,169",119204,"128,977","577,712","135,309","205,348"
2021-W32,6,15,"181,374",131187,"141,396","631,849","150,634","227,871"
2021-W31,6,15,"198,634",145679,"156,869","700,235","169,654","253,904"
2021-W30,7,15,"216,317",161228,"174,818","777,843","191,319","284,791"
2021-W29,8,16,"234,068",177192,"193,156","858,747","214,478","318,383"
2021-W28,10,16,"254,765",195666,"214,899","951,634","241,513","356,392"
2021-W27,10,23,"276,684",214663,"237,799","1,047,001","268,803","393,377"
2021-W26,10,25,"307,446",245533,"273,842","1,192,941","311,601","451,968"
2021-W25,10,25,"340,341",279896,"320,339","1,378,618","361,665","516,891"
2021-W24,10,27,"388,859",329792,"387,230","1,640,999","430,232","601,666"
2021-W23,11,39,"477,083",411458,"488,292","2,036,954","529,023","714,822"
2021-W22,12,39,"477,224",463665,"615,041","2,491,807","638,354","837,813"
2021-W21,12,40,"477,236",486658,"691,772","2,847,021","748,004","952,348"
2021-W20,12,40,"477,248",518971,"818,418","3,411,724","907,165","1,109,564"
2021-W19,12,40,"477,260",519574,"956,589","4,133,284","1,071,090","1,277,922"
2021-W18,12,42,"477,267",519881,"999,515","4,876,927","1,292,726","1,514,378"
2021-W17,12,42,"477,272",520175,"1,014,770","5,355,786","1,589,482","1,943,162"
2021-W16,12,42,"477,275",520352,"1,026,572","5,525,860","1,960,272","2,480,867"
2021-W15,13,42,"477,276",520445,"1,035,848","5,639,620","2,156,385","3,150,129"
2021-W14,14,42,"477,278",520523,"1,045,598","5,752,043","2,276,693","3,907,800"
2021-W13,16,42,"477,278",520627,"1,051,992","5,834,112","2,318,782","4,485,544"
2021-W12,19,42,"477,278",520706,"1,056,765","5,883,107","2,344,414","5,068,188"
2021-W11,19,43,"477,279",520764,"1,065,287","5,918,304","2,359,952","5,325,083"
2021-W10,20,44,"477,279",520797,"1,077,041","5,987,896","2,389,221","5,583,472"
2021-W09,21,44,"477,279",520815,"1,080,394","6,101,718","2,448,807","5,800,694"
2021-W08,21,44,"477,279",520828,"1,083,273","6,200,613","2,506,113","6,004,769"
2021-W07,21,44,"477,280",520842,"1,086,754","6,275,068","2,548,808","6,192,487"
2021-W06,21,44,"477,281",520866,"1,090,010","6,303,559","2,562,621","6,423,496"
2021-W05,23,44,"477,282",520886,"1,093,723","6,319,999","2,569,726","6,638,332"
2021-W04,23,44,"477,283",520930,"1,103,089","6,371,912","2,593,761","6,871,211"
2021-W03,23,44,"477,284",521056,"1,113,114","6,437,623","2,628,697","6,956,320"
2021-W02,23,44,"477,284",521171,"1,135,536","6,565,055","2,699,726","7,007,894"
2021-W01,23,44,"477,284",521283,"1,143,246","6,639,102","2,746,773","7,040,216"
2020-W53,23,44,"477,284",521324,"1,144,354","6,662,226","2,762,135","7,050,729"
2020-W52,23,44,"477,284",521325,"1,144,397","6,663,344","2,762,797","7,051,121"
2020-W51,23,44,"477,284",521325,"1,144,397","6,663,344","2,762,797","7,051,121"
2020-W50,23,44,"477,284",521325,"1,144,397","6,663,344","2,762,797","7,051,121"
