Reporting week,<18 years,18-24 years,25-49 years,50-59 years,60+ years
2021-W49,1858.00,2201.00,5576.00,854.00,981.00
2021-W48,6809.00,7257.00,18709.00,2960.00,3331.00
2021-W47,10566.00,10900.00,27970.00,4599.00,5736.00
2021-W46,14473.00,14817.00,36625.00,5987.00,7791.00
2021-W45,17092.00,17621.00,42659.00,6779.00,8973.00
2021-W44,18893.00,19801.00,47445.00,7341.00,9717.00
2021-W43,21056.00,22767.00,53901.00,8127.00,10688.00
2021-W42,23144.00,25730.00,60450.00,9039.00,11740.00
2021-W41,25778.00,29909.00,69188.00,10049.00,12899.00
2021-W40,28185.00,32905.00,75546.00,10829.00,13802.00
2021-W39,31482.00,37948.00,86759.00,12339.00,15614.00
2021-W38,37206.00,45165.00,103503.00,14795.00,18462.00
2021-W37,50133.00,54333.00,122413.00,17603.00,21549.00
2021-W36,70810.00,67364.00,147665.00,21806.00,26000.00
2021-W35,113038.00,90142.00,194338.00,31917.00,35400.00
2021-W34,245624.00,146665.00,282842.00,40777.00,43716.00
2021-W33,423627.00,241211.00,361170.00,46073.00,51036.00
2021-W32,566351.00,329184.00,432154.00,50686.00,60020.00
2021-W31,570996.00,383246.00,485374.00,55003.00,74495.00
2021-W30,572636.00,404348.00,547283.00,60048.00,90573.00
2021-W29,572916.00,423918.00,651461.00,67016.00,103969.00
2021-W28,573201.00,438155.00,860264.00,79039.00,115008.00
2021-W27,573657.00,450132.00,1229499.00,114783.00,131559.00
2021-W26,573903.00,452310.00,1545508.00,167380.00,150794.00
2021-W25,574326.00,455308.00,1819141.00,245483.00,173282.00
2021-W24,574921.00,458458.00,2060127.00,322365.00,196534.00
2021-W23,575328.00,461385.00,2189221.00,516252.00,231742.00
2021-W22,575612.00,463797.00,2232379.00,656999.00,276754.00
2021-W21,575925.00,466104.00,2259337.00,800614.00,336810.00
2021-W20,576245.00,468236.00,2292540.00,935138.00,473488.00
2021-W19,576425.00,470518.00,2318226.00,976904.00,694197.00
2021-W18,576539.00,472379.00,2329038.00,991784.00,1038992.00
2021-W17,576591.00,475073.00,2340481.00,1001734.00,1362081.00
2021-W16,576622.00,476396.00,2351947.00,1008505.00,1554742.00
2021-W15,576672.00,480723.00,2441506.00,1070958.00,1825363.00
2021-W14,576707.00,481546.00,2450814.00,1080171.00,2063821.00
2021-W13,576724.00,482253.00,2455735.00,1085131.00,2192341.00
2021-W12,576759.00,485575.00,2498397.00,1109814.00,2380434.00
2021-W11,576765.00,485871.00,2503300.00,1113111.00,2455047.00
2021-W10,576786.00,487280.00,2519999.00,1127189.00,2520108.00
2021-W09,576800.00,488244.00,2527815.00,1145085.00,2633472.00
2021-W08,576825.00,489590.00,2539655.00,1172953.00,2770056.00
2021-W07,576858.00,491924.00,2562187.00,1186101.00,2836022.00
2021-W06,576896.00,493418.00,2576174.00,1191231.00,2856627.00
2021-W05,576932.00,494423.00,2586388.00,1195321.00,2865690.00
2021-W04,576948.00,495831.00,2602303.00,1203059.00,2882960.00
2021-W03,577018.00,499715.00,2640267.00,1223116.00,2943787.00
2021-W02,577034.00,501169.00,2657250.00,1231594.00,2967159.00
2021-W01,577040.00,503026.00,2685362.00,1241194.00,2976716.00
2020-W53,577042.00,504224.00,2706237.00,1247045.00,2979706.00
2020-W52,577042.00,504397.00,2709504.00,1248153.00,2980283.00
2020-W51,577042.00,504397.00,2709504.00,1248153.00,2980283.00
2020-W50,577042.00,504397.00,2709504.00,1248153.00,2980283.00
