Reporting week,0-4 years,5-9 years,10-14 years,15-17 years,18-24 years,25-49 years,50-59 years,60+ years
2021-W49,0,0,"1,320",538,"2,201","5,576",854,981
2021-W48,0,0,"4,816",1993,"7,257","18,709","2,960","3,331"
2021-W47,0,1,"7,421",3144,"10,900","27,970","4,599","5,736"
2021-W46,2,1,"10,070",4400,"14,817","36,625","5,987","7,791"
2021-W45,2,3,"11,807",5280,"17,621","42,659","6,779","8,973"
2021-W44,2,4,"13,025",5862,"19,801","47,445","7,341","9,717"
2021-W43,2,5,"14,488",6561,"22,767","53,901","8,127","10,688"
2021-W42,2,5,"15,859",7278,"25,730","60,450","9,039","11,740"
2021-W41,2,5,"17,525",8246,"29,909","69,188","10,049","12,899"
2021-W40,2,5,"19,117",9061,"32,905","75,546","10,829","13,802"
2021-W39,2,5,"21,170",10305,"37,948","86,759","12,339","15,614"
2021-W38,3,5,"24,833",12365,"45,165","103,503","14,795","18,462"
2021-W37,5,5,"33,125",16998,"54,333","122,413","17,603","21,549"
2021-W36,8,5,"46,037",24760,"67,364","147,665","21,806","26,000"
2021-W35,8,5,"71,563",41462,"90,142","194,338","31,917","35,400"
2021-W34,8,5,"158,420",87191,"146,665","282,842","40,777","43,716"
2021-W33,8,6,"276,779",146834,"241,211","361,170","46,073","51,036"
2021-W32,9,7,"278,738",287597,"329,184","432,154","50,686","60,020"
2021-W31,11,7,"279,549",291429,"383,246","485,374","55,003","74,495"
2021-W30,11,7,"279,984",292634,"404,348","547,283","60,048","90,573"
2021-W29,11,7,"280,014",292884,"423,918","651,461","67,016","103,969"
2021-W28,11,7,"280,040",293143,"438,155","860,264","79,039","115,008"
2021-W27,11,7,"280,075",293564,"450,132","1,229,499","114,783","131,559"
2021-W26,11,7,"280,113",293772,"452,310","1,545,508","167,380","150,794"
2021-W25,11,7,"280,158",294150,"455,308","1,819,141","245,483","173,282"
2021-W24,12,7,"280,182",294720,"458,458","2,060,127","322,365","196,534"
2021-W23,12,7,"280,199",295110,"461,385","2,189,221","516,252","231,742"
2021-W22,12,7,"280,215",295378,"463,797","2,232,379","656,999","276,754"
2021-W21,12,7,"280,255",295651,"466,104","2,259,337","800,614","336,810"
2021-W20,12,8,"280,281",295944,"468,236","2,292,540","935,138","473,488"
2021-W19,12,9,"280,316",296088,"470,518","2,318,226","976,904","694,197"
2021-W18,12,10,"280,321",296196,"472,379","2,329,038","991,784","1,038,992"
2021-W17,12,10,"280,322",296247,"475,073","2,340,481","1,001,734","1,362,081"
2021-W16,12,10,"280,322",296278,"476,396","2,351,947","1,008,505","1,554,742"
2021-W15,13,10,"280,322",296327,"480,723","2,441,506","1,070,958","1,825,363"
2021-W14,13,10,"280,323",296361,"481,546","2,450,814","1,080,171","2,063,821"
2021-W13,13,10,"280,323",296378,"482,253","2,455,735","1,085,131","2,192,341"
2021-W12,14,10,"280,324",296411,"485,575","2,498,397","1,109,814","2,380,434"
2021-W11,14,10,"280,324",296417,"485,871","2,503,300","1,113,111","2,455,047"
2021-W10,14,11,"280,324",296437,"487,280","2,519,999","1,127,189","2,520,108"
2021-W09,14,11,"280,324",296451,"488,244","2,527,815","1,145,085","2,633,472"
2021-W08,14,11,"280,324",296476,"489,590","2,539,655","1,172,953","2,770,056"
2021-W07,14,11,"280,324",296509,"491,924","2,562,187","1,186,101","2,836,022"
2021-W06,14,11,"280,325",296546,"493,418","2,576,174","1,191,231","2,856,627"
2021-W05,15,11,"280,325",296581,"494,423","2,586,388","1,195,321","2,865,690"
2021-W04,15,11,"280,325",296597,"495,831","2,602,303","1,203,059","2,882,960"
2021-W03,15,11,"280,327",296665,"499,715","2,640,267","1,223,116","2,943,787"
2021-W02,15,11,"280,328",296680,"501,169","2,657,250","1,231,594","2,967,159"
2021-W01,15,11,"280,329",296685,"503,026","2,685,362","1,241,194","2,976,716"
2020-W53,15,11,"280,329",296687,"504,224","2,706,237","1,247,045","2,979,706"
2020-W52,15,11,"280,329",296687,"504,397","2,709,504","1,248,153","2,980,283"
2020-W51,15,11,"280,329",296687,"504,397","2,709,504","1,248,153","2,980,283"
2020-W50,15,11,"280,329",296687,"504,397","2,709,504","1,248,153","2,980,283"
