Reporting week,<18 years,18-24 years,25-49 years,50-59 years,60+ years
2021-W49,791.00,268.00,752.00,137.00,112.00
2021-W48,4349.00,1513.00,3834.00,574.00,574.00
2021-W47,7939.00,3053.00,7656.00,1051.00,1024.00
2021-W46,11535.00,4586.00,11725.00,1523.00,1452.00
2021-W45,14323.00,6216.00,15625.00,1890.00,1814.00
2021-W44,17189.00,7945.00,19838.00,2319.00,2159.00
2021-W43,21318.00,9942.00,24718.00,2826.00,2529.00
2021-W42,24985.00,11994.00,29477.00,3362.00,2936.00
2021-W41,27411.00,12868.00,32103.00,3640.00,3336.00
2021-W40,29998.00,13794.00,34620.00,3896.00,3761.00
2021-W39,34095.00,15817.00,38177.00,4187.00,4025.00
2021-W38,39563.00,17565.00,42107.00,4545.00,4301.00
2021-W37,46813.00,19988.00,46707.00,4911.00,4540.00
2021-W36,55325.00,23063.00,52948.00,5403.00,4876.00
2021-W35,75642.00,27449.00,60641.00,6057.00,5317.00
2021-W34,123712.00,33775.00,71346.00,6954.00,5915.00
2021-W33,190451.00,39703.00,81109.00,7756.00,6519.00
2021-W32,241537.00,48844.00,93546.00,8573.00,7023.00
2021-W31,277489.00,79130.00,119068.00,10052.00,7995.00
2021-W30,300917.00,143216.00,166708.00,11616.00,8984.00
2021-W29,302842.00,183569.00,296821.00,13477.00,10029.00
2021-W28,304026.00,194981.00,413268.00,15409.00,11267.00
2021-W27,304822.00,204948.00,500113.00,17448.00,12704.00
2021-W26,305406.00,212128.00,607254.00,18995.00,13661.00
2021-W25,305982.00,218598.00,698242.00,20826.00,14754.00
2021-W24,307156.00,224024.00,777751.00,24024.00,16279.00
2021-W23,307622.00,229479.00,913766.00,31921.00,18752.00
2021-W22,308217.00,235844.00,1039920.00,48439.00,22528.00
2021-W21,308777.00,242280.00,1128886.00,108197.00,30626.00
2021-W20,309388.00,247284.00,1166892.00,247027.00,47781.00
2021-W19,309922.00,251398.00,1195306.00,355172.00,125704.00
2021-W18,310349.00,255573.00,1226584.00,382717.00,257095.00
2021-W17,310480.00,259327.00,1256927.00,411989.00,356870.00
2021-W16,311238.00,261170.00,1271115.00,426593.00,471650.00
2021-W15,311305.00,261822.00,1276898.00,431678.00,570770.00
2021-W14,311356.00,264514.00,1290155.00,440220.00,633965.00
2021-W13,311450.00,268004.00,1306440.00,448750.00,693470.00
2021-W12,311580.00,271397.00,1324491.00,458178.00,749967.00
2021-W11,311591.00,271898.00,1326602.00,459326.00,792864.00
2021-W10,311603.00,274954.00,1344489.00,467424.00,841820.00
2021-W09,311607.00,277445.00,1360076.00,474267.00,896112.00
2021-W08,311617.00,280743.00,1380154.00,483103.00,943324.00
2021-W07,311621.00,283161.00,1393560.00,488901.00,963600.00
2021-W06,311622.00,284600.00,1406929.00,495192.00,970905.00
2021-W05,311625.00,285211.00,1411860.00,497124.00,972437.00
2021-W04,311626.00,285552.00,1415287.00,498439.00,975050.00
2021-W03,311650.00,287630.00,1432213.00,506368.00,994475.00
2021-W02,311662.00,289968.00,1454827.00,516706.00,1008129.00
2021-W01,311666.00,292504.00,1484500.00,527494.00,1013696.00
2020-W53,311671.00,292707.00,1487316.00,528279.00,1014062.00
2020-W52,311671.00,292707.00,1487316.00,528279.00,1014062.00
2020-W51,311671.00,292707.00,1487316.00,528279.00,1014062.00
2020-W50,311671.00,292707.00,1487316.00,528279.00,1014062.00
