Reporting week,0-4 years,5-9 years,10-14 years,15-17 years,18-24 years,25-49 years,50-59 years,60+ years
2021-W49,0,0,563,228,268,752,137,112
2021-W48,1,0,"3,149",1199,"1,513","3,834",574,574
2021-W47,2,0,"5,639",2298,"3,053","7,656","1,051","1,024"
2021-W46,2,0,"8,129",3404,"4,586","11,725","1,523","1,452"
2021-W45,2,0,"9,976",4345,"6,216","15,625","1,890","1,814"
2021-W44,3,0,"11,893",5293,"7,945","19,838","2,319","2,159"
2021-W43,3,0,"14,524",6791,"9,942","24,718","2,826","2,529"
2021-W42,3,0,"16,901",8081,"11,994","29,477","3,362","2,936"
2021-W41,3,0,"18,502",8906,"12,868","32,103","3,640","3,336"
2021-W40,3,0,"20,214",9781,"13,794","34,620","3,896","3,761"
2021-W39,3,0,"22,788",11304,"15,817","38,177","4,187","4,025"
2021-W38,3,0,"26,289",13271,"17,565","42,107","4,545","4,301"
2021-W37,3,0,"30,797",16013,"19,988","46,707","4,911","4,540"
2021-W36,3,0,"35,899",19423,"23,063","52,948","5,403","4,876"
2021-W35,4,0,"49,103",26535,"27,449","60,641","6,057","5,317"
2021-W34,5,0,"81,510",42197,"33,775","71,346","6,954","5,915"
2021-W33,6,1,"125,129",65315,"39,703","81,109","7,756","6,519"
2021-W32,6,2,"151,989",89540,"48,844","93,546","8,573","7,023"
2021-W31,6,2,"152,258",125223,"79,130","119,068","10,052","7,995"
2021-W30,6,2,"152,440",148469,"143,216","166,708","11,616","8,984"
2021-W29,6,2,"152,487",150347,"183,569","296,821","13,477","10,029"
2021-W28,6,2,"152,498",151520,"194,981","413,268","15,409","11,267"
2021-W27,6,3,"152,551",152262,"204,948","500,113","17,448","12,704"
2021-W26,6,3,"152,564",152833,"212,128","607,254","18,995","13,661"
2021-W25,6,4,"152,580",153392,"218,598","698,242","20,826","14,754"
2021-W24,6,4,"153,004",154142,"224,024","777,751","24,024","16,279"
2021-W23,6,4,"153,010",154602,"229,479","913,766","31,921","18,752"
2021-W22,6,4,"153,028",155179,"235,844","1,039,920","48,439","22,528"
2021-W21,6,4,"153,033",155734,"242,280","1,128,886","108,197","30,626"
2021-W20,7,4,"153,037",156340,"247,284","1,166,892","247,027","47,781"
2021-W19,7,4,"153,039",156872,"251,398","1,195,306","355,172","125,704"
2021-W18,7,4,"153,041",157297,"255,573","1,226,584","382,717","257,095"
2021-W17,7,4,"153,043",157426,"259,327","1,256,927","411,989","356,870"
2021-W16,7,4,"153,046",158181,"261,170","1,271,115","426,593","471,650"
2021-W15,7,4,"153,047",158247,"261,822","1,276,898","431,678","570,770"
2021-W14,7,4,"153,048",158297,"264,514","1,290,155","440,220","633,965"
2021-W13,7,4,"153,049",158390,"268,004","1,306,440","448,750","693,470"
2021-W12,7,4,"153,049",158520,"271,397","1,324,491","458,178","749,967"
2021-W11,7,4,"153,049",158531,"271,898","1,326,602","459,326","792,864"
2021-W10,7,4,"153,049",158543,"274,954","1,344,489","467,424","841,820"
2021-W09,7,4,"153,049",158547,"277,445","1,360,076","474,267","896,112"
2021-W08,8,4,"153,049",158556,"280,743","1,380,154","483,103","943,324"
2021-W07,8,4,"153,049",158560,"283,161","1,393,560","488,901","963,600"
2021-W06,8,4,"153,049",158561,"284,600","1,406,929","495,192","970,905"
2021-W05,8,4,"153,049",158564,"285,211","1,411,860","497,124","972,437"
2021-W04,8,4,"153,049",158565,"285,552","1,415,287","498,439","975,050"
2021-W03,8,4,"153,049",158589,"287,630","1,432,213","506,368","994,475"
2021-W02,8,4,"153,049",158601,"289,968","1,454,827","516,706","1,008,129"
2021-W01,8,4,"153,050",158604,"292,504","1,484,500","527,494","1,013,696"
2020-W53,8,4,"153,050",158609,"292,707","1,487,316","528,279","1,014,062"
2020-W52,8,4,"153,050",158609,"292,707","1,487,316","528,279","1,014,062"
2020-W51,8,4,"153,050",158609,"292,707","1,487,316","528,279","1,014,062"
2020-W50,8,4,"153,050",158609,"292,707","1,487,316","528,279","1,014,062"
