Reporting week,<18 years,18-24 years,25-49 years,50-59 years,60+ years
2021-W48,5539.00,3432.00,11476.00,4774.00,8998.00
2021-W47,14607.00,8864.00,31082.00,13844.00,26585.00
2021-W46,26147.00,16083.00,61027.00,27563.00,50879.00
2021-W45,38660.00,24368.00,95704.00,43028.00,77316.00
2021-W44,59355.00,36567.00,145626.00,66500.00,123541.00
2021-W43,90107.00,62134.00,251699.00,114393.00,199686.00
2021-W42,111355.00,81353.00,346622.00,158898.00,271276.00
2021-W41,123784.00,91034.00,389169.00,176829.00,299467.00
2021-W40,134765.00,99707.00,421636.00,189115.00,317732.00
2021-W39,142911.00,108104.00,446560.00,197565.00,329437.00
2021-W38,148543.00,114173.00,463649.00,202764.00,335759.00
2021-W37,151681.00,117183.00,472407.00,205806.00,339941.00
2021-W36,154707.00,119341.00,478221.00,207849.00,342908.00
2021-W35,158016.00,121536.00,484428.00,210141.00,346335.00
2021-W34,161419.00,123698.00,490833.00,212462.00,350065.00
2021-W33,164006.00,125596.00,497121.00,214754.00,353524.00
2021-W32,166264.00,127721.00,504612.00,217513.00,357457.00
2021-W31,169010.00,130374.00,514388.00,221375.00,362537.00
2021-W30,171608.00,133153.00,524810.00,225353.00,368163.00
2021-W29,174501.00,136016.00,536205.00,229796.00,374796.00
2021-W28,177321.00,138988.00,546726.00,233757.00,380676.00
2021-W27,180443.00,142417.00,558756.00,238367.00,387711.00
2021-W26,183617.00,145879.00,571308.00,243259.00,395305.00
2021-W25,186794.00,149428.00,584305.00,248281.00,403511.00
2021-W24,190390.00,153787.00,599640.00,254155.00,412426.00
2021-W23,197350.00,160715.00,623956.00,263756.00,426913.00
2021-W22,209499.00,171526.00,659423.00,278148.00,447112.00
2021-W21,240839.00,439035.00,2269715.00,1056671.00,1948392.00
2021-W20,240839.00,439035.00,2269715.00,1056671.00,1948392.00
2021-W19,240839.00,439035.00,2269715.00,1056671.00,1948392.00
2021-W18,240839.00,439035.00,2269715.00,1056671.00,1948392.00
2021-W17,240839.00,439035.00,2269715.00,1056671.00,1948392.00
2021-W16,240839.00,439035.00,2269715.00,1056671.00,1948392.00
2021-W15,240839.00,439035.00,2269715.00,1056671.00,1948392.00
2021-W14,240839.00,439035.00,2269715.00,1056671.00,1948392.00
2021-W13,240839.00,439035.00,2269715.00,1056671.00,1948392.00
2021-W12,240839.00,439035.00,2269715.00,1056671.00,1948392.00
2021-W11,240839.00,439035.00,2269715.00,1056671.00,1948392.00
2021-W10,240839.00,439035.00,2269715.00,1056671.00,1948392.00
2021-W09,240839.00,439035.00,2269715.00,1056671.00,1948392.00
2021-W08,240839.00,439035.00,2269715.00,1056671.00,1948392.00
2021-W07,240839.00,439035.00,2269715.00,1056671.00,1948392.00
2021-W06,240839.00,439035.00,2269715.00,1056671.00,1948392.00
2021-W05,240839.00,439035.00,2269715.00,1056671.00,1948392.00
2021-W04,240839.00,439035.00,2269715.00,1056671.00,1948392.00
2021-W03,240839.00,439035.00,2269715.00,1056671.00,1948392.00
2021-W02,240839.00,439035.00,2269715.00,1056671.00,1948392.00
2021-W01,240839.00,439035.00,2269715.00,1056671.00,1948392.00
2020-W53,240839.00,439035.00,2269715.00,1056671.00,1948392.00
2020-W52,240839.00,439035.00,2269715.00,1056671.00,1948392.00
2020-W51,240839.00,439035.00,2269715.00,1056671.00,1948392.00
2020-W50,240839.00,439035.00,2269715.00,1056671.00,1948392.00
