Reporting week,<18 years,18-24 years,25-49 years,50-59 years,60+ years
2021-W49,596.00,361.00,1741.00,599.00,1386.00
2021-W48,3216.00,2258.00,10216.00,3344.00,6112.00
2021-W47,7388.00,6139.00,26027.00,8211.00,12237.00
2021-W46,10359.00,9822.00,42675.00,13080.00,17029.00
2021-W45,12582.00,11885.00,52712.00,16135.00,20605.00
2021-W44,14090.00,12890.00,57146.00,17357.00,22150.00
2021-W43,15514.00,13885.00,60903.00,18327.00,23541.00
2021-W42,16846.00,14800.00,64327.00,19257.00,24959.00
2021-W41,18054.00,15882.00,68181.00,20352.00,26417.00
2021-W40,19541.00,17143.00,72610.00,21620.00,28251.00
2021-W39,21004.00,18677.00,77516.00,23173.00,30460.00
2021-W38,22667.00,20596.00,83767.00,24979.00,33090.00
2021-W37,24058.00,22252.00,88604.00,26265.00,34872.00
2021-W36,25536.00,23868.00,93481.00,27630.00,36823.00
2021-W35,27765.00,25675.00,98455.00,29096.00,38529.00
2021-W34,30617.00,27931.00,105691.00,31323.00,41317.00
2021-W33,33830.00,30648.00,114595.00,34256.00,44919.00
2021-W32,36927.00,33078.00,123341.00,37186.00,48666.00
2021-W31,40692.00,36119.00,134431.00,41016.00,53550.00
2021-W30,44416.00,39677.00,145987.00,44755.00,57812.00
2021-W29,48697.00,43730.00,158773.00,48732.00,62776.00
2021-W28,54889.00,51455.00,181820.00,54905.00,68740.00
2021-W27,63880.00,62400.00,211314.00,62709.00,75213.00
2021-W26,73425.00,74750.00,241018.00,70695.00,83495.00
2021-W25,79118.00,83105.00,264592.00,76416.00,91659.00
2021-W24,81324.00,95103.00,291818.00,83565.00,101439.00
2021-W23,83565.00,106193.00,327935.00,92088.00,111499.00
2021-W22,86128.00,122792.00,390546.00,101945.00,123880.00
2021-W21,88128.00,135327.00,488358.00,122044.00,142089.00
2021-W20,89919.00,146790.00,589715.00,145572.00,169270.00
2021-W19,90138.00,151568.00,650442.00,186802.00,215499.00
2021-W18,90375.00,156475.00,693999.00,211112.00,262589.00
2021-W17,90697.00,159177.00,727060.00,221616.00,304396.00
2021-W16,90700.00,160383.00,752883.00,235358.00,332352.00
2021-W15,90706.00,161461.00,788672.00,258531.00,368971.00
2021-W14,90713.00,162865.00,804496.00,297023.00,422879.00
2021-W13,90719.00,163938.00,814144.00,315075.00,492143.00
2021-W12,90726.00,165352.00,826299.00,329888.00,577092.00
2021-W11,90733.00,166612.00,836626.00,337783.00,664833.00
2021-W10,90737.00,167168.00,843316.00,341488.00,721844.00
2021-W09,90742.00,169063.00,871046.00,353345.00,731436.00
2021-W08,90745.00,170311.00,890879.00,360070.00,741942.00
2021-W07,90746.00,171214.00,905953.00,367596.00,757938.00
2021-W06,90747.00,172647.00,920634.00,373549.00,786466.00
2021-W05,90750.00,173517.00,924896.00,375550.00,825139.00
2021-W04,90751.00,175216.00,933540.00,379483.00,850909.00
2021-W03,90752.00,177370.00,950326.00,387552.00,858851.00
2021-W02,90756.00,178878.00,967087.00,395701.00,865676.00
2021-W01,90761.00,179965.00,982250.00,403049.00,871974.00
2020-W53,90761.00,179965.00,982250.00,403049.00,871974.00
2020-W52,90761.00,179965.00,982250.00,403049.00,871974.00
2020-W51,90761.00,179965.00,982250.00,403049.00,871974.00
2020-W50,90761.00,179965.00,982250.00,403049.00,871974.00
