Reporting week,5-9 years,10-14 years,15-17 years,18-24 years,25-49 years,50-59 years,60+ years
2021-W49,39,295,262,361,"1,741",599,"1,386"
2021-W48,77,"1,564",1575,"2,258","10,216","3,344","6,112"
2021-W47,116,"3,446",3826,"6,139","26,027","8,211","12,237"
2021-W46,127,"4,719",5513,"9,822","42,675","13,080","17,029"
2021-W45,137,"5,747",6698,"11,885","52,712","16,135","20,605"
2021-W44,166,"6,507",7417,"12,890","57,146","17,357","22,150"
2021-W43,174,"7,236",8104,"13,885","60,903","18,327","23,541"
2021-W42,181,"7,845",8820,"14,800","64,327","19,257","24,959"
2021-W41,181,"8,410",9463,"15,882","68,181","20,352","26,417"
2021-W40,182,"9,031",10328,"17,143","72,610","21,620","28,251"
2021-W39,182,"9,641",11181,"18,677","77,516","23,173","30,460"
2021-W38,184,"10,417",12066,"20,596","83,767","24,979","33,090"
2021-W37,188,"11,066",12804,"22,252","88,604","26,265","34,872"
2021-W36,188,"11,755",13593,"23,868","93,481","27,630","36,823"
2021-W35,188,"12,886",14691,"25,675","98,455","29,096","38,529"
2021-W34,188,"14,259",16170,"27,931","105,691","31,323","41,317"
2021-W33,188,"15,729",17913,"30,648","114,595","34,256","44,919"
2021-W32,188,"17,142",19597,"33,078","123,341","37,186","48,666"
2021-W31,188,"18,759",21745,"36,119","134,431","41,016","53,550"
2021-W30,188,"20,291",23937,"39,677","145,987","44,755","57,812"
2021-W29,188,"22,059",26450,"43,730","158,773","48,732","62,776"
2021-W28,188,"24,456",30245,"51,455","181,820","54,905","68,740"
2021-W27,188,"27,660",36032,"62,400","211,314","62,709","75,213"
2021-W26,188,"31,212",42025,"74,750","241,018","70,695","83,495"
2021-W25,188,"33,016",45914,"83,105","264,592","76,416","91,659"
2021-W24,188,"33,200",47936,"95,103","291,818","83,565","101,439"
2021-W23,188,"33,388",49989,"106,193","327,935","92,088","111,499"
2021-W22,188,"33,392",52548,"122,792","390,546","101,945","123,880"
2021-W21,188,"33,392",54548,"135,327","488,358","122,044","142,089"
2021-W20,188,"33,393",56338,"146,790","589,715","145,572","169,270"
2021-W19,188,"33,394",56556,"151,568","650,442","186,802","215,499"
2021-W18,188,"33,395",56792,"156,475","693,999","211,112","262,589"
2021-W17,188,"33,396",57113,"159,177","727,060","221,616","304,396"
2021-W16,188,"33,396",57116,"160,383","752,883","235,358","332,352"
2021-W15,188,"33,398",57120,"161,461","788,672","258,531","368,971"
2021-W14,188,"33,399",57126,"162,865","804,496","297,023","422,879"
2021-W13,188,"33,400",57131,"163,938","814,144","315,075","492,143"
2021-W12,188,"33,401",57137,"165,352","826,299","329,888","577,092"
2021-W11,188,"33,403",57142,"166,612","836,626","337,783","664,833"
2021-W10,188,"33,403",57146,"167,168","843,316","341,488","721,844"
2021-W09,188,"33,403",57151,"169,063","871,046","353,345","731,436"
2021-W08,188,"33,403",57154,"170,311","890,879","360,070","741,942"
2021-W07,188,"33,403",57155,"171,214","905,953","367,596","757,938"
2021-W06,188,"33,404",57155,"172,647","920,634","373,549","786,466"
2021-W05,188,"33,404",57158,"173,517","924,896","375,550","825,139"
2021-W04,188,"33,404",57159,"175,216","933,540","379,483","850,909"
2021-W03,188,"33,405",57159,"177,370","950,326","387,552","858,851"
2021-W02,188,"33,405",57163,"178,878","967,087","395,701","865,676"
2021-W01,188,"33,406",57167,"179,965","982,250","403,049","871,974"
2020-W53,188,"33,406",57167,"179,965","982,250","403,049","871,974"
2020-W52,188,"33,406",57167,"179,965","982,250","403,049","871,974"
2020-W51,188,"33,406",57167,"179,965","982,250","403,049","871,974"
2020-W50,188,"33,406",57167,"179,965","982,250","403,049","871,974"
