Reporting week,<18 years,18-24 years,25-49 years,50-59 years,60+ years
2021-W48,824.00,507.00,2047.00,571.00,926.00
2021-W47,1909.00,1264.00,5279.00,1466.00,2419.00
2021-W46,3854.00,2376.00,10682.00,3005.00,4896.00
2021-W45,5468.00,3513.00,16241.00,4479.00,7164.00
2021-W44,6097.00,4186.00,19701.00,5517.00,8499.00
2021-W43,6657.00,4723.00,22268.00,6331.00,9463.00
2021-W42,6992.00,5173.00,24161.00,6971.00,10322.00
2021-W41,7323.00,5703.00,26183.00,7652.00,11220.00
2021-W40,7756.00,6481.00,28757.00,8531.00,12498.00
2021-W39,8791.00,7743.00,33247.00,9998.00,14799.00
2021-W38,10753.00,10012.00,41107.00,12741.00,19634.00
2021-W37,14855.00,14824.00,61699.00,20617.00,30737.00
2021-W36,16503.00,16496.00,69361.00,23361.00,35094.00
2021-W35,18176.00,17816.00,74309.00,25165.00,37869.00
2021-W34,20355.00,19453.00,79819.00,27301.00,41185.00
2021-W33,22231.00,21127.00,84751.00,29439.00,44731.00
2021-W32,23608.00,22525.00,89163.00,31176.00,47511.00
2021-W31,25063.00,24029.00,94829.00,33467.00,51042.00
2021-W30,26650.00,26013.00,101462.00,36407.00,55074.00
2021-W29,28030.00,27995.00,108314.00,39406.00,59384.00
2021-W28,29391.00,29823.00,115570.00,42777.00,64138.00
2021-W27,30609.00,31207.00,120478.00,45092.00,68185.00
2021-W26,31678.00,32687.00,125071.00,46839.00,70814.00
2021-W25,33042.00,34210.00,129717.00,48635.00,73405.00
2021-W24,34907.00,37961.00,141081.00,51826.00,77430.00
2021-W23,35871.00,44310.00,167778.00,58102.00,83390.00
2021-W22,36394.00,49644.00,194591.00,68492.00,92018.00
2021-W21,36468.00,51221.00,204448.00,76665.00,101205.00
2021-W20,36666.00,56186.00,241931.00,89425.00,112811.00
2021-W19,36765.00,57681.00,268214.00,110002.00,127348.00
2021-W18,36773.00,58079.00,275764.00,141862.00,144821.00
2021-W17,36783.00,58362.00,277745.00,145612.00,157238.00
2021-W16,36789.00,62289.00,284159.00,154389.00,175439.00
2021-W15,36805.00,62392.00,285444.00,156013.00,206672.00
2021-W14,36822.00,62470.00,286124.00,156890.00,257651.00
2021-W13,36844.00,62678.00,291521.00,160785.00,302056.00
2021-W12,36851.00,63150.00,299955.00,167921.00,332288.00
2021-W11,36853.00,63183.00,301336.00,169097.00,340485.00
2021-W10,36858.00,63501.00,309746.00,177621.00,354309.00
2021-W09,36859.00,63784.00,311778.00,180653.00,371551.00
2021-W08,36879.00,63965.00,313320.00,182612.00,395645.00
2021-W07,36880.00,64513.00,314878.00,183654.00,415598.00
2021-W06,36883.00,65141.00,316880.00,184531.00,429633.00
2021-W05,36884.00,65172.00,317138.00,184635.00,430455.00
2021-W04,36886.00,65243.00,317679.00,184882.00,431016.00
2021-W03,36887.00,65319.00,318876.00,185589.00,433526.00
2021-W02,36889.00,65569.00,321908.00,187221.00,447530.00
2021-W01,36895.00,65948.00,330484.00,192156.00,451659.00
2020-W53,36896.00,66030.00,332916.00,193738.00,453962.00
2020-W52,36896.00,66043.00,333392.00,194256.00,459155.00
2020-W51,36896.00,66043.00,333392.00,194256.00,459155.00
2020-W50,36896.00,66043.00,333392.00,194256.00,459155.00
