Reporting week,<18 years,18-24 years,25-49 years,50-59 years,60+ years
2021-W49,2920.00,2694.00,7661.00,1170.00,1083.00
2021-W48,22773.00,22273.00,67418.00,10913.00,12131.00
2021-W47,38603.00,36619.00,113807.00,18435.00,19442.00
2021-W46,51998.00,47568.00,147198.00,24196.00,24935.00
2021-W45,64417.00,56964.00,173194.00,27915.00,28417.00
2021-W44,74987.00,65376.00,194942.00,30876.00,31073.00
2021-W43,88452.00,77154.00,224664.00,34759.00,34189.00
2021-W42,103131.00,91003.00,257366.00,38891.00,37453.00
2021-W41,117048.00,105618.00,287496.00,42905.00,40396.00
2021-W40,134036.00,124678.00,325308.00,47920.00,44324.00
2021-W39,157847.00,148684.00,375033.00,54282.00,49171.00
2021-W38,192070.00,183367.00,443125.00,63007.00,55680.00
2021-W37,247461.00,232009.00,534655.00,75308.00,64480.00
2021-W36,370172.00,304600.00,655360.00,92577.00,75777.00
2021-W35,567252.00,397347.00,801409.00,114395.00,88105.00
2021-W34,927190.00,491759.00,972411.00,137028.00,101778.00
2021-W33,1446989.00,644338.00,1164942.00,164111.00,124208.00
2021-W32,2012522.00,1044591.00,1439227.00,188333.00,142145.00
2021-W31,2328383.00,1440895.00,1902859.00,209426.00,159870.00
2021-W30,2463527.00,1872661.00,2597512.00,230347.00,176409.00
2021-W29,2506726.00,2186013.00,3401261.00,250493.00,192389.00
2021-W28,2529931.00,2383718.00,4386670.00,276563.00,211298.00
2021-W27,2556445.00,2502803.00,5496295.00,314616.00,235007.00
2021-W26,2563775.00,2542999.00,6918839.00,382065.00,267042.00
2021-W25,2565180.00,2551529.00,8257000.00,464151.00,295813.00
2021-W24,2566420.00,2558243.00,9671154.00,628782.00,329084.00
2021-W23,2567140.00,2565721.00,10728678.00,1110193.00,375367.00
2021-W22,2567554.00,2573940.00,10993407.00,2145115.00,445708.00
2021-W21,2567838.00,2580879.00,11056546.00,3146204.00,559005.00
2021-W20,2568322.00,2593681.00,11132932.00,4226792.00,771528.00
2021-W19,2568668.00,2603670.00,11204701.00,5017574.00,1389695.00
2021-W18,2569028.00,2610591.00,11241573.00,5191173.00,2727774.00
2021-W17,2569324.00,2614872.00,11270799.00,5214959.00,3937274.00
2021-W16,2569635.00,2618378.00,11300732.00,5240028.00,5215753.00
2021-W15,2569855.00,2621559.00,11325863.00,5261055.00,6861503.00
2021-W14,2570115.00,2631604.00,11375578.00,5298038.00,8527968.00
2021-W13,2570286.00,2643921.00,11477861.00,5364692.00,9378802.00
2021-W12,2570450.00,2667697.00,11652797.00,5474034.00,9826039.00
2021-W11,2570543.00,2673023.00,11690174.00,5489085.00,10020979.00
2021-W10,2570687.00,2693145.00,11912159.00,5577676.00,10305458.00
2021-W09,2570960.00,2709682.00,12166526.00,5655300.00,10733029.00
2021-W08,2571254.00,2730899.00,12400690.00,5735852.00,11102431.00
2021-W07,2571431.00,2748684.00,12540361.00,5798571.00,11290170.00
2021-W06,2571530.00,2757764.00,12638074.00,5841366.00,11332030.00
2021-W05,2571578.00,2762001.00,12671440.00,5857703.00,11351482.00
2021-W04,2571625.00,2765842.00,12710686.00,5879644.00,11373866.00
2021-W03,2571687.00,2775187.00,12827400.00,5944453.00,11436563.00
2021-W02,2571762.00,2790262.00,13052486.00,6063009.00,11584218.00
2021-W01,2571783.00,2798026.00,13161151.00,6120656.00,11733572.00
2020-W53,2571796.00,2799912.00,13185567.00,6135419.00,11788880.00
2020-W52,2571796.00,2799912.00,13185567.00,6135419.00,11788880.00
2020-W51,2571796.00,2799912.00,13185567.00,6135419.00,11788880.00
2020-W50,2571796.00,2799912.00,13185567.00,6135419.00,11788880.00
