Reporting week,0-4 years,5-9 years,10-14 years,15-17 years,18-24 years,25-49 years,50-59 years,60+ years
2021-W49,0,1,"1,958",961,"2,694","7,661","1,170","1,083"
2021-W48,23,6,"15,290",7454,"22,273","67,418","10,913","12,131"
2021-W47,42,13,"26,161",12387,"36,619","113,807","18,435","19,442"
2021-W46,57,18,"35,770",16153,"47,568","147,198","24,196","24,935"
2021-W45,70,21,"44,541",19785,"56,964","173,194","27,915","28,417"
2021-W44,80,26,"51,879",23002,"65,376","194,942","30,876","31,073"
2021-W43,89,31,"60,892",27440,"77,154","224,664","34,759","34,189"
2021-W42,97,32,"70,270",32732,"91,003","257,366","38,891","37,453"
2021-W41,108,35,"78,863",38042,"105,618","287,496","42,905","40,396"
2021-W40,113,37,"88,895",44991,"124,678","325,308","47,920","44,324"
2021-W39,131,44,"103,022",54650,"148,684","375,033","54,282","49,171"
2021-W38,145,53,"122,832",69040,"183,367","443,125","63,007","55,680"
2021-W37,168,59,"153,966",93268,"232,009","534,655","75,308","64,480"
2021-W36,193,75,"225,275",144629,"304,600","655,360","92,577","75,777"
2021-W35,227,95,"342,457",224473,"397,347","801,409","114,395","88,105"
2021-W34,254,111,"561,282",365543,"491,759","972,411","137,028","101,778"
2021-W33,294,143,"872,143",574409,"644,338","1,164,942","164,111","124,208"
2021-W32,317,172,"1,118,194",893839,"1,044,591","1,439,227","188,333","142,145"
2021-W31,337,193,"1,220,068",1107785,"1,440,895","1,902,859","209,426","159,870"
2021-W30,350,209,"1,242,445",1220523,"1,872,661","2,597,512","230,347","176,409"
2021-W29,380,214,"1,244,611",1261521,"2,186,013","3,401,261","250,493","192,389"
2021-W28,413,223,"1,245,738",1283557,"2,383,718","4,386,670","276,563","211,298"
2021-W27,441,233,"1,246,747",1309024,"2,502,803","5,496,295","314,616","235,007"
2021-W26,453,249,"1,247,481",1315592,"2,542,999","6,918,839","382,065","267,042"
2021-W25,457,264,"1,247,832",1316627,"2,551,529","8,257,000","464,151","295,813"
2021-W24,466,270,"1,248,229",1317455,"2,558,243","9,671,154","628,782","329,084"
2021-W23,477,280,"1,248,439",1317944,"2,565,721","10,728,678","1,110,193","375,367"
2021-W22,485,287,"1,248,497",1318285,"2,573,940","10,993,407","2,145,115","445,708"
2021-W21,493,296,"1,248,527",1318522,"2,580,879","11,056,546","3,146,204","559,005"
2021-W20,501,319,"1,248,594",1318908,"2,593,681","11,132,932","4,226,792","771,528"
2021-W19,513,382,"1,248,627",1319146,"2,603,670","11,204,701","5,017,574","1,389,695"
2021-W18,533,441,"1,248,685",1319369,"2,610,591","11,241,573","5,191,173","2,727,774"
2021-W17,544,472,"1,248,720",1319588,"2,614,872","11,270,799","5,214,959","3,937,274"
2021-W16,556,519,"1,248,749",1319811,"2,618,378","11,300,732","5,240,028","5,215,753"
2021-W15,568,552,"1,248,772",1319963,"2,621,559","11,325,863","5,261,055","6,861,503"
2021-W14,576,573,"1,248,796",1320170,"2,631,604","11,375,578","5,298,038","8,527,968"
2021-W13,583,593,"1,248,812",1320298,"2,643,921","11,477,861","5,364,692","9,378,802"
2021-W12,591,625,"1,248,831",1320403,"2,667,697","11,652,797","5,474,034","9,826,039"
2021-W11,595,630,"1,248,845",1320473,"2,673,023","11,690,174","5,489,085","10,020,979"
2021-W10,604,653,"1,248,865",1320565,"2,693,145","11,912,159","5,577,676","10,305,458"
2021-W09,610,669,"1,248,900",1320781,"2,709,682","12,166,526","5,655,300","10,733,029"
2021-W08,617,679,"1,248,919",1321039,"2,730,899","12,400,690","5,735,852","11,102,431"
2021-W07,620,686,"1,248,932",1321193,"2,748,684","12,540,361","5,798,571","11,290,170"
2021-W06,620,689,"1,248,940",1321281,"2,757,764","12,638,074","5,841,366","11,332,030"
2021-W05,620,691,"1,248,943",1321324,"2,762,001","12,671,440","5,857,703","11,351,482"
2021-W04,620,691,"1,248,947",1321367,"2,765,842","12,710,686","5,879,644","11,373,866"
2021-W03,622,694,"1,248,950",1321421,"2,775,187","12,827,400","5,944,453","11,436,563"
2021-W02,627,697,"1,248,960",1321478,"2,790,262","13,052,486","6,063,009","11,584,218"
2021-W01,628,697,"1,248,962",1321496,"2,798,026","13,161,151","6,120,656","11,733,572"
2020-W53,629,697,"1,248,963",1321507,"2,799,912","13,185,567","6,135,419","11,788,880"
2020-W52,629,697,"1,248,963",1321507,"2,799,912","13,185,567","6,135,419","11,788,880"
2020-W51,629,697,"1,248,963",1321507,"2,799,912","13,185,567","6,135,419","11,788,880"
2020-W50,629,697,"1,248,963",1321507,"2,799,912","13,185,567","6,135,419","11,788,880"
