Reporting week,<18 years,18-24 years,25-49 years,50-59 years,60+ years
2021-W49,1008.00,2375.00,4614.00,542.00,421.00
2021-W48,4045.00,8719.00,17027.00,1992.00,1656.00
2021-W47,6753.00,14220.00,29070.00,3608.00,2961.00
2021-W46,8739.00,17571.00,37724.00,4837.00,4255.00
2021-W45,10359.00,20048.00,44634.00,5918.00,5445.00
2021-W44,11846.00,22276.00,51292.00,6805.00,6349.00
2021-W43,13691.00,24843.00,59060.00,7959.00,7617.00
2021-W42,15619.00,27645.00,67110.00,9212.00,8922.00
2021-W41,19339.00,32505.00,80366.00,11144.00,10653.00
2021-W40,22580.00,36828.00,91514.00,12738.00,12127.00
2021-W39,28064.00,43398.00,108714.00,15356.00,14102.00
2021-W38,36261.00,52327.00,130546.00,18401.00,16422.00
2021-W37,46621.00,63691.00,158742.00,22223.00,19170.00
2021-W36,60216.00,76831.00,190711.00,26342.00,21987.00
2021-W35,77476.00,91932.00,226467.00,30651.00,24770.00
2021-W34,102422.00,109191.00,266405.00,35048.00,27356.00
2021-W33,145400.00,127038.00,308058.00,39632.00,29977.00
2021-W32,206036.00,146573.00,354872.00,44438.00,32911.00
2021-W31,229824.00,171627.00,406557.00,49100.00,36081.00
2021-W30,239048.00,218306.00,480768.00,55050.00,39591.00
2021-W29,248537.00,306912.00,610317.00,62620.00,43257.00
2021-W28,258214.00,425114.00,819624.00,71467.00,47391.00
2021-W27,263394.00,501324.00,1107892.00,83294.00,52486.00
2021-W26,264760.00,526263.00,1463742.00,105103.00,59482.00
2021-W25,265245.00,532880.00,1706728.00,136504.00,66847.00
2021-W24,265711.00,539486.00,1935380.00,194236.00,76402.00
2021-W23,266137.00,545232.00,2102383.00,278980.00,87849.00
2021-W22,266530.00,550145.00,2201322.00,378605.00,100529.00
2021-W21,267029.00,556069.00,2278210.00,477295.00,114343.00
2021-W20,267482.00,563007.00,2349034.00,626168.00,136794.00
2021-W19,267868.00,571378.00,2416714.00,783015.00,182258.00
2021-W18,268199.00,580082.00,2483879.00,931673.00,300592.00
2021-W17,268404.00,586235.00,2519445.00,1015852.00,547443.00
2021-W16,268537.00,589705.00,2537886.00,1039121.00,905128.00
2021-W15,268586.00,591038.00,2545489.00,1043823.00,1300324.00
2021-W14,268611.00,591791.00,2549193.00,1045957.00,1545921.00
2021-W13,268632.00,592439.00,2552635.00,1048152.00,1736832.00
2021-W12,268646.00,593219.00,2556695.00,1050766.00,1858275.00
2021-W11,268660.00,594466.00,2563993.00,1054868.00,1964653.00
2021-W10,268702.00,599999.00,2599146.00,1071920.00,2089025.00
2021-W09,268723.00,605915.00,2640934.00,1092942.00,2172370.00
2021-W08,268735.00,610400.00,2665795.00,1106661.00,2231057.00
2021-W07,268735.00,613873.00,2684263.00,1117124.00,2268836.00
2021-W06,268735.00,615581.00,2694781.00,1123205.00,2296965.00
2021-W05,268735.00,617136.00,2705150.00,1129782.00,2321782.00
2021-W04,268735.00,619871.00,2723982.00,1141338.00,2353369.00
2021-W03,268735.00,623661.00,2755342.00,1159654.00,2405182.00
2021-W02,268735.00,625711.00,2774548.00,1171545.00,2451366.00
2021-W01,268735.00,626165.00,2778617.00,1174672.00,2480189.00
2020-W53,268735.00,626267.00,2779887.00,1175797.00,2491727.00
2020-W52,268735.00,626283.00,2780021.00,1175914.00,2493909.00
2020-W51,268735.00,626283.00,2780021.00,1175914.00,2493909.00
2020-W50,268735.00,626283.00,2780021.00,1175914.00,2493909.00
