Reporting week,<18 years,18-24 years,25-49 years,50-59 years,60+ years
2021-W49,6075.00,4778.00,15914.00,4708.00,4107.00
2021-W48,19764.00,16436.00,57304.00,17377.00,13967.00
2021-W47,27857.00,24430.00,87199.00,26791.00,21174.00
2021-W46,34942.00,31359.00,112017.00,34679.00,28293.00
2021-W45,41293.00,37409.00,131945.00,41168.00,34742.00
2021-W44,47471.00,42260.00,148038.00,45864.00,39347.00
2021-W43,52791.00,47113.00,162710.00,49875.00,43100.00
2021-W42,61188.00,52240.00,178996.00,54385.00,47988.00
2021-W41,68877.00,57846.00,195694.00,59134.00,53432.00
2021-W40,77130.00,63842.00,213697.00,64293.00,59340.00
2021-W39,85068.00,69929.00,231302.00,69295.00,64482.00
2021-W38,92441.00,76570.00,251655.00,75466.00,70596.00
2021-W37,100519.00,83073.00,271982.00,81439.00,76741.00
2021-W36,107296.00,89501.00,292174.00,87466.00,82944.00
2021-W35,115397.00,96761.00,313996.00,94280.00,89952.00
2021-W34,124761.00,106364.00,341216.00,102347.00,98183.00
2021-W33,142512.00,130037.00,390445.00,116290.00,111310.00
2021-W32,164620.00,153338.00,463556.00,133550.00,127547.00
2021-W31,192411.00,182726.00,580131.00,159929.00,150464.00
2021-W30,219971.00,219092.00,712864.00,196381.00,179348.00
2021-W29,234249.00,257330.00,858696.00,258813.00,213559.00
2021-W28,242756.00,291081.00,1024690.00,325570.00,268923.00
2021-W27,251158.00,325567.00,1199749.00,401452.00,345175.00
2021-W26,256347.00,358329.00,1369620.00,502674.00,482563.00
2021-W25,259052.00,377274.00,1501338.00,631436.00,610405.00
2021-W24,260028.00,393494.00,1607250.00,726387.00,747224.00
2021-W23,260603.00,406266.00,1705691.00,814092.00,906930.00
2021-W22,261154.00,417347.00,1784253.00,872831.00,1048116.00
2021-W21,261561.00,426480.00,1852807.00,921700.00,1167116.00
2021-W20,261718.00,434128.00,1899229.00,953508.00,1272959.00
2021-W19,261865.00,439200.00,1927797.00,971324.00,1333183.00
2021-W18,261957.00,443277.00,1950074.00,985440.00,1416229.00
2021-W17,262024.00,445168.00,1959666.00,991882.00,1467113.00
2021-W16,262070.00,446277.00,1967516.00,997480.00,1512380.00
2021-W15,262279.00,448708.00,1982725.00,1009391.00,1580347.00
2021-W14,262915.00,453731.00,2008956.00,1025811.00,1670131.00
2021-W13,262977.00,454618.00,2014248.00,1030041.00,1740620.00
2021-W12,263020.00,455150.00,2018156.00,1034178.00,1825203.00
2021-W11,263047.00,455484.00,2021424.00,1036610.00,1866883.00
2021-W10,263068.00,455809.00,2025244.00,1039350.00,1890697.00
2021-W09,263081.00,456359.00,2029647.00,1042238.00,1897881.00
2021-W08,263103.00,457259.00,2037404.00,1047469.00,1905213.00
2021-W07,263117.00,458657.00,2048004.00,1054345.00,1925903.00
2021-W06,263151.00,461385.00,2076437.00,1072499.00,1964821.00
2021-W05,263213.00,463545.00,2101196.00,1089872.00,1999801.00
2021-W04,263235.00,464134.00,2107303.00,1094011.00,2006456.00
2021-W03,263239.00,464210.00,2108466.00,1094903.00,2008879.00
2021-W02,263240.00,464219.00,2108562.00,1095007.00,2009064.00
2021-W01,263240.00,464219.00,2108562.00,1095007.00,2009064.00
2020-W53,263240.00,464219.00,2108562.00,1095007.00,2009064.00
2020-W52,263240.00,464219.00,2108562.00,1095007.00,2009064.00
2020-W51,263240.00,464219.00,2108562.00,1095007.00,2009064.00
2020-W50,263240.00,464219.00,2108562.00,1095007.00,2009064.00
