Reporting week,0-4 years,5-9 years,10-14 years,15-17 years,18-24 years,25-49 years,50-59 years,60+ years
2021-W49,14,770,"2,654",2637,"4,778","15,914","4,708","4,107"
2021-W48,54,"1,666","8,759",9285,"16,436","57,304","17,377","13,967"
2021-W47,72,"2,086","12,498",13201,"24,430","87,199","26,791","21,174"
2021-W46,87,"2,315","15,822",16718,"31,359","112,017","34,679","28,293"
2021-W45,115,"2,634","18,791",19753,"37,409","131,945","41,168","34,742"
2021-W44,130,"2,941","21,817",22583,"42,260","148,038","45,864","39,347"
2021-W43,141,"3,070","24,361",25219,"47,113","162,710","49,875","43,100"
2021-W42,157,"3,254","28,643",29134,"52,240","178,996","54,385","47,988"
2021-W41,178,"3,362","32,238",33099,"57,846","195,694","59,134","53,432"
2021-W40,187,"3,441","36,251",37251,"63,842","213,697","64,293","59,340"
2021-W39,193,"3,474","40,143",41258,"69,929","231,302","69,295","64,482"
2021-W38,195,"3,483","43,710",45053,"76,570","251,655","75,466","70,596"
2021-W37,196,"3,502","47,617",49204,"83,073","271,982","81,439","76,741"
2021-W36,197,"3,508","50,849",52742,"89,501","292,174","87,466","82,944"
2021-W35,199,"3,516","54,618",57064,"96,761","313,996","94,280","89,952"
2021-W34,200,"3,519","58,589",62453,"106,364","341,216","102,347","98,183"
2021-W33,200,"3,520","65,071",73721,"130,037","390,445","116,290","111,310"
2021-W32,201,"3,524","73,382",87513,"153,338","463,556","133,550","127,547"
2021-W31,202,"3,526","83,441",105242,"182,726","580,131","159,929","150,464"
2021-W30,204,"3,529","92,746",123492,"219,092","712,864","196,381","179,348"
2021-W29,205,"3,530","96,479",134035,"257,330","858,696","258,813","213,559"
2021-W28,207,"3,531","98,556",140462,"291,081","1,024,690","325,570","268,923"
2021-W27,210,"3,532","100,901",146515,"325,567","1,199,749","401,452","345,175"
2021-W26,210,"3,533","101,616",150988,"358,329","1,369,620","502,674","482,563"
2021-W25,212,"3,536","101,873",153431,"377,274","1,501,338","631,436","610,405"
2021-W24,212,"3,536","101,894",154386,"393,494","1,607,250","726,387","747,224"
2021-W23,212,"3,539","101,911",154941,"406,266","1,705,691","814,092","906,930"
2021-W22,214,"3,542","101,921",155477,"417,347","1,784,253","872,831","1,048,116"
2021-W21,215,"3,543","101,928",155875,"426,480","1,852,807","921,700","1,167,116"
2021-W20,216,"3,544","101,929",156029,"434,128","1,899,229","953,508","1,272,959"
2021-W19,217,"3,544","101,935",156169,"439,200","1,927,797","971,324","1,333,183"
2021-W18,217,"3,544","101,937",156259,"443,277","1,950,074","985,440","1,416,229"
2021-W17,217,"3,544","101,937",156326,"445,168","1,959,666","991,882","1,467,113"
2021-W16,217,"3,544","101,939",156370,"446,277","1,967,516","997,480","1,512,380"
2021-W15,217,"3,544","101,939",156579,"448,708","1,982,725","1,009,391","1,580,347"
2021-W14,218,"3,544","101,939",157214,"453,731","2,008,956","1,025,811","1,670,131"
2021-W13,218,"3,544","101,940",157275,"454,618","2,014,248","1,030,041","1,740,620"
2021-W12,218,"3,546","101,944",157312,"455,150","2,018,156","1,034,178","1,825,203"
2021-W11,218,"3,547","101,946",157336,"455,484","2,021,424","1,036,610","1,866,883"
2021-W10,218,"3,547","101,947",157356,"455,809","2,025,244","1,039,350","1,890,697"
2021-W09,218,"3,547","101,947",157369,"456,359","2,029,647","1,042,238","1,897,881"
2021-W08,218,"3,547","101,948",157390,"457,259","2,037,404","1,047,469","1,905,213"
2021-W07,219,"3,547","101,948",157403,"458,657","2,048,004","1,054,345","1,925,903"
2021-W06,219,"3,547","101,948",157437,"461,385","2,076,437","1,072,499","1,964,821"
2021-W05,219,"3,548","101,954",157492,"463,545","2,101,196","1,089,872","1,999,801"
2021-W04,219,"3,548","101,954",157514,"464,134","2,107,303","1,094,011","2,006,456"
2021-W03,220,"3,548","101,954",157517,"464,210","2,108,466","1,094,903","2,008,879"
2021-W02,220,"3,548","101,954",157518,"464,219","2,108,562","1,095,007","2,009,064"
2021-W01,220,"3,548","101,954",157518,"464,219","2,108,562","1,095,007","2,009,064"
2020-W53,220,"3,548","101,954",157518,"464,219","2,108,562","1,095,007","2,009,064"
2020-W52,220,"3,548","101,954",157518,"464,219","2,108,562","1,095,007","2,009,064"
2020-W51,220,"3,548","101,954",157518,"464,219","2,108,562","1,095,007","2,009,064"
2020-W50,220,"3,548","101,954",157518,"464,219","2,108,562","1,095,007","2,009,064"
