Reporting week,<18 years,18-24 years,25-49 years,50-59 years,60+ years
2021-W49,2821.00,1570.00,3969.00,579.00,638.00
2021-W48,9876.00,5201.00,13129.00,2011.00,2160.00
2021-W47,17701.00,9385.00,23886.00,3714.00,3968.00
2021-W46,26317.00,14304.00,35593.00,5630.00,5936.00
2021-W45,32925.00,18581.00,45691.00,7338.00,7548.00
2021-W44,38196.00,22942.00,55789.00,9066.00,9209.00
2021-W43,46485.00,28691.00,68724.00,11247.00,11320.00
2021-W42,54005.00,33973.00,81154.00,13345.00,13516.00
2021-W41,64594.00,40310.00,94656.00,15560.00,15738.00
2021-W40,75737.00,45934.00,107043.00,17524.00,17727.00
2021-W39,94509.00,53849.00,125203.00,20256.00,19803.00
2021-W38,117886.00,62005.00,144820.00,23316.00,22181.00
2021-W37,138513.00,70115.00,165034.00,26423.00,24428.00
2021-W36,165847.00,78586.00,185373.00,29766.00,27001.00
2021-W35,240536.00,90692.00,211994.00,34768.00,30871.00
2021-W34,377847.00,111236.00,244430.00,41588.00,36488.00
2021-W33,482193.00,158665.00,285005.00,49402.00,42054.00
2021-W32,536046.00,239108.00,381406.00,117277.00,56154.00
2021-W31,590643.00,352312.00,629345.00,154788.00,73785.00
2021-W30,628885.00,458952.00,1031639.00,203572.00,122404.00
2021-W29,642583.00,530247.00,1515664.00,274056.00,175366.00
2021-W28,648771.00,567618.00,1813620.00,493793.00,263056.00
2021-W27,651156.00,595246.00,2064831.00,670957.00,506933.00
2021-W26,653811.00,615990.00,2201562.00,733911.00,606493.00
2021-W25,656094.00,643837.00,2337484.00,819481.00,685624.00
2021-W24,656604.00,654571.00,2489861.00,924609.00,820007.00
2021-W23,656979.00,666102.00,2605254.00,1071831.00,1126265.00
2021-W22,657350.00,676810.00,2695108.00,1158297.00,1365820.00
2021-W21,657768.00,688039.00,2773996.00,1234688.00,1614141.00
2021-W20,658154.00,697870.00,2832678.00,1275963.00,1826017.00
2021-W19,658260.00,701527.00,2853657.00,1291243.00,2078542.00
2021-W18,658391.00,704591.00,2872063.00,1305708.00,2301395.00
2021-W17,658495.00,706613.00,2882640.00,1312630.00,2370575.00
2021-W16,658596.00,707858.00,2888897.00,1315576.00,2388090.00
2021-W15,658654.00,709645.00,2897989.00,1320759.00,2464663.00
2021-W14,658825.00,712082.00,2910547.00,1327908.00,2501508.00
2021-W13,659047.00,716426.00,2930404.00,1342126.00,2530862.00
2021-W12,659262.00,721291.00,2956628.00,1357205.00,2551547.00
2021-W11,659373.00,725996.00,2984432.00,1371630.00,2560527.00
2021-W10,659438.00,729722.00,3007500.00,1382925.00,2568777.00
2021-W09,659506.00,731653.00,3023161.00,1390744.00,2575916.00
2021-W08,659690.00,733964.00,3039414.00,1398428.00,2586732.00
2021-W07,660292.00,739085.00,3068447.00,1412316.00,2606254.00
2021-W06,661074.00,745579.00,3105590.00,1431235.00,2656994.00
2021-W05,661154.00,747343.00,3120662.00,1440388.00,2726264.00
2021-W04,661166.00,747671.00,3124600.00,1442794.00,2745237.00
2021-W03,661166.00,747691.00,3124749.00,1442900.00,2745893.00
2021-W02,661166.00,747691.00,3124759.00,1442901.00,2745915.00
2021-W01,661166.00,747691.00,3124759.00,1442901.00,2745915.00
2020-W53,661166.00,747691.00,3124759.00,1442901.00,2745915.00
2020-W52,661166.00,747691.00,3124759.00,1442901.00,2745915.00
2020-W51,661166.00,747691.00,3124759.00,1442901.00,2745915.00
2020-W50,661166.00,747691.00,3124759.00,1442901.00,2745915.00
