Reporting week,<18 years,18-24 years,25-49 years,50-59 years,60+ years
2021-W48,1101.00,4105.00,21568.00,8398.00,12500.00
2021-W47,2334.00,9595.00,50916.00,19425.00,27224.00
2021-W46,3565.00,16629.00,84988.00,32113.00,42587.00
2021-W45,4355.00,22280.00,113822.00,42354.00,54865.00
2021-W44,4812.00,27436.00,141344.00,52200.00,66007.00
2021-W43,5205.00,34539.00,177956.00,65721.00,79225.00
2021-W42,5629.00,40107.00,207036.00,75906.00,89344.00
2021-W41,6130.00,41824.00,217589.00,80007.00,95769.00
2021-W40,6691.00,43718.00,227951.00,84202.00,103162.00
2021-W39,7354.00,45820.00,240438.00,89165.00,111048.00
2021-W38,8149.00,48228.00,254701.00,95093.00,120654.00
2021-W37,9055.00,51217.00,271834.00,102148.00,132302.00
2021-W36,9792.00,53907.00,287646.00,108732.00,143321.00
2021-W35,10592.00,56874.00,306454.00,116599.00,155743.00
2021-W34,11312.00,59796.00,325196.00,124533.00,168950.00
2021-W33,11965.00,62282.00,342259.00,131959.00,181354.00
2021-W32,12515.00,64503.00,357287.00,138761.00,192798.00
2021-W31,13130.00,66620.00,371699.00,145347.00,205079.00
2021-W30,13693.00,68721.00,385091.00,151801.00,218149.00
2021-W29,14137.00,70557.00,397460.00,157652.00,230748.00
2021-W28,14491.00,72341.00,410094.00,163881.00,245046.00
2021-W27,14613.00,74212.00,422534.00,170178.00,260573.00
2021-W26,14755.00,76170.00,435868.00,177227.00,279636.00
2021-W25,14848.00,78181.00,450075.00,184497.00,300749.00
2021-W24,14960.00,80381.00,467717.00,193823.00,329533.00
2021-W23,15099.00,83054.00,491879.00,206942.00,370893.00
2021-W22,15099.00,85712.00,515589.00,219486.00,408678.00
2021-W21,15099.00,87957.00,534067.00,229116.00,432975.00
2021-W20,15099.00,90236.00,558657.00,244132.00,479541.00
2021-W19,15099.00,92493.00,589171.00,265037.00,548940.00
2021-W18,15099.00,93976.00,607926.00,278532.00,590953.00
2021-W17,15099.00,94983.00,623420.00,288528.00,616641.00
2021-W16,15099.00,95808.00,636516.00,296214.00,630409.00
2021-W15,15099.00,96188.00,642536.00,299918.00,635574.00
2021-W14,15099.00,96476.00,647425.00,302992.00,639690.00
2021-W13,15099.00,96788.00,652035.00,305920.00,644489.00
2021-W12,15099.00,97180.00,657487.00,309900.00,651642.00
2021-W11,15099.00,97421.00,661698.00,312981.00,656899.00
2021-W10,15099.00,97545.00,664639.00,315526.00,659643.00
2021-W09,15099.00,97656.00,668897.00,319725.00,663743.00
2021-W08,15099.00,97735.00,671995.00,322907.00,667786.00
2021-W07,15099.00,97797.00,673940.00,324699.00,670259.00
2021-W06,15099.00,97838.00,675045.00,325657.00,671461.00
2021-W05,15099.00,97882.00,676333.00,327062.00,673032.00
2021-W04,15099.00,97995.00,679008.00,329685.00,676093.00
2021-W03,15099.00,98035.00,680425.00,331274.00,677554.00
2021-W02,15099.00,98035.00,680457.00,331306.00,677593.00
2021-W01,15099.00,98035.00,680457.00,331306.00,677593.00
2020-W53,15099.00,98035.00,680457.00,331306.00,677593.00
2020-W52,15099.00,98035.00,680457.00,331306.00,677593.00
2020-W51,15099.00,98035.00,680457.00,331306.00,677593.00
2020-W50,15099.00,98035.00,680457.00,331306.00,677593.00
