Reporting week,<18 years,18-24 years,25-49 years,50-59 years,60+ years
2021-W49,240.00,717.00,2928.00,1042.00,1497.00
2021-W48,2337.00,5650.00,23619.00,8720.00,11808.00
2021-W47,3674.00,9184.00,38374.00,14002.00,18954.00
2021-W46,4421.00,12966.00,54746.00,19683.00,25157.00
2021-W45,5155.00,16917.00,72361.00,25992.00,31818.00
2021-W44,5938.00,19718.00,83152.00,29667.00,36298.00
2021-W43,6625.00,22591.00,93554.00,33421.00,41055.00
2021-W42,7215.00,24772.00,101689.00,36413.00,45230.00
2021-W41,7798.00,26810.00,109992.00,39374.00,49338.00
2021-W40,8372.00,28907.00,119333.00,42611.00,53584.00
2021-W39,8888.00,31378.00,128717.00,46271.00,58007.00
2021-W38,9363.00,34039.00,138744.00,50034.00,62776.00
2021-W37,9784.00,36515.00,148177.00,53593.00,67244.00
2021-W36,10152.00,38738.00,156959.00,56757.00,71150.00
2021-W35,10626.00,41344.00,166876.00,60596.00,75878.00
2021-W34,11246.00,44754.00,179539.00,65261.00,81796.00
2021-W33,11846.00,48216.00,192354.00,70586.00,88200.00
2021-W32,12501.00,51802.00,206135.00,76449.00,95407.00
2021-W31,13011.00,55095.00,219893.00,83053.00,103760.00
2021-W30,13829.00,60268.00,241832.00,94021.00,117701.00
2021-W29,14897.00,67615.00,271645.00,107521.00,135108.00
2021-W28,15530.00,73870.00,302064.00,120418.00,151182.00
2021-W27,16153.00,82726.00,345648.00,141597.00,182003.00
2021-W26,16499.00,91011.00,402390.00,172592.00,224854.00
2021-W25,16741.00,97499.00,453855.00,202819.00,268507.00
2021-W24,16903.00,103279.00,515012.00,244136.00,335589.00
2021-W23,16999.00,107470.00,561268.00,277210.00,404823.00
2021-W22,17046.00,109666.00,578658.00,292061.00,451164.00
2021-W21,17072.00,111000.00,594327.00,306944.00,512793.00
2021-W20,17091.00,111881.00,603650.00,316042.00,565473.00
2021-W19,17114.00,112428.00,611030.00,323464.00,619216.00
2021-W18,17125.00,113292.00,617926.00,330143.00,668509.00
2021-W17,17142.00,113630.00,621747.00,334054.00,700151.00
2021-W16,17159.00,113877.00,624750.00,337064.00,726716.00
2021-W15,17178.00,114112.00,627831.00,340062.00,755975.00
2021-W14,17180.00,114251.00,629440.00,341324.00,768075.00
2021-W13,17183.00,114375.00,630964.00,342523.00,778537.00
2021-W12,17186.00,114463.00,632197.00,343581.00,785486.00
2021-W11,17194.00,114651.00,634749.00,345420.00,795905.00
2021-W10,17198.00,114879.00,637375.00,347305.00,802615.00
2021-W09,17203.00,114951.00,638515.00,348099.00,804852.00
2021-W08,17206.00,115001.00,639063.00,348485.00,806051.00
2021-W07,17207.00,115087.00,640559.00,349531.00,808666.00
2021-W06,17217.00,115384.00,645810.00,353056.00,815091.00
2021-W05,17223.00,115716.00,651129.00,356635.00,821139.00
2021-W04,17229.00,115991.00,656328.00,359929.00,827391.00
2021-W03,17229.00,116126.00,659126.00,361718.00,833913.00
2021-W02,17229.00,116128.00,659165.00,361748.00,834240.00
2021-W01,17229.00,116129.00,659184.00,361754.00,834242.00
2020-W53,17229.00,116129.00,659189.00,361755.00,834242.00
2020-W52,17229.00,116129.00,659195.00,361755.00,834242.00
2020-W51,17229.00,116129.00,659195.00,361755.00,834242.00
2020-W50,17229.00,116129.00,659195.00,361755.00,834242.00
