Reporting week,<18 years,18-24 years,25-49 years,50-59 years,60-69 years,70-79 years,80+ years
2021-W01,0,0,1,0,0,0,0
2021-W02,0,4,56,12,31,25,197
2021-W03,0,25,784,371,368,280,868
2021-W04,0,54,"1,804",833,678,437,"1,738"
2021-W05,0,70,"2,452","1,160",969,561,"4,662"
2021-W06,0,99,"2,766","1,335","1,114",687,"8,478"
2021-W07,0,113,"2,923","1,420","1,190",785,"12,447"
2021-W08,0,130,"3,188","1,557","1,302",974,"15,390"
2021-W09,0,141,"3,450","1,716","1,466","1,667","20,091"
2021-W10,0,147,"3,502","1,777","1,526","2,836","22,815"
2021-W11,0,149,"3,527","1,793","1,542","6,752","23,198"
2021-W12,0,151,"3,561","1,813","1,617","10,359","23,384"
2021-W13,0,153,"3,610","1,832","3,443","13,978","23,681"
2021-W14,0,154,"3,642","1,844","5,079","17,485","23,948"
2021-W15,0,157,"3,684","1,870","8,688","19,225","24,220"
2021-W16,7,187,"4,194","2,404","9,817","19,459","24,271"
2021-W17,17,307,"6,871","3,917","14,832","20,268","24,454"
2021-W18,21,361,"8,343","10,521","21,932","21,135","24,626"
2021-W19,22,558,"14,066","21,962","28,230","24,935","25,236"
2021-W20,25,679,"38,796","30,021","33,135","38,030","26,552"
2021-W21,30,826,"60,438","37,833","41,776","47,592","27,395"
2021-W22,34,913,"84,618","40,351","46,588","51,777","27,900"
2021-W23,35,"5,500","96,277","45,117","54,998","52,447","28,095"
2021-W24,37,"14,724","105,756","57,829","59,867","53,353","28,275"
2021-W25,38,"16,888","123,200","61,709","62,790","55,335","28,832"
2021-W26,40,"19,081","147,281","65,491","66,690","57,340","29,465"
2021-W27,93,"23,019","168,964","71,451","73,421","58,668","29,922"
2021-W28,121,"24,668","178,561","74,528","75,146","59,373","30,178"
2021-W29,990,"26,537","185,271","76,443","76,574","59,783","30,327"
2021-W30,"2,233","28,699","192,353","78,046","77,511","60,216","30,484"
2021-W31,"3,559","32,258","203,020","80,496","78,849","60,777","30,717"
2021-W32,"4,318","35,637","212,449","82,309","79,818","61,250","30,925"
2021-W33,"4,914","38,798","220,021","83,578","80,567","61,648","31,117"
2021-W34,"6,688","41,627","227,157","84,689","81,194","62,002","31,273"
2021-W35,"6,688","41,627","227,157","84,689","81,194","62,002","31,273"
