Reporting week,<18 years,18-24 years,25-49 years,50-59 years,60+ years
2021-W48,474.00,517.00,2373.00,529.00,283.00
2021-W47,903.00,904.00,4136.00,905.00,567.00
2021-W46,1308.00,1247.00,5422.00,1137.00,807.00
2021-W45,1697.00,1662.00,6785.00,1394.00,1070.00
2021-W44,1983.00,2045.00,8050.00,1627.00,1326.00
2021-W43,2269.00,2495.00,9345.00,1903.00,1576.00
2021-W42,2675.00,2790.00,10372.00,2141.00,1837.00
2021-W41,3241.00,3319.00,12123.00,2522.00,2265.00
2021-W40,4250.00,4192.00,14576.00,3008.00,2835.00
2021-W39,6043.00,5233.00,17795.00,3713.00,3538.00
2021-W38,7438.00,6439.00,21379.00,4372.00,4222.00
2021-W37,9160.00,7666.00,24406.00,4989.00,4812.00
2021-W36,11212.00,9031.00,28170.00,5733.00,5600.00
2021-W35,13214.00,10677.00,32285.00,6483.00,6355.00
2021-W34,14988.00,13506.00,39421.00,7594.00,7492.00
2021-W33,15584.00,16667.00,46993.00,8863.00,8831.00
2021-W32,16343.00,20046.00,56422.00,10676.00,10481.00
2021-W31,17669.00,23605.00,67089.00,13126.00,12613.00
2021-W30,18912.00,25767.00,74171.00,14729.00,14140.00
2021-W29,19781.00,27636.00,80881.00,16644.00,16127.00
2021-W28,19809.00,29285.00,90478.00,19721.00,18813.00
2021-W27,19862.00,33223.00,112161.00,25681.00,27329.00
2021-W26,19864.00,35416.00,136242.00,29463.00,33867.00
2021-W25,19865.00,37580.00,153686.00,33343.00,39329.00
2021-W24,19867.00,46804.00,163165.00,46055.00,45284.00
2021-W23,19868.00,51391.00,174824.00,50821.00,54559.00
2021-W22,19872.00,51478.00,199004.00,53339.00,64061.00
2021-W21,19877.00,51625.00,220646.00,61151.00,83107.00
2021-W20,19880.00,51746.00,245376.00,69210.00,102423.00
2021-W19,19881.00,51943.00,251099.00,80651.00,113131.00
2021-W18,19885.00,51997.00,252571.00,87255.00,121270.00
2021-W17,19895.00,52117.00,255248.00,88768.00,127277.00
2021-W16,19902.00,52147.00,255758.00,89302.00,128691.00
2021-W15,19902.00,52150.00,255800.00,89328.00,134312.00
2021-W14,19902.00,52151.00,255832.00,89340.00,139722.00
2021-W13,19902.00,52153.00,255881.00,89359.00,145464.00
2021-W12,19902.00,52155.00,255915.00,89379.00,149332.00
2021-W11,19902.00,52157.00,255940.00,89395.00,153647.00
2021-W10,19902.00,52163.00,255992.00,89456.00,157600.00
2021-W09,19902.00,52174.00,256254.00,89615.00,163158.00
2021-W08,19902.00,52191.00,256519.00,89752.00,166402.00
2021-W07,19902.00,52205.00,256676.00,89837.00,170545.00
2021-W06,19902.00,52234.00,256990.00,90012.00,174632.00
2021-W05,19902.00,52250.00,257638.00,90339.00,177971.00
2021-W04,19902.00,52279.00,258658.00,90801.00,179308.00
2021-W03,19902.00,52300.00,259386.00,91160.00,180571.00
2021-W02,19902.00,52304.00,259441.00,91172.00,180824.00
2021-W01,19902.00,52304.00,259442.00,91172.00,180824.00
2020-W53,19902.00,52304.00,259442.00,91172.00,180824.00
2020-W52,19902.00,52304.00,259442.00,91172.00,180824.00
2020-W51,19902.00,52304.00,259442.00,91172.00,180824.00
2020-W50,19902.00,52304.00,259442.00,91172.00,180824.00
