Reporting week,<18 years,18-24 years,25-49 years,50-59 years,60+ years
2021-W49,4614.00,3872.00,13269.00,2945.00,3746.00
2021-W48,14843.00,13535.00,47779.00,10621.00,12606.00
2021-W47,24126.00,25554.00,92007.00,20935.00,22329.00
2021-W46,30427.00,34767.00,125721.00,28482.00,28947.00
2021-W45,34989.00,41408.00,153163.00,34878.00,34830.00
2021-W44,38800.00,47680.00,178089.00,41291.00,40793.00
2021-W43,41480.00,52178.00,196478.00,46125.00,45073.00
2021-W42,44688.00,55528.00,209535.00,49553.00,48679.00
2021-W41,49074.00,58904.00,221320.00,52468.00,52392.00
2021-W40,55019.00,62863.00,234326.00,55612.00,56437.00
2021-W39,62483.00,67253.00,247739.00,58892.00,60428.00
2021-W38,72513.00,72803.00,264269.00,62866.00,65151.00
2021-W37,84404.00,79926.00,284459.00,67914.00,71045.00
2021-W36,98030.00,88935.00,309343.00,73695.00,77449.00
2021-W35,121589.00,101917.00,345700.00,81833.00,86685.00
2021-W34,158049.00,127941.00,416608.00,97207.00,104307.00
2021-W33,199187.00,161472.00,503430.00,116485.00,126555.00
2021-W32,235599.00,206329.00,602202.00,137324.00,151586.00
2021-W31,260086.00,256138.00,712528.00,156694.00,177243.00
2021-W30,272716.00,306817.00,856727.00,177846.00,209585.00
2021-W29,281233.00,347838.00,1090207.00,208800.00,255828.00
2021-W28,284740.00,365894.00,1366846.00,251859.00,321208.00
2021-W27,285517.00,372246.00,1578995.00,299856.00,376701.00
2021-W26,286341.00,379594.00,1839966.00,410629.00,488210.00
2021-W25,286813.00,384992.00,1965171.00,612301.00,638707.00
2021-W24,287164.00,389622.00,2023758.00,764772.00,863944.00
2021-W23,287403.00,394036.00,2067822.00,806213.00,1128801.00
2021-W22,287651.00,398137.00,2119211.00,838623.00,1342416.00
2021-W21,287756.00,400929.00,2162453.00,867436.00,1499737.00
2021-W20,287802.00,402368.00,2181743.00,879643.00,1576612.00
2021-W19,287833.00,403075.00,2189344.00,884999.00,1608443.00
2021-W18,287864.00,403766.00,2197001.00,890583.00,1640972.00
2021-W17,287892.00,404769.00,2210309.00,898189.00,1684342.00
2021-W16,287917.00,406296.00,2226061.00,906760.00,1742750.00
2021-W15,287986.00,408158.00,2249921.00,922080.00,1845531.00
2021-W14,288031.00,410539.00,2273053.00,936824.00,1950404.00
2021-W13,288083.00,412302.00,2295247.00,951455.00,2046382.00
2021-W12,288096.00,413245.00,2309737.00,961709.00,2106595.00
2021-W11,288160.00,414155.00,2319464.00,966550.00,2150458.00
2021-W10,288178.00,414690.00,2326085.00,970238.00,2177093.00
2021-W09,288181.00,414997.00,2329919.00,972182.00,2194292.00
2021-W08,288189.00,415442.00,2334892.00,974950.00,2217135.00
2021-W07,288204.00,416130.00,2342780.00,979655.00,2248219.00
2021-W06,288230.00,417252.00,2359611.00,988922.00,2292867.00
2021-W05,288243.00,418810.00,2384122.00,1000868.00,2312556.00
2021-W04,288248.00,419484.00,2398654.00,1007424.00,2318587.00
2021-W03,288250.00,419791.00,2404724.00,1009914.00,2321462.00
2021-W02,288250.00,419817.00,2405093.00,1010056.00,2321573.00
2021-W01,288250.00,419817.00,2405093.00,1010057.00,2321575.00
2020-W53,288250.00,419817.00,2405093.00,1010057.00,2321575.00
2020-W52,288250.00,419817.00,2405093.00,1010057.00,2321575.00
2020-W51,288250.00,419817.00,2405093.00,1010057.00,2321575.00
2020-W50,288250.00,419817.00,2405093.00,1010057.00,2321575.00
