Reporting week,10-14 years,15-17 years,18-24 years,25-49 years,50-59 years,60+ years
2021-W49,"2,421",2193,"3,872","13,269","2,945","3,746"
2021-W48,"7,843",7000,"13,535","47,779","10,621","12,606"
2021-W47,"12,663",11463,"25,554","92,007","20,935","22,329"
2021-W46,"16,076",14351,"34,767","125,721","28,482","28,947"
2021-W45,"18,725",16264,"41,408","153,163","34,878","34,830"
2021-W44,"20,944",17856,"47,680","178,089","41,291","40,793"
2021-W43,"22,460",19020,"52,178","196,478","46,125","45,073"
2021-W42,"24,268",20420,"55,528","209,535","49,553","48,679"
2021-W41,"26,734",22340,"58,904","221,320","52,468","52,392"
2021-W40,"30,121",24898,"62,863","234,326","55,612","56,437"
2021-W39,"34,448",28035,"67,253","247,739","58,892","60,428"
2021-W38,"40,298",32215,"72,803","264,269","62,866","65,151"
2021-W37,"46,716",37688,"79,926","284,459","67,914","71,045"
2021-W36,"54,072",43958,"88,935","309,343","73,695","77,449"
2021-W35,"67,083",54506,"101,917","345,700","81,833","86,685"
2021-W34,"84,331",73718,"127,941","416,608","97,207","104,307"
2021-W33,"102,857",96330,"161,472","503,430","116,485","126,555"
2021-W32,"115,870",119729,"206,329","602,202","137,324","151,586"
2021-W31,"122,499",137587,"256,138","712,528","156,694","177,243"
2021-W30,"124,186",148530,"306,817","856,727","177,846","209,585"
2021-W29,"124,466",156767,"347,838","1,090,207","208,800","255,828"
2021-W28,"124,498",160242,"365,894","1,366,846","251,859","321,208"
2021-W27,"124,509",161008,"372,246","1,578,995","299,856","376,701"
2021-W26,"124,523",161818,"379,594","1,839,966","410,629","488,210"
2021-W25,"124,560",162253,"384,992","1,965,171","612,301","638,707"
2021-W24,"124,572",162592,"389,622","2,023,758","764,772","863,944"
2021-W23,"124,596",162807,"394,036","2,067,822","806,213","1,128,801"
2021-W22,"124,612",163039,"398,137","2,119,211","838,623","1,342,416"
2021-W21,"124,612",163144,"400,929","2,162,453","867,436","1,499,737"
2021-W20,"124,612",163190,"402,368","2,181,743","879,643","1,576,612"
2021-W19,"124,612",163221,"403,075","2,189,344","884,999","1,608,443"
2021-W18,"124,612",163252,"403,766","2,197,001","890,583","1,640,972"
2021-W17,"124,612",163280,"404,769","2,210,309","898,189","1,684,342"
2021-W16,"124,612",163305,"406,296","2,226,061","906,760","1,742,750"
2021-W15,"124,612",163374,"408,158","2,249,921","922,080","1,845,531"
2021-W14,"124,612",163419,"410,539","2,273,053","936,824","1,950,404"
2021-W13,"124,612",163471,"412,302","2,295,247","951,455","2,046,382"
2021-W12,"124,612",163484,"413,245","2,309,737","961,709","2,106,595"
2021-W11,"124,612",163548,"414,155","2,319,464","966,550","2,150,458"
2021-W10,"124,612",163566,"414,690","2,326,085","970,238","2,177,093"
2021-W09,"124,612",163569,"414,997","2,329,919","972,182","2,194,292"
2021-W08,"124,612",163577,"415,442","2,334,892","974,950","2,217,135"
2021-W07,"124,613",163591,"416,130","2,342,780","979,655","2,248,219"
2021-W06,"124,613",163617,"417,252","2,359,611","988,922","2,292,867"
2021-W05,"124,613",163630,"418,810","2,384,122","1,000,868","2,312,556"
2021-W04,"124,613",163635,"419,484","2,398,654","1,007,424","2,318,587"
2021-W03,"124,613",163637,"419,791","2,404,724","1,009,914","2,321,462"
2021-W02,"124,613",163637,"419,817","2,405,093","1,010,056","2,321,573"
2021-W01,"124,613",163637,"419,817","2,405,093","1,010,057","2,321,575"
2020-W53,"124,613",163637,"419,817","2,405,093","1,010,057","2,321,575"
2020-W52,"124,613",163637,"419,817","2,405,093","1,010,057","2,321,575"
2020-W51,"124,613",163637,"419,817","2,405,093","1,010,057","2,321,575"
2020-W50,"124,613",163637,"419,817","2,405,093","1,010,057","2,321,575"
