Reporting week,<18 years,18-24 years,25-49 years,50-59 years,60+ years
2021-W49,5546.00,2725.00,8858.00,1063.00,707.00
2021-W48,9061.00,4319.00,14753.00,1704.00,1121.00
2021-W47,11875.00,5870.00,20284.00,2323.00,1508.00
2021-W46,14209.00,7365.00,25530.00,2859.00,1855.00
2021-W45,16289.00,8398.00,29600.00,3325.00,2170.00
2021-W44,19122.00,9430.00,33953.00,3783.00,2513.00
2021-W43,21559.00,10395.00,38380.00,4229.00,2835.00
2021-W42,24717.00,11607.00,43947.00,4788.00,3248.00
2021-W41,28785.00,13117.00,50296.00,5406.00,3693.00
2021-W40,35076.00,15127.00,60042.00,6195.00,4314.00
2021-W39,43921.00,17958.00,73843.00,7270.00,5152.00
2021-W38,56743.00,21485.00,91469.00,8524.00,6111.00
2021-W37,74413.00,26131.00,116499.00,10092.00,6992.00
2021-W36,105646.00,33207.00,165119.00,12211.00,8198.00
2021-W35,143365.00,45517.00,253514.00,15079.00,9754.00
2021-W34,187040.00,69962.00,410170.00,19550.00,12181.00
2021-W33,218813.00,111780.00,661515.00,26865.00,15636.00
2021-W32,238603.00,159826.00,836906.00,35141.00,18340.00
2021-W31,254586.00,237152.00,977891.00,52584.00,22137.00
2021-W30,277839.00,325627.00,1134850.00,96283.00,28827.00
2021-W29,295191.00,374419.00,1238707.00,209499.00,39983.00
2021-W28,302972.00,382567.00,1277993.00,369897.00,70660.00
2021-W27,304342.00,384270.00,1287955.00,546054.00,138234.00
2021-W26,304418.00,385387.00,1295901.00,622240.00,244126.00
2021-W25,304464.00,386979.00,1310962.00,630182.00,366294.00
2021-W24,304530.00,389525.00,1332650.00,634166.00,472390.00
2021-W23,304584.00,391917.00,1350273.00,640212.00,555230.00
2021-W22,304616.00,394900.00,1368231.00,649637.00,593174.00
2021-W21,304649.00,398499.00,1392152.00,663813.00,702420.00
2021-W20,304697.00,400746.00,1407725.00,673253.00,850821.00
2021-W19,304750.00,402820.00,1422033.00,682107.00,1019547.00
2021-W18,304784.00,403466.00,1426130.00,685148.00,1094051.00
2021-W17,304821.00,404145.00,1430843.00,689450.00,1157254.00
2021-W16,304860.00,405134.00,1436706.00,693794.00,1198438.00
2021-W15,304919.00,406221.00,1443543.00,698493.00,1225382.00
2021-W14,304975.00,406989.00,1448436.00,702647.00,1255761.00
2021-W13,305027.00,407926.00,1455090.00,708534.00,1294076.00
2021-W12,305057.00,408644.00,1460091.00,712791.00,1344349.00
2021-W11,305060.00,408980.00,1462361.00,714482.00,1388253.00
2021-W10,305086.00,409200.00,1464404.00,715637.00,1400636.00
2021-W09,305092.00,409488.00,1466475.00,716851.00,1405207.00
2021-W08,305099.00,409705.00,1468918.00,718104.00,1408529.00
2021-W07,305107.00,410409.00,1478603.00,722911.00,1422849.00
2021-W06,305113.00,411592.00,1494640.00,732871.00,1453101.00
2021-W05,305117.00,412715.00,1510210.00,742763.00,1477538.00
2021-W04,305121.00,413125.00,1516147.00,746385.00,1487841.00
2021-W03,305121.00,413125.00,1516159.00,746387.00,1487848.00
2021-W02,305121.00,413125.00,1516163.00,746387.00,1487849.00
2021-W01,305121.00,413125.00,1516163.00,746388.00,1487849.00
2020-W53,305121.00,413125.00,1516164.00,746388.00,1487849.00
2020-W52,305121.00,413125.00,1516164.00,746388.00,1487849.00
2020-W51,305121.00,413125.00,1516164.00,746388.00,1487849.00
2020-W50,305121.00,413125.00,1516164.00,746388.00,1487849.00
