Reporting week,0-4 years,5-9 years,10-14 years,15-17 years,18-24 years,25-49 years,50-59 years,60+ years
2021-W49,0,0,"4,173",1373,"2,725","8,858","1,063",707
2021-W48,0,0,"6,883",2178,"4,319","14,753","1,704","1,121"
2021-W47,0,0,"8,964",2911,"5,870","20,284","2,323","1,508"
2021-W46,0,0,"10,634",3575,"7,365","25,530","2,859","1,855"
2021-W45,0,0,"12,202",4087,"8,398","29,600","3,325","2,170"
2021-W44,0,0,"14,418",4704,"9,430","33,953","3,783","2,513"
2021-W43,0,0,"16,153",5406,"10,395","38,380","4,229","2,835"
2021-W42,0,0,"18,436",6281,"11,607","43,947","4,788","3,248"
2021-W41,0,0,"21,356",7429,"13,117","50,296","5,406","3,693"
2021-W40,0,0,"25,759",9317,"15,127","60,042","6,195","4,314"
2021-W39,1,0,"31,935",11985,"17,958","73,843","7,270","5,152"
2021-W38,1,0,"40,736",16006,"21,485","91,469","8,524","6,111"
2021-W37,1,0,"52,596",21816,"26,131","116,499","10,092","6,992"
2021-W36,1,1,"72,972",32672,"33,207","165,119","12,211","8,198"
2021-W35,1,1,"96,062",47301,"45,517","253,514","15,079","9,754"
2021-W34,2,1,"118,798",68239,"69,962","410,170","19,550","12,181"
2021-W33,2,1,"132,767",86043,"111,780","661,515","26,865","15,636"
2021-W32,2,1,"133,888",104712,"159,826","836,906","35,141","18,340"
2021-W31,2,1,"133,916",120667,"237,152","977,891","52,584","22,137"
2021-W30,2,1,"133,938",143898,"325,627","1,134,850","96,283","28,827"
2021-W29,2,1,"133,940",161248,"374,419","1,238,707","209,499","39,983"
2021-W28,2,2,"133,946",169022,"382,567","1,277,993","369,897","70,660"
2021-W27,2,2,"133,951",170387,"384,270","1,287,955","546,054","138,234"
2021-W26,2,2,"133,960",170454,"385,387","1,295,901","622,240","244,126"
2021-W25,2,2,"133,962",170498,"386,979","1,310,962","630,182","366,294"
2021-W24,2,2,"133,977",170549,"389,525","1,332,650","634,166","472,390"
2021-W23,2,2,"133,988",170592,"391,917","1,350,273","640,212","555,230"
2021-W22,2,2,"133,989",170623,"394,900","1,368,231","649,637","593,174"
2021-W21,2,2,"133,990",170655,"398,499","1,392,152","663,813","702,420"
2021-W20,2,2,"133,990",170703,"400,746","1,407,725","673,253","850,821"
2021-W19,2,2,"133,990",170756,"402,820","1,422,033","682,107","1,019,547"
2021-W18,2,2,"133,990",170790,"403,466","1,426,130","685,148","1,094,051"
2021-W17,2,2,"133,991",170826,"404,145","1,430,843","689,450","1,157,254"
2021-W16,2,2,"133,992",170864,"405,134","1,436,706","693,794","1,198,438"
2021-W15,2,2,"133,996",170919,"406,221","1,443,543","698,493","1,225,382"
2021-W14,3,2,"133,997",170973,"406,989","1,448,436","702,647","1,255,761"
2021-W13,3,3,"133,998",171023,"407,926","1,455,090","708,534","1,294,076"
2021-W12,3,3,"133,998",171053,"408,644","1,460,091","712,791","1,344,349"
2021-W11,3,3,"133,998",171056,"408,980","1,462,361","714,482","1,388,253"
2021-W10,3,3,"133,998",171082,"409,200","1,464,404","715,637","1,400,636"
2021-W09,3,3,"133,998",171088,"409,488","1,466,475","716,851","1,405,207"
2021-W08,3,3,"133,998",171095,"409,705","1,468,918","718,104","1,408,529"
2021-W07,3,3,"133,998",171103,"410,409","1,478,603","722,911","1,422,849"
2021-W06,3,3,"133,998",171109,"411,592","1,494,640","732,871","1,453,101"
2021-W05,3,3,"133,998",171113,"412,715","1,510,210","742,763","1,477,538"
2021-W04,3,3,"133,998",171117,"413,125","1,516,147","746,385","1,487,841"
2021-W03,3,3,"133,998",171117,"413,125","1,516,159","746,387","1,487,848"
2021-W02,3,3,"133,998",171117,"413,125","1,516,163","746,387","1,487,849"
2021-W01,3,3,"133,998",171117,"413,125","1,516,163","746,388","1,487,849"
2020-W53,3,3,"133,998",171117,"413,125","1,516,164","746,388","1,487,849"
2020-W52,3,3,"133,998",171117,"413,125","1,516,164","746,388","1,487,849"
2020-W51,3,3,"133,998",171117,"413,125","1,516,164","746,388","1,487,849"
2020-W50,3,3,"133,998",171117,"413,125","1,516,164","746,388","1,487,849"
