Reporting week,<18 years,18-24 years,25-49 years,50-59 years,60+ years
2021-W49,480.00,404.00,1714.00,541.00,1113.00
2021-W48,1223.00,1131.00,5027.00,1523.00,2829.00
2021-W47,1769.00,1725.00,8028.00,2424.00,4344.00
2021-W46,2187.00,2294.00,10839.00,3300.00,5893.00
2021-W45,2536.00,2896.00,13541.00,4197.00,7600.00
2021-W44,3166.00,3747.00,17206.00,5242.00,9492.00
2021-W43,3859.00,4912.00,21876.00,6548.00,11407.00
2021-W42,4635.00,6069.00,26912.00,7894.00,13156.00
2021-W41,5483.00,7204.00,31001.00,9016.00,14601.00
2021-W40,7035.00,8633.00,35752.00,10225.00,16041.00
2021-W39,9007.00,10260.00,41405.00,11753.00,17882.00
2021-W38,12358.00,12864.00,50827.00,14316.00,20943.00
2021-W37,15805.00,15160.00,59482.00,16680.00,23384.00
2021-W36,19216.00,17059.00,66591.00,18696.00,25617.00
2021-W35,22795.00,18822.00,73478.00,20564.00,27655.00
2021-W34,25742.00,20809.00,79767.00,22391.00,29685.00
2021-W33,28037.00,22628.00,85570.00,24083.00,31496.00
2021-W32,30985.00,24596.00,93543.00,26329.00,33782.00
2021-W31,33149.00,26452.00,101576.00,28416.00,35700.00
2021-W30,34971.00,28940.00,111154.00,30635.00,37811.00
2021-W29,36979.00,32945.00,126185.00,33494.00,40563.00
2021-W28,38400.00,36946.00,141925.00,36068.00,42897.00
2021-W27,39754.00,41464.00,159751.00,38690.00,46083.00
2021-W26,40225.00,43478.00,184347.00,43507.00,54295.00
2021-W25,40389.00,44953.00,193878.00,49021.00,61902.00
2021-W24,40601.00,47055.00,213427.00,64837.00,78025.00
2021-W23,40744.00,49152.00,227641.00,77437.00,96200.00
2021-W22,40744.00,50687.00,237613.00,84179.00,112617.00
2021-W21,40744.00,52570.00,247051.00,89821.00,131844.00
2021-W20,40744.00,53380.00,255178.00,93972.00,150226.00
2021-W19,40744.00,53786.00,259485.00,97128.00,163222.00
2021-W18,40744.00,54493.00,266206.00,102914.00,185470.00
2021-W17,40744.00,55447.00,273346.00,107873.00,198744.00
2021-W16,40744.00,55787.00,278062.00,110834.00,205737.00
2021-W15,40744.00,55978.00,281368.00,113397.00,210749.00
2021-W14,40744.00,56058.00,282187.00,113993.00,215654.00
2021-W13,40744.00,56113.00,282662.00,114375.00,223021.00
2021-W12,40744.00,56174.00,283131.00,114647.00,226288.00
2021-W11,40744.00,56264.00,283549.00,114891.00,230199.00
2021-W10,40744.00,56345.00,284312.00,115409.00,237839.00
2021-W09,40744.00,56714.00,285595.00,116184.00,245492.00
2021-W08,40744.00,56946.00,287618.00,117431.00,249794.00
2021-W07,40744.00,57099.00,288918.00,118278.00,251640.00
2021-W06,40744.00,57221.00,290040.00,119075.00,254361.00
2021-W05,40744.00,57519.00,292370.00,120559.00,257543.00
2021-W04,40744.00,57915.00,295947.00,122467.00,259720.00
2021-W03,40744.00,58001.00,297076.00,123042.00,260322.00
2021-W02,40744.00,58006.00,297112.00,123064.00,260357.00
2021-W01,40744.00,58006.00,297113.00,123064.00,260359.00
2020-W53,40744.00,58006.00,297115.00,123064.00,260359.00
2020-W52,40744.00,58006.00,297115.00,123064.00,260359.00
2020-W51,40744.00,58006.00,297115.00,123064.00,260359.00
2020-W50,40744.00,58006.00,297115.00,123064.00,260359.00
