Reporting week,<18 years,18-24 years,25-49 years,50-59 years,60+ years
2021-W49,977.00,1227.00,3187.00,526.00,984.00
2021-W48,5429.00,5534.00,14333.00,2592.00,5093.00
2021-W47,10937.00,9235.00,23929.00,4422.00,9234.00
2021-W46,18923.00,13268.00,34261.00,6266.00,12770.00
2021-W45,31626.00,18594.00,48195.00,8675.00,16816.00
2021-W44,50883.00,26557.00,67729.00,11893.00,21087.00
2021-W43,79374.00,39572.00,97133.00,17028.00,26810.00
2021-W42,102588.00,55099.00,127223.00,21831.00,31904.00
2021-W41,140861.00,72453.00,159066.00,26544.00,36831.00
2021-W40,176887.00,94302.00,194907.00,31327.00,41528.00
2021-W39,210882.00,125251.00,239843.00,36818.00,47018.00
2021-W38,228781.00,159308.00,301605.00,42847.00,52279.00
2021-W37,237103.00,188678.00,376384.00,48707.00,56895.00
2021-W36,245939.00,217762.00,498899.00,58852.00,63503.00
2021-W35,252832.00,242881.00,638310.00,76846.00,72862.00
2021-W34,256950.00,261658.00,765258.00,105094.00,84953.00
2021-W33,259041.00,274906.00,898026.00,147428.00,101210.00
2021-W32,260111.00,280777.00,1013205.00,212312.00,129906.00
2021-W31,260945.00,284589.00,1092400.00,289053.00,168815.00
2021-W30,261853.00,288707.00,1145420.00,373604.00,235098.00
2021-W29,262530.00,293474.00,1183836.00,447181.00,323830.00
2021-W28,262915.00,297297.00,1214398.00,494316.00,427574.00
2021-W27,263195.00,300985.00,1246209.00,525135.00,566681.00
2021-W26,263348.00,303190.00,1265051.00,540268.00,704680.00
2021-W25,263480.00,303918.00,1270558.00,544933.00,820681.00
2021-W24,263534.00,304308.00,1273556.00,547808.00,933366.00
2021-W23,263608.00,305170.00,1281678.00,558540.00,1038680.00
2021-W22,263661.00,305937.00,1290433.00,572571.00,1137065.00
2021-W21,263691.00,306677.00,1296729.00,583583.00,1228974.00
2021-W20,263714.00,307330.00,1302233.00,591304.00,1310859.00
2021-W19,263731.00,307880.00,1306876.00,595430.00,1373470.00
2021-W18,263753.00,308307.00,1310169.00,597613.00,1406500.00
2021-W17,263768.00,308738.00,1313067.00,599406.00,1418918.00
2021-W16,263789.00,309721.00,1319415.00,603165.00,1438074.00
2021-W15,263815.00,310711.00,1326788.00,607796.00,1455866.00
2021-W14,263824.00,310935.00,1328365.00,608860.00,1459523.00
2021-W13,263828.00,310971.00,1328700.00,609064.00,1460254.00
2021-W12,263828.00,311011.00,1329101.00,609270.00,1460619.00
2021-W11,263828.00,311058.00,1329481.00,609448.00,1461223.00
2021-W10,263831.00,311076.00,1329729.00,609552.00,1461766.00
2021-W09,263832.00,311115.00,1330034.00,609718.00,1464523.00
2021-W08,263839.00,311267.00,1331234.00,610406.00,1471068.00
2021-W07,263848.00,311438.00,1332816.00,611404.00,1474828.00
2021-W06,263878.00,312051.00,1338714.00,614716.00,1481857.00
2021-W05,263891.00,313146.00,1353386.00,621777.00,1492355.00
2021-W04,263895.00,313664.00,1361689.00,625051.00,1494974.00
2021-W03,263895.00,313807.00,1364856.00,626229.00,1495442.00
2021-W02,263895.00,313807.00,1364858.00,626229.00,1495445.00
2021-W01,263895.00,313807.00,1364858.00,626229.00,1495445.00
2020-W53,263895.00,313807.00,1364858.00,626229.00,1495445.00
2020-W52,263895.00,313807.00,1364858.00,626229.00,1495445.00
2020-W51,263895.00,313807.00,1364858.00,626229.00,1495445.00
2020-W50,263895.00,313807.00,1364858.00,626229.00,1495445.00
