Reporting week,10-14 years,15-17 years,18-24 years,25-49 years,50-59 years,60+ years
2021-W49,517,460,"1,227","3,187",526,984
2021-W48,"3,004",2425,"5,534","14,333","2,592","5,093"
2021-W47,"6,269",4668,"9,235","23,929","4,422","9,234"
2021-W46,"11,245",7678,"13,268","34,261","6,266","12,770"
2021-W45,"18,684",12942,"18,594","48,195","8,675","16,816"
2021-W44,"30,159",20724,"26,557","67,729","11,893","21,087"
2021-W43,"46,495",32879,"39,572","97,133","17,028","26,810"
2021-W42,"58,857",43731,"55,099","127,223","21,831","31,904"
2021-W41,"81,154",59707,"72,453","159,066","26,544","36,831"
2021-W40,"100,077",76810,"94,302","194,907","31,327","41,528"
2021-W39,"117,571",93311,"125,251","239,843","36,818","47,018"
2021-W38,"123,522",105259,"159,308","301,605","42,847","52,279"
2021-W37,"124,161",112942,"188,678","376,384","48,707","56,895"
2021-W36,"124,589",121350,"217,762","498,899","58,852","63,503"
2021-W35,"124,948",127884,"242,881","638,310","76,846","72,862"
2021-W34,"125,080",131870,"261,658","765,258","105,094","84,953"
2021-W33,"125,193",133848,"274,906","898,026","147,428","101,210"
2021-W32,"125,227",134884,"280,777","1,013,205","212,312","129,906"
2021-W31,"125,241",135704,"284,589","1,092,400","289,053","168,815"
2021-W30,"125,247",136606,"288,707","1,145,420","373,604","235,098"
2021-W29,"125,249",137281,"293,474","1,183,836","447,181","323,830"
2021-W28,"125,250",137665,"297,297","1,214,398","494,316","427,574"
2021-W27,"125,255",137940,"300,985","1,246,209","525,135","566,681"
2021-W26,"125,256",138092,"303,190","1,265,051","540,268","704,680"
2021-W25,"125,256",138224,"303,918","1,270,558","544,933","820,681"
2021-W24,"125,256",138278,"304,308","1,273,556","547,808","933,366"
2021-W23,"125,256",138352,"305,170","1,281,678","558,540","1,038,680"
2021-W22,"125,256",138405,"305,937","1,290,433","572,571","1,137,065"
2021-W21,"125,256",138435,"306,677","1,296,729","583,583","1,228,974"
2021-W20,"125,256",138458,"307,330","1,302,233","591,304","1,310,859"
2021-W19,"125,256",138475,"307,880","1,306,876","595,430","1,373,470"
2021-W18,"125,256",138497,"308,307","1,310,169","597,613","1,406,500"
2021-W17,"125,256",138512,"308,738","1,313,067","599,406","1,418,918"
2021-W16,"125,256",138533,"309,721","1,319,415","603,165","1,438,074"
2021-W15,"125,256",138559,"310,711","1,326,788","607,796","1,455,866"
2021-W14,"125,256",138568,"310,935","1,328,365","608,860","1,459,523"
2021-W13,"125,256",138572,"310,971","1,328,700","609,064","1,460,254"
2021-W12,"125,256",138572,"311,011","1,329,101","609,270","1,460,619"
2021-W11,"125,256",138572,"311,058","1,329,481","609,448","1,461,223"
2021-W10,"125,256",138575,"311,076","1,329,729","609,552","1,461,766"
2021-W09,"125,256",138576,"311,115","1,330,034","609,718","1,464,523"
2021-W08,"125,256",138583,"311,267","1,331,234","610,406","1,471,068"
2021-W07,"125,256",138592,"311,438","1,332,816","611,404","1,474,828"
2021-W06,"125,256",138622,"312,051","1,338,714","614,716","1,481,857"
2021-W05,"125,256",138635,"313,146","1,353,386","621,777","1,492,355"
2021-W04,"125,256",138639,"313,664","1,361,689","625,051","1,494,974"
2021-W03,"125,256",138639,"313,807","1,364,856","626,229","1,495,442"
2021-W02,"125,256",138639,"313,807","1,364,858","626,229","1,495,445"
2021-W01,"125,256",138639,"313,807","1,364,858","626,229","1,495,445"
2020-W53,"125,256",138639,"313,807","1,364,858","626,229","1,495,445"
2020-W52,"125,256",138639,"313,807","1,364,858","626,229","1,495,445"
2020-W51,"125,256",138639,"313,807","1,364,858","626,229","1,495,445"
2020-W50,"125,256",138639,"313,807","1,364,858","626,229","1,495,445"
