Reporting week,<18 years,18-24 years,25-49 years,50-59 years,60+ years
2021-W49,5370.00,15355.00,65679.00,35894.00,48911.00
2021-W48,30238.00,54915.00,231674.00,132481.00,180047.00
2021-W47,58812.00,82092.00,337681.00,187716.00,292311.00
2021-W46,90721.00,107912.00,427577.00,226982.00,394677.00
2021-W45,123124.00,132015.00,507494.00,256717.00,466179.00
2021-W44,156810.00,156637.00,584701.00,283677.00,523930.00
2021-W43,199386.00,182765.00,666642.00,311519.00,582227.00
2021-W42,269767.00,212592.00,759033.00,342637.00,643750.00
2021-W41,351964.00,248046.00,871505.00,381310.00,715857.00
2021-W40,453405.00,294126.00,1020269.00,427831.00,792605.00
2021-W39,574372.00,352262.00,1207661.00,484528.00,877281.00
2021-W38,754395.00,431750.00,1461769.00,558590.00,976861.00
2021-W37,951236.00,535997.00,1806525.00,656211.00,1088869.00
2021-W36,1161894.00,689637.00,2314428.00,790589.00,1218068.00
2021-W35,1518008.00,938290.00,3090042.00,988209.00,1385293.00
2021-W34,1941448.00,1271930.00,4059481.00,1225749.00,1566764.00
2021-W33,2250855.00,1611639.00,5013787.00,1447673.00,1736366.00
2021-W32,2484415.00,1886391.00,5779363.00,1624209.00,1885587.00
2021-W31,2716385.00,2110157.00,6437759.00,1791859.00,2034679.00
2021-W30,2983139.00,2368548.00,7225978.00,2017572.00,2243781.00
2021-W29,3218824.00,2743916.00,8436545.00,2353768.00,2533854.00
2021-W28,3346055.00,3146927.00,9789609.00,2748521.00,2852957.00
2021-W27,3404047.00,3475766.00,11095347.00,3294564.00,3332109.00
2021-W26,3416166.00,3771136.00,12410205.00,3987418.00,3945192.00
2021-W25,3422208.00,3970020.00,13505785.00,4723534.00,4676313.00
2021-W24,3424591.00,4054696.00,14208209.00,5249383.00,5651711.00
2021-W23,3425505.00,4097072.00,14561868.00,5608563.00,6657015.00
2021-W22,3425999.00,4125093.00,14787784.00,5890818.00,7607266.00
2021-W21,3426290.00,4144968.00,14948146.00,6101405.00,8286448.00
2021-W20,3426495.00,4162855.00,15085068.00,6267691.00,8841203.00
2021-W19,3426683.00,4181480.00,15236030.00,6431707.00,9565946.00
2021-W18,3426998.00,4207177.00,15439260.00,6609216.00,10386483.00
2021-W17,3427199.00,4224602.00,15583874.00,6722965.00,11107477.00
2021-W16,3427403.00,4237588.00,15698898.00,6812624.00,11888323.00
2021-W15,3427570.00,4243284.00,15757397.00,6866677.00,12587856.00
2021-W14,3427715.00,4245780.00,15790517.00,6900029.00,13107586.00
2021-W13,3427797.00,4247363.00,15812582.00,6921398.00,13519190.00
2021-W12,3427849.00,4248733.00,15829089.00,6935485.00,13714357.00
2021-W11,3427899.00,4250032.00,15847521.00,6950183.00,13887008.00
2021-W10,3427961.00,4251490.00,15869271.00,6970115.00,14143487.00
2021-W09,3428035.00,4253125.00,15892865.00,6994356.00,14433554.00
2021-W08,3428102.00,4254799.00,15921177.00,7029347.00,14795003.00
2021-W07,3428160.00,4257271.00,15966587.00,7092464.00,15207405.00
2021-W06,3428187.00,4259926.00,16021489.00,7176481.00,15460352.00
2021-W05,3428205.00,4261170.00,16053701.00,7245711.00,15560780.00
2021-W04,3428209.00,4261350.00,16059493.00,7263573.00,15584304.00
2021-W03,3428209.00,4261350.00,16059549.00,7263713.00,15584909.00
2021-W02,3428209.00,4261351.00,16059561.00,7263734.00,15584999.00
2021-W01,3428209.00,4261351.00,16059561.00,7263734.00,15584999.00
2020-W53,3428209.00,4261351.00,16059561.00,7263734.00,15584999.00
2020-W52,3428209.00,4261351.00,16059561.00,7263734.00,15584999.00
2020-W51,3428209.00,4261351.00,16059561.00,7263734.00,15584999.00
2020-W50,3428209.00,4261351.00,16059561.00,7263734.00,15584999.00
