Reporting week,<18 years,18-24 years,25-49 years,50-59 years,60+ years
2021-W49,5369.00,5574.00,20890.00,6228.00,8878.00
2021-W48,15608.00,15507.00,60501.00,17103.00,22794.00
2021-W47,24591.00,24719.00,93453.00,25889.00,32704.00
2021-W46,31171.00,32318.00,115984.00,32047.00,40237.00
2021-W45,38370.00,40170.00,136874.00,37764.00,47581.00
2021-W44,44528.00,48216.00,156730.00,42770.00,54184.00
2021-W43,49662.00,54723.00,170090.00,46236.00,59250.00
2021-W42,56287.00,62486.00,186267.00,50314.00,65421.00
2021-W41,66753.00,73880.00,209095.00,55842.00,72029.00
2021-W40,83313.00,90432.00,243846.00,63954.00,80489.00
2021-W39,110053.00,109463.00,283128.00,73351.00,89880.00
2021-W38,135115.00,130841.00,331136.00,84866.00,99828.00
2021-W37,152105.00,147772.00,373040.00,95065.00,108555.00
2021-W36,165850.00,159177.00,402023.00,102443.00,115921.00
2021-W35,175874.00,170432.00,430661.00,109405.00,122755.00
2021-W34,190178.00,189201.00,475536.00,119763.00,132423.00
2021-W33,200478.00,211076.00,528102.00,132164.00,144529.00
2021-W32,212532.00,239792.00,597994.00,148159.00,161353.00
2021-W31,212678.00,282900.00,704217.00,170808.00,183416.00
2021-W30,212726.00,346980.00,868437.00,200280.00,210564.00
2021-W29,212764.00,380186.00,1054726.00,239399.00,243219.00
2021-W28,212779.00,404102.00,1276686.00,290389.00,278229.00
2021-W27,212795.00,413722.00,1473777.00,334285.00,316649.00
2021-W26,212817.00,424044.00,1689612.00,407037.00,395151.00
2021-W25,212848.00,436261.00,1865386.00,514258.00,517428.00
2021-W24,212961.00,450925.00,1966031.00,642682.00,699544.00
2021-W23,213031.00,465799.00,2066394.00,787299.00,880294.00
2021-W22,213059.00,471078.00,2115191.00,937698.00,972493.00
2021-W21,213077.00,474466.00,2154920.00,1015417.00,1073833.00
2021-W20,213099.00,476285.00,2189317.00,1038395.00,1238141.00
2021-W19,213154.00,477718.00,2223273.00,1063442.00,1528910.00
2021-W18,213212.00,479021.00,2251216.00,1091261.00,1744441.00
2021-W17,213264.00,479905.00,2263519.00,1103721.00,1846062.00
2021-W16,213302.00,480380.00,2272174.00,1110007.00,1877559.00
2021-W15,213310.00,480589.00,2276343.00,1111959.00,1908433.00
2021-W14,213310.00,480964.00,2281554.00,1113940.00,1975779.00
2021-W13,213310.00,481499.00,2289003.00,1116666.00,2075441.00
2021-W12,213310.00,481923.00,2296034.00,1119493.00,2154213.00
2021-W11,213313.00,482225.00,2302781.00,1121896.00,2196910.00
2021-W10,213315.00,482961.00,2310697.00,1125071.00,2226496.00
2021-W09,213315.00,483187.00,2318153.00,1128303.00,2268179.00
2021-W08,213315.00,483598.00,2327653.00,1132695.00,2338087.00
2021-W07,213315.00,484058.00,2338558.00,1138167.00,2396402.00
2021-W06,213316.00,484327.00,2348911.00,1144092.00,2455415.00
2021-W05,213317.00,484744.00,2367213.00,1155468.00,2466627.00
2021-W04,213317.00,484862.00,2384995.00,1168069.00,2471952.00
2021-W03,213317.00,484868.00,2386612.00,1169152.00,2472394.00
2021-W02,213317.00,484868.00,2386612.00,1169152.00,2472400.00
2021-W01,213317.00,484868.00,2386614.00,1169152.00,2472403.00
2020-W53,213317.00,484868.00,2386614.00,1169152.00,2472403.00
2020-W52,213317.00,484868.00,2386614.00,1169152.00,2472403.00
2020-W51,213317.00,484868.00,2386614.00,1169152.00,2472403.00
2020-W50,213317.00,484868.00,2386614.00,1169152.00,2472403.00
