Reporting week,0-4 years,5-9 years,10-14 years,15-17 years,18-24 years,25-49 years,50-59 years,60+ years
2021-W49,1,1,"2,185",3182,"5,574","20,890","6,228","8,878"
2021-W48,2,1,"6,657",8948,"15,507","60,501","17,103","22,794"
2021-W47,2,1,"10,612",13976,"24,719","93,453","25,889","32,704"
2021-W46,2,2,"13,380",17787,"32,318","115,984","32,047","40,237"
2021-W45,2,2,"16,341",22025,"40,170","136,874","37,764","47,581"
2021-W44,2,2,"18,941",25583,"48,216","156,730","42,770","54,184"
2021-W43,2,2,"21,334",28324,"54,723","170,090","46,236","59,250"
2021-W42,2,2,"24,357",31926,"62,486","186,267","50,314","65,421"
2021-W41,2,2,"29,013",37736,"73,880","209,095","55,842","72,029"
2021-W40,2,2,"36,321",46988,"90,432","243,846","63,954","80,489"
2021-W39,3,2,"48,612",61436,"109,463","283,128","73,351","89,880"
2021-W38,3,2,"59,534",75576,"130,841","331,136","84,866","99,828"
2021-W37,4,2,"66,517",85582,"147,772","373,040","95,065","108,555"
2021-W36,4,2,"72,357",93487,"159,177","402,023","102,443","115,921"
2021-W35,4,2,"76,536",99332,"170,432","430,661","109,405","122,755"
2021-W34,5,2,"81,382",108789,"189,201","475,536","119,763","132,423"
2021-W33,5,2,"82,239",118232,"211,076","528,102","132,164","144,529"
2021-W32,5,2,"82,243",130282,"239,792","597,994","148,159","161,353"
2021-W31,5,2,"82,253",130418,"282,900","704,217","170,808","183,416"
2021-W30,6,2,"82,255",130463,"346,980","868,437","200,280","210,564"
2021-W29,6,2,"82,255",130501,"380,186","1,054,726","239,399","243,219"
2021-W28,6,2,"82,255",130516,"404,102","1,276,686","290,389","278,229"
2021-W27,7,3,"82,255",130530,"413,722","1,473,777","334,285","316,649"
2021-W26,7,3,"82,255",130552,"424,044","1,689,612","407,037","395,151"
2021-W25,9,3,"82,256",130580,"436,261","1,865,386","514,258","517,428"
2021-W24,10,3,"82,257",130691,"450,925","1,966,031","642,682","699,544"
2021-W23,11,4,"82,261",130755,"465,799","2,066,394","787,299","880,294"
2021-W22,13,4,"82,262",130780,"471,078","2,115,191","937,698","972,493"
2021-W21,13,4,"82,262",130798,"474,466","2,154,920","1,015,417","1,073,833"
2021-W20,13,4,"82,262",130820,"476,285","2,189,317","1,038,395","1,238,141"
2021-W19,13,5,"82,262",130874,"477,718","2,223,273","1,063,442","1,528,910"
2021-W18,13,5,"82,262",130932,"479,021","2,251,216","1,091,261","1,744,441"
2021-W17,13,5,"82,262",130984,"479,905","2,263,519","1,103,721","1,846,062"
2021-W16,13,5,"82,262",131022,"480,380","2,272,174","1,110,007","1,877,559"
2021-W15,13,5,"82,263",131029,"480,589","2,276,343","1,111,959","1,908,433"
2021-W14,13,5,"82,263",131029,"480,964","2,281,554","1,113,940","1,975,779"
2021-W13,13,5,"82,263",131029,"481,499","2,289,003","1,116,666","2,075,441"
2021-W12,13,5,"82,263",131029,"481,923","2,296,034","1,119,493","2,154,213"
2021-W11,13,5,"82,263",131032,"482,225","2,302,781","1,121,896","2,196,910"
2021-W10,13,5,"82,263",131034,"482,961","2,310,697","1,125,071","2,226,496"
2021-W09,13,5,"82,263",131034,"483,187","2,318,153","1,128,303","2,268,179"
2021-W08,13,5,"82,263",131034,"483,598","2,327,653","1,132,695","2,338,087"
2021-W07,13,5,"82,263",131034,"484,058","2,338,558","1,138,167","2,396,402"
2021-W06,13,5,"82,263",131035,"484,327","2,348,911","1,144,092","2,455,415"
2021-W05,13,6,"82,263",131035,"484,744","2,367,213","1,155,468","2,466,627"
2021-W04,13,6,"82,263",131035,"484,862","2,384,995","1,168,069","2,471,952"
2021-W03,13,6,"82,263",131035,"484,868","2,386,612","1,169,152","2,472,394"
2021-W02,13,6,"82,263",131035,"484,868","2,386,612","1,169,152","2,472,400"
2021-W01,13,6,"82,263",131035,"484,868","2,386,614","1,169,152","2,472,403"
2020-W53,13,6,"82,263",131035,"484,868","2,386,614","1,169,152","2,472,403"
2020-W52,13,6,"82,263",131035,"484,868","2,386,614","1,169,152","2,472,403"
2020-W51,13,6,"82,263",131035,"484,868","2,386,614","1,169,152","2,472,403"
2020-W50,13,6,"82,263",131035,"484,868","2,386,614","1,169,152","2,472,403"
