Reporting week,<18 years,18-24 years,25-49 years,50-59 years,60+ years
2021-W49,1776.00,2972.00,6613.00,2100.00,1978.00
2021-W48,4183.00,6054.00,20378.00,6183.00,5759.00
2021-W47,6666.00,10732.00,42097.00,13631.00,12744.00
2021-W46,9103.00,12703.00,51177.00,16267.00,15691.00
2021-W45,10641.00,14701.00,60162.00,19020.00,18922.00
2021-W44,12365.00,16474.00,68242.00,21608.00,21983.00
2021-W43,14111.00,18262.00,75484.00,23975.00,25217.00
2021-W42,17333.00,19903.00,82421.00,26243.00,28791.00
2021-W41,21427.00,21768.00,89814.00,28874.00,32736.00
2021-W40,24531.00,23727.00,98025.00,31698.00,37406.00
2021-W39,29342.00,26067.00,107868.00,35188.00,42615.00
2021-W38,66594.00,29296.00,118204.00,38865.00,48286.00
2021-W37,70978.00,31419.00,127892.00,42281.00,53458.00
2021-W36,75235.00,33342.00,137373.00,45617.00,58660.00
2021-W35,81348.00,35628.00,147563.00,49183.00,63646.00
2021-W34,89214.00,38379.00,159617.00,53324.00,68238.00
2021-W33,95202.00,40205.00,167629.00,56058.00,71604.00
2021-W32,102821.00,42916.00,178941.00,59652.00,75903.00
2021-W31,112637.00,46064.00,191234.00,63321.00,79791.00
2021-W30,125865.00,53692.00,222073.00,70042.00,85250.00
2021-W29,151128.00,60962.00,251134.00,78064.00,93368.00
2021-W28,173781.00,73006.00,301527.00,92118.00,107545.00
2021-W27,184034.00,87888.00,368728.00,111936.00,127078.00
2021-W26,189814.00,104571.00,469394.00,148747.00,152940.00
2021-W25,216358.00,149489.00,653081.00,195090.00,201615.00
2021-W24,287564.00,171752.00,758232.00,227375.00,254151.00
2021-W23,289492.00,191578.00,859848.00,260814.00,306705.00
2021-W22,292911.00,233961.00,1046068.00,326953.00,385596.00
2021-W21,294498.00,294025.00,1371981.00,425787.00,488738.00
2021-W20,295582.00,310210.00,1495504.00,477902.00,578405.00
2021-W19,296022.00,320644.00,1602781.00,523974.00,634461.00
2021-W18,296022.00,336576.00,1787583.00,602001.00,773695.00
2021-W17,296022.00,347584.00,1926148.00,685967.00,950481.00
2021-W16,296022.00,351530.00,1981372.00,745633.00,1100903.00
2021-W15,296022.00,353893.00,2016286.00,762168.00,1216469.00
2021-W14,296022.00,356722.00,2038916.00,776005.00,1474016.00
2021-W13,296022.00,357111.00,2047892.00,783860.00,1676731.00
2021-W12,296022.00,357794.00,2064519.00,811111.00,1836300.00
2021-W11,296022.00,358263.00,2073595.00,829404.00,1887253.00
2021-W10,296022.00,359977.00,2083065.00,846868.00,1944707.00
2021-W09,296022.00,360135.00,2084658.00,847768.00,1989291.00
2021-W08,296022.00,361247.00,2089435.00,849935.00,2015067.00
2021-W07,296022.00,364604.00,2115225.00,866332.00,2054502.00
2021-W06,296022.00,367015.00,2125811.00,871357.00,2061058.00
2021-W05,296022.00,370170.00,2147295.00,883321.00,2072284.00
2021-W04,296022.00,372125.00,2171991.00,898401.00,2088140.00
2021-W03,296022.00,372371.00,2177712.00,901141.00,2090141.00
2021-W02,296022.00,372382.00,2178144.00,901304.00,2090231.00
2021-W01,296022.00,372382.00,2178144.00,901304.00,2090231.00
2020-W53,296022.00,372382.00,2178144.00,901304.00,2090231.00
2020-W52,296022.00,372382.00,2178144.00,901304.00,2090231.00
2020-W51,296022.00,372382.00,2178144.00,901304.00,2090231.00
2020-W50,296022.00,372382.00,2178144.00,901304.00,2090231.00
