Reporting week,<18 years,18-24 years,25-49 years,50-59 years,60+ years
2021-W49,6312.00,4748.00,18991.00,6248.00,7721.00
2021-W48,27030.00,18297.00,75379.00,26063.00,30348.00
2021-W47,46571.00,33291.00,138098.00,46911.00,54153.00
2021-W46,67351.00,53754.00,224640.00,73066.00,78449.00
2021-W45,92149.00,84726.00,361286.00,115003.00,111656.00
2021-W44,118741.00,121052.00,534382.00,168299.00,143867.00
2021-W43,149558.00,161949.00,729871.00,227724.00,180395.00
2021-W42,194653.00,214951.00,975933.00,303151.00,226293.00
2021-W41,258774.00,277903.00,1254381.00,388055.00,281346.00
2021-W40,349307.00,336494.00,1476272.00,449934.00,330181.00
2021-W39,514563.00,421539.00,1748180.00,524505.00,389073.00
2021-W38,741445.00,553041.00,2137692.00,630187.00,462776.00
2021-W37,976177.00,704562.00,2574171.00,737628.00,534238.00
2021-W36,1219189.00,894478.00,3100916.00,849960.00,605623.00
2021-W35,1411566.00,1102547.00,3632361.00,954377.00,687992.00
2021-W34,1554435.00,1295428.00,4133709.00,1063793.00,775943.00
2021-W33,1622905.00,1425066.00,4488240.00,1133360.00,873164.00
2021-W32,1717584.00,1617263.00,4932558.00,1254085.00,1000767.00
2021-W31,1848556.00,1905001.00,5832993.00,1448409.00,1266877.00
2021-W30,1955645.00,2218768.00,6996428.00,1740702.00,1757236.00
2021-W29,2048994.00,2467891.00,8333795.00,2164616.00,2554314.00
2021-W28,2128795.00,2688866.00,9720510.00,2884300.00,3387242.00
2021-W27,2171973.00,2862907.00,10600778.00,3744376.00,4351605.00
2021-W26,2200687.00,2939525.00,11123335.00,4429882.00,5321040.00
2021-W25,2204567.00,2991536.00,11523965.00,5102202.00,6205211.00
2021-W24,2207462.00,3035585.00,11836940.00,5572608.00,7089212.00
2021-W23,2208168.00,3067380.00,12074071.00,5790698.00,7569101.00
2021-W22,2208975.00,3125035.00,12348636.00,6100026.00,8077890.00
2021-W21,2211488.00,3170635.00,12709559.00,6519942.00,8939055.00
2021-W20,2213419.00,3203769.00,13011703.00,6817220.00,9865242.00
2021-W19,2214727.00,3222359.00,13216972.00,7000303.00,10698496.00
2021-W18,2215930.00,3240186.00,13381168.00,7137381.00,11542758.00
2021-W17,2216667.00,3251266.00,13469334.00,7216920.00,12405737.00
2021-W16,2217185.00,3258574.00,13523494.00,7267169.00,13035180.00
2021-W15,2217552.00,3264602.00,13565661.00,7302944.00,13495245.00
2021-W14,2217810.00,3269409.00,13603824.00,7330214.00,13904562.00
2021-W13,2217948.00,3273122.00,13631447.00,7348527.00,14336037.00
2021-W12,2218069.00,3278353.00,13666184.00,7368585.00,14768077.00
2021-W11,2218125.00,3285663.00,13718342.00,7397052.00,15167928.00
2021-W10,2218171.00,3296916.00,13796288.00,7437795.00,15390370.00
2021-W09,2218217.00,3309714.00,13887285.00,7484428.00,15495401.00
2021-W08,2218235.00,3312656.00,13912710.00,7497998.00,15518668.00
2021-W07,2218267.00,3314062.00,13927005.00,7506494.00,15536852.00
2021-W06,2218290.00,3318684.00,13976454.00,7536545.00,15594187.00
2021-W05,2218368.00,3340801.00,14189862.00,7668534.00,15758964.00
2021-W04,2218398.00,3352979.00,14425569.00,7816738.00,15892038.00
2021-W03,2218401.00,3354147.00,14476520.00,7847801.00,15917615.00
2021-W02,2218401.00,3354167.00,14477971.00,7848722.00,15918378.00
2021-W01,2218401.00,3354167.00,14477982.00,7848732.00,15918392.00
2020-W53,2218401.00,3354167.00,14477989.00,7848735.00,15918395.00
2020-W52,2218401.00,3354167.00,14477989.00,7848737.00,15918395.00
2020-W51,2218401.00,3354167.00,14477989.00,7848737.00,15918395.00
2020-W50,2218401.00,3354167.00,14477989.00,7848737.00,15918395.00
