Reporting week,<18 years,18-24 years,25-49 years,50-59 years,60+ years
2021-W48,2010.00,1371.00,8250.00,3612.00,9799.00
2021-W47,4743.00,3497.00,20583.00,9429.00,23081.00
2021-W46,7336.00,5525.00,30592.00,13502.00,31315.00
2021-W45,11041.00,8699.00,49966.00,22005.00,45588.00
2021-W44,13681.00,11490.00,68706.00,29808.00,57265.00
2021-W43,15291.00,13392.00,82356.00,35899.00,66660.00
2021-W42,16777.00,15605.00,97733.00,42693.00,75797.00
2021-W41,18017.00,18092.00,114242.00,49710.00,84370.00
2021-W40,19230.00,20485.00,127594.00,55083.00,91655.00
2021-W39,20732.00,23143.00,139953.00,60060.00,98732.00
2021-W38,22693.00,25916.00,150152.00,64000.00,103900.00
2021-W37,25305.00,28005.00,156433.00,66691.00,107547.00
2021-W36,28139.00,29725.00,161886.00,69042.00,110675.00
2021-W35,30552.00,31295.00,167819.00,71712.00,114411.00
2021-W34,32328.00,32837.00,173756.00,74598.00,118197.00
2021-W33,34270.00,34597.00,180077.00,77501.00,122197.00
2021-W32,36210.00,36203.00,186180.00,80233.00,125988.00
2021-W31,38121.00,37947.00,192442.00,82957.00,129674.00
2021-W30,40539.00,39918.00,200153.00,86074.00,134388.00
2021-W29,42961.00,42296.00,209055.00,89803.00,139696.00
2021-W28,44001.00,44385.00,218043.00,93530.00,144615.00
2021-W27,47476.00,48859.00,235591.00,100343.00,153871.00
2021-W26,52331.00,55428.00,260540.00,110211.00,170517.00
2021-W25,53608.00,58084.00,270966.00,114494.00,177992.00
2021-W24,55304.00,63762.00,296694.00,124948.00,196359.00
2021-W23,56846.00,68829.00,325185.00,136607.00,218356.00
2021-W22,57039.00,76281.00,367791.00,151980.00,241273.00
2021-W21,57138.00,81873.00,402355.00,164556.00,267859.00
2021-W20,57176.00,83926.00,423511.00,175553.00,295901.00
2021-W19,57186.00,84921.00,434670.00,182127.00,318580.00
2021-W18,57190.00,85431.00,440175.00,186185.00,336150.00
2021-W17,57194.00,85829.00,442355.00,187833.00,347707.00
2021-W16,57195.00,86016.00,444311.00,189375.00,354912.00
2021-W15,57195.00,86097.00,444905.00,189736.00,355754.00
2021-W14,57196.00,86130.00,445136.00,189863.00,356936.00
2021-W13,57197.00,86210.00,445546.00,190152.00,359305.00
2021-W12,57199.00,86308.00,446046.00,190451.00,361425.00
2021-W11,57199.00,86347.00,446329.00,190613.00,361801.00
2021-W10,57199.00,86352.00,446397.00,190641.00,361836.00
2021-W09,57201.00,86396.00,446786.00,190912.00,362129.00
2021-W08,57201.00,86408.00,446900.00,190979.00,362183.00
2021-W07,57203.00,86447.00,447150.00,191112.00,362311.00
2021-W06,57203.00,86550.00,448094.00,191506.00,362729.00
2021-W05,57203.00,86941.00,451444.00,193587.00,364704.00
2021-W04,57203.00,87164.00,453532.00,194789.00,365720.00
2021-W03,57203.00,87286.00,454764.00,195285.00,366057.00
2021-W02,57203.00,87286.00,454766.00,195285.00,366063.00
2021-W01,57203.00,87286.00,454766.00,195285.00,366065.00
2020-W53,57203.00,87286.00,454766.00,195285.00,366065.00
2020-W52,57203.00,87286.00,454766.00,195285.00,366065.00
2020-W51,57203.00,87286.00,454766.00,195285.00,366065.00
2020-W50,57203.00,87286.00,454766.00,195285.00,366065.00
