Reporting week,<18 years,18-24 years,25-49 years,50-59 years,60+ years
2021-W49,625.00,648.00,3895.00,1219.00,1593.00
2021-W48,1757.00,1836.00,11231.00,3675.00,5293.00
2021-W47,2502.00,2900.00,18047.00,5740.00,8344.00
2021-W46,3293.00,4098.00,25283.00,8131.00,11759.00
2021-W45,4124.00,5197.00,31618.00,10190.00,14973.00
2021-W44,4885.00,6168.00,36979.00,11859.00,17347.00
2021-W43,5834.00,7591.00,44548.00,14231.00,20179.00
2021-W42,7059.00,9102.00,52525.00,16757.00,22883.00
2021-W41,8215.00,10947.00,61820.00,19834.00,26049.00
2021-W40,9752.00,13581.00,72936.00,23552.00,29739.00
2021-W39,11711.00,16863.00,85130.00,27798.00,33770.00
2021-W38,14587.00,20280.00,96049.00,31598.00,37602.00
2021-W37,18226.00,23984.00,107572.00,35758.00,42207.00
2021-W36,22376.00,28178.00,121835.00,41008.00,48052.00
2021-W35,27602.00,33149.00,139198.00,47631.00,55493.00
2021-W34,32985.00,39888.00,163802.00,57394.00,64704.00
2021-W33,36791.00,47401.00,197650.00,71873.00,76521.00
2021-W32,39603.00,53733.00,227659.00,84591.00,87368.00
2021-W31,41873.00,59291.00,255958.00,95329.00,95750.00
2021-W30,43954.00,63034.00,275087.00,102249.00,100795.00
2021-W29,46308.00,66361.00,291917.00,108560.00,105683.00
2021-W28,49574.00,70580.00,311221.00,116311.00,111285.00
2021-W27,55142.00,76262.00,335916.00,126186.00,119572.00
2021-W26,58117.00,90214.00,382684.00,141332.00,133234.00
2021-W25,62682.00,108190.00,437928.00,154833.00,147503.00
2021-W24,63160.00,114480.00,490751.00,175810.00,171629.00
2021-W23,63306.00,119625.00,527480.00,197265.00,197357.00
2021-W22,63443.00,125138.00,559837.00,218175.00,234290.00
2021-W21,63533.00,127990.00,583214.00,233779.00,262225.00
2021-W20,63685.00,131686.00,604750.00,250320.00,295461.00
2021-W19,63827.00,136289.00,620573.00,261511.00,324619.00
2021-W18,63940.00,140325.00,637322.00,274594.00,371078.00
2021-W17,64056.00,144200.00,647088.00,282560.00,409407.00
2021-W16,64066.00,144640.00,651519.00,285739.00,438823.00
2021-W15,64068.00,144783.00,652889.00,287114.00,456228.00
2021-W14,64071.00,144905.00,653561.00,287826.00,467730.00
2021-W13,64073.00,145075.00,654429.00,288553.00,491822.00
2021-W12,64079.00,145241.00,655609.00,289616.00,515685.00
2021-W11,64085.00,145359.00,657043.00,291242.00,538278.00
2021-W10,64089.00,145520.00,658381.00,293487.00,548126.00
2021-W09,64098.00,145886.00,661436.00,297793.00,553431.00
2021-W08,64100.00,146091.00,663549.00,299286.00,555148.00
2021-W07,64122.00,146803.00,669335.00,302362.00,558489.00
2021-W06,64132.00,147045.00,671844.00,304235.00,561831.00
2021-W05,64242.00,147670.00,679701.00,310858.00,570540.00
2021-W04,64243.00,148041.00,684575.00,314913.00,573938.00
2021-W03,64243.00,148269.00,688051.00,317512.00,575555.00
2021-W02,64243.00,148326.00,688684.00,317719.00,575647.00
2021-W01,64243.00,148326.00,688684.00,317719.00,575647.00
2020-W53,64243.00,148326.00,688684.00,317719.00,575647.00
2020-W52,64243.00,148326.00,688684.00,317719.00,575647.00
2020-W51,64243.00,148326.00,688684.00,317719.00,575647.00
2020-W50,64243.00,148326.00,688684.00,317719.00,575647.00
