Reporting week,0-4 years,10-14 years,15-17 years,18-24 years,25-49 years,50-59 years,60+ years
2021-W49,0,293,332,648,"3,895","1,219","1,593"
2021-W48,0,835,922,"1,836","11,231","3,675","5,293"
2021-W47,0,"1,156",1346,"2,900","18,047","5,740","8,344"
2021-W46,0,"1,452",1841,"4,098","25,283","8,131","11,759"
2021-W45,0,"1,802",2322,"5,197","31,618","10,190","14,973"
2021-W44,0,"2,143",2742,"6,168","36,979","11,859","17,347"
2021-W43,0,"2,565",3269,"7,591","44,548","14,231","20,179"
2021-W42,0,"3,082",3977,"9,102","52,525","16,757","22,883"
2021-W41,0,"3,489",4726,"10,947","61,820","19,834","26,049"
2021-W40,0,"3,997",5755,"13,581","72,936","23,552","29,739"
2021-W39,0,"4,759",6952,"16,863","85,130","27,798","33,770"
2021-W38,0,"5,991",8596,"20,280","96,049","31,598","37,602"
2021-W37,0,"7,448",10778,"23,984","107,572","35,758","42,207"
2021-W36,0,"9,020",13356,"28,178","121,835","41,008","48,052"
2021-W35,0,"11,072",16530,"33,149","139,198","47,631","55,493"
2021-W34,0,"13,366",19619,"39,888","163,802","57,394","64,704"
2021-W33,0,"14,943",21848,"47,401","197,650","71,873","76,521"
2021-W32,0,"16,217",23386,"53,733","227,659","84,591","87,368"
2021-W31,0,"17,254",24619,"59,291","255,958","95,329","95,750"
2021-W30,0,"18,198",25756,"63,034","275,087","102,249","100,795"
2021-W29,0,"19,263",27045,"66,361","291,917","108,560","105,683"
2021-W28,0,"20,903",28671,"70,580","311,221","116,311","111,285"
2021-W27,0,"23,610",31532,"76,262","335,916","126,186","119,572"
2021-W26,0,"23,619",34498,"90,214","382,684","141,332","133,234"
2021-W25,0,"23,619",39063,"108,190","437,928","154,833","147,503"
2021-W24,0,"23,619",39541,"114,480","490,751","175,810","171,629"
2021-W23,0,"23,619",39687,"119,625","527,480","197,265","197,357"
2021-W22,0,"23,619",39824,"125,138","559,837","218,175","234,290"
2021-W21,0,"23,619",39914,"127,990","583,214","233,779","262,225"
2021-W20,0,"23,619",40066,"131,686","604,750","250,320","295,461"
2021-W19,0,"23,619",40208,"136,289","620,573","261,511","324,619"
2021-W18,0,"23,619",40321,"140,325","637,322","274,594","371,078"
2021-W17,0,"23,620",40436,"144,200","647,088","282,560","409,407"
2021-W16,0,"23,620",40446,"144,640","651,519","285,739","438,823"
2021-W15,0,"23,620",40448,"144,783","652,889","287,114","456,228"
2021-W14,0,"23,621",40450,"144,905","653,561","287,826","467,730"
2021-W13,0,"23,621",40452,"145,075","654,429","288,553","491,822"
2021-W12,0,"23,621",40458,"145,241","655,609","289,616","515,685"
2021-W11,0,"23,621",40464,"145,359","657,043","291,242","538,278"
2021-W10,0,"23,621",40468,"145,520","658,381","293,487","548,126"
2021-W09,0,"23,621",40477,"145,886","661,436","297,793","553,431"
2021-W08,0,"23,621",40479,"146,091","663,549","299,286","555,148"
2021-W07,0,"23,621",40501,"146,803","669,335","302,362","558,489"
2021-W06,0,"23,621",40511,"147,045","671,844","304,235","561,831"
2021-W05,0,"23,621",40621,"147,670","679,701","310,858","570,540"
2021-W04,0,"23,621",40622,"148,041","684,575","314,913","573,938"
2021-W03,0,"23,621",40622,"148,269","688,051","317,512","575,555"
2021-W02,0,"23,621",40622,"148,326","688,684","317,719","575,647"
2021-W01,0,"23,621",40622,"148,326","688,684","317,719","575,647"
2020-W53,0,"23,621",40622,"148,326","688,684","317,719","575,647"
2020-W52,0,"23,621",40622,"148,326","688,684","317,719","575,647"
2020-W51,0,"23,621",40622,"148,326","688,684","317,719","575,647"
2020-W50,0,"23,621",40622,"148,326","688,684","317,719","575,647"
