Reporting week,<18 years,18-24 years,25-49 years,50-59 years,60-69 years,70-79 years,80+ years
2021-W03,0,16,475,250,87,9,1
2021-W04,0,16,478,254,118,80,314
2021-W05,0,38,"1,009",484,224,158,808
2021-W06,0,113,"1,723",778,303,176,814
2021-W07,0,177,"2,492","1,163",379,192,826
2021-W08,2,248,"3,272","1,522",544,370,"1,435"
2021-W09,5,330,"4,190","1,943",667,505,"2,290"
2021-W10,7,393,"4,542","2,082",767,596,"2,544"
2021-W11,13,479,"4,758","2,179",900,820,"3,981"
2021-W12,20,547,"5,173","2,394",990,871,"5,550"
2021-W13,21,556,"5,261","2,471","1,228","1,010","9,057"
2021-W14,22,590,"5,411","2,658","1,673","3,423","15,237"
2021-W15,23,680,"5,953","3,003","4,018","10,689","18,430"
2021-W16,24,756,"6,760","3,354","4,192","11,063","18,647"
2021-W17,24,947,"8,306","4,047","4,414","11,204","18,694"
2021-W18,30,"1,130","9,598","7,708","15,648","11,898","18,767"
2021-W19,33,"1,301","10,584","10,500","32,052","12,255","18,874"
2021-W20,41,"1,439","13,415","16,293","38,811","12,817","19,333"
2021-W21,49,"1,559","15,345","30,099","40,380","13,847","19,839"
2021-W22,59,"1,718","18,735","40,231","41,181","21,187","20,279"
2021-W23,65,"1,890","25,210","55,720","45,275","31,159","20,560"
2021-W24,69,"2,294","34,713","63,005","47,162","31,483","20,665"
2021-W25,76,"6,284","44,291","64,331","49,085","31,706","20,738"
2021-W26,85,"7,053","70,092","66,741","49,384","31,835","20,769"
2021-W27,93,"7,329","84,807","67,851","49,666","31,953","20,810"
2021-W28,109,"8,212","109,201","68,850","50,099","32,104","20,884"
2021-W29,169,"10,455","132,004","69,533","50,431","32,242","20,964"
2021-W30,"1,262","18,438","145,576","70,023","50,654","32,348","21,010"
2021-W31,"8,208","25,444","150,291","70,381","50,830","32,434","21,047"
2021-W32,"14,086","27,083","152,727","70,786","51,069","32,545","21,105"
2021-W33,"15,825","28,038","154,785","71,199","51,287","32,680","21,146"
2021-W34,"17,288","28,811","156,461","71,562","51,450","32,793","21,177"
2021-W35,"17,484","28,939","156,765","71,620","51,475","32,806","21,181"
