Reporting week,<18 years,18-24 years,25-49 years,50-59 years,60+ years
2021-W49,332.00,300.00,911.00,169.00,125.00
2021-W48,957.00,894.00,2879.00,504.00,395.00
2021-W47,2300.00,1595.00,4623.00,878.00,690.00
2021-W46,3590.00,2188.00,6296.00,1219.00,991.00
2021-W45,4109.00,2574.00,7599.00,1490.00,1274.00
2021-W44,4442.00,2841.00,8512.00,1683.00,1435.00
2021-W43,4866.00,3111.00,9399.00,1849.00,1629.00
2021-W42,5439.00,3419.00,10531.00,2092.00,1850.00
2021-W41,6161.00,3850.00,11691.00,2352.00,2089.00
2021-W40,7184.00,4248.00,12762.00,2610.00,2361.00
2021-W39,8237.00,4682.00,13793.00,2834.00,2617.00
2021-W38,9067.00,5090.00,15005.00,3116.00,2898.00
2021-W37,9749.00,5491.00,16241.00,3387.00,3184.00
2021-W36,10347.00,5995.00,17803.00,3713.00,3499.00
2021-W35,11231.00,6635.00,19592.00,4066.00,3836.00
2021-W34,12693.00,7399.00,21264.00,4428.00,4138.00
2021-W33,14432.00,8344.00,23319.00,4841.00,4532.00
2021-W32,20307.00,9977.00,25752.00,5245.00,4939.00
2021-W31,27250.00,16976.00,30443.00,5602.00,5236.00
2021-W30,28343.00,24932.00,43967.00,6093.00,5608.00
2021-W29,28403.00,27165.00,66719.00,6777.00,6159.00
2021-W28,28419.00,28033.00,91081.00,7772.00,6822.00
2021-W27,28427.00,28304.00,105779.00,8884.00,7263.00
2021-W26,28436.00,29047.00,131529.00,11324.00,7721.00
2021-W25,28443.00,32852.00,141233.00,12650.00,9942.00
2021-W24,28447.00,33244.00,150722.00,19944.00,12258.00
2021-W23,28453.00,33415.00,157151.00,35446.00,26608.00
2021-W22,28463.00,33573.00,160517.00,45576.00,35196.00
2021-W21,28470.00,33690.00,162406.00,59290.00,38412.00
2021-W20,28474.00,33827.00,164958.00,64142.00,47376.00
2021-W19,28477.00,33992.00,165910.00,66738.00,64448.00
2021-W18,28482.00,34166.00,167185.00,70359.00,76490.00
2021-W17,28482.00,34347.00,168723.00,71049.00,76920.00
2021-W16,28482.00,34418.00,169524.00,71378.00,77719.00
2021-W15,28482.00,34507.00,170058.00,71713.00,90515.00
2021-W14,28483.00,34541.00,170202.00,71898.00,99569.00
2021-W13,28484.00,34550.00,170290.00,71972.00,103457.00
2021-W12,28489.00,34617.00,170703.00,72184.00,105174.00
2021-W11,28493.00,34703.00,170920.00,72280.00,106970.00
2021-W10,28495.00,34762.00,171265.00,72429.00,107417.00
2021-W09,28496.00,34844.00,172166.00,72854.00,108545.00
2021-W08,28497.00,34910.00,172932.00,73215.00,109517.00
2021-W07,28497.00,34969.00,173688.00,73604.00,109635.00
2021-W06,28497.00,35039.00,174383.00,73912.00,109749.00
2021-W05,28497.00,35056.00,174901.00,74151.00,110434.00
2021-W04,28497.00,35056.00,174904.00,74155.00,110851.00
2021-W03,28497.00,35069.00,175366.00,74405.00,110964.00
2021-W02,28497.00,35069.00,175366.00,74405.00,110964.00
2021-W01,28497.00,35069.00,175366.00,74405.00,110964.00
2020-W53,28497.00,35069.00,175366.00,74405.00,110964.00
2020-W52,28497.00,35069.00,175366.00,74405.00,110964.00
2020-W51,28497.00,35069.00,175366.00,74405.00,110964.00
2020-W50,28497.00,35069.00,175366.00,74405.00,110964.00
