Reporting week,<18 years,18-24 years,25-49 years,50-59 years,60+ years
2021-W48,196.00,108.00,549.00,49.00,41.00
2021-W47,381.00,189.00,890.00,82.00,59.00
2021-W46,505.00,289.00,1339.00,131.00,93.00
2021-W45,652.00,409.00,1840.00,180.00,126.00
2021-W44,749.00,607.00,2353.00,223.00,149.00
2021-W43,830.00,759.00,3014.00,280.00,202.00
2021-W42,920.00,885.00,3479.00,324.00,237.00
2021-W41,1055.00,1061.00,4060.00,387.00,265.00
2021-W40,1251.00,1264.00,4778.00,466.00,311.00
2021-W39,1458.00,1461.00,5552.00,536.00,361.00
2021-W38,1892.00,1735.00,6578.00,635.00,403.00
2021-W37,2158.00,1939.00,7364.00,710.00,446.00
2021-W36,2319.00,2061.00,7828.00,740.00,467.00
2021-W35,2628.00,2117.00,8118.00,762.00,511.00
2021-W34,3005.00,2233.00,8810.00,819.00,562.00
2021-W33,3510.00,2680.00,10304.00,994.00,657.00
2021-W32,5577.00,3614.00,13400.00,1297.00,815.00
2021-W31,9901.00,5334.00,18743.00,1786.00,1047.00
2021-W30,14245.00,6572.00,23154.00,2261.00,1322.00
2021-W29,16915.00,7839.00,29476.00,2829.00,1568.00
2021-W28,17053.00,8354.00,33440.00,3334.00,1775.00
2021-W27,17401.00,10111.00,41912.00,4654.00,2143.00
2021-W26,18033.00,13102.00,54745.00,11378.00,3923.00
2021-W25,19085.00,16985.00,63140.00,18334.00,5156.00
2021-W24,19351.00,20055.00,71368.00,22636.00,10515.00
2021-W23,20750.00,23887.00,80390.00,23836.00,20586.00
2021-W22,20893.00,25054.00,96790.00,25338.00,24558.00
2021-W21,21011.00,26850.00,120908.00,28578.00,30454.00
2021-W20,21063.00,30226.00,142483.00,33300.00,41002.00
2021-W19,21087.00,31048.00,153645.00,38636.00,49132.00
2021-W18,21095.00,31342.00,158126.00,39834.00,54495.00
2021-W17,21122.00,31579.00,161051.00,41154.00,59855.00
2021-W16,21142.00,32721.00,167755.00,42389.00,67934.00
2021-W15,21179.00,33432.00,171058.00,43396.00,81195.00
2021-W14,21193.00,33651.00,172376.00,43867.00,90989.00
2021-W13,21208.00,33817.00,174023.00,44278.00,96331.00
2021-W12,21220.00,33912.00,175266.00,45854.00,99253.00
2021-W11,21261.00,34121.00,176751.00,46947.00,103412.00
2021-W10,21263.00,34285.00,178105.00,47604.00,107282.00
2021-W09,21264.00,34464.00,179491.00,48066.00,111025.00
2021-W08,21264.00,34613.00,181222.00,48770.00,114771.00
2021-W07,21265.00,34747.00,182986.00,49580.00,116645.00
2021-W06,21266.00,34857.00,183371.00,50439.00,120032.00
2021-W05,21266.00,35016.00,185252.00,51145.00,123707.00
2021-W04,21266.00,35127.00,186709.00,51795.00,124494.00
2021-W03,21266.00,35182.00,187581.00,52129.00,124738.00
2021-W02,21266.00,35185.00,187615.00,52143.00,124745.00
2021-W01,21266.00,35185.00,187617.00,52143.00,124748.00
2020-W53,21266.00,35186.00,187619.00,52145.00,124750.00
2020-W52,21266.00,35186.00,187619.00,52145.00,124750.00
2020-W51,21266.00,35186.00,187619.00,52145.00,124750.00
2020-W50,21266.00,35186.00,187619.00,52145.00,124750.00
